id,family,template,symbol,period,tag,priority,lot,note
N001,PB_未踏円クロス,PullbackTrend,EURJPY,H4,std,A,0.01,円クロス残り4本
N002,PB_未踏円クロス,PullbackTrend,CHFJPY,H4,std,A,0.01,円クロス残り4本
N003,PB_未踏円クロス,PullbackTrend,CADJPY,H4,std,A,0.01,円クロス残り4本
N004,PB_未踏円クロス,PullbackTrend,NZDJPY,H4,std,A,0.01,円クロス残り4本
N005,PB_未踏クロス,PullbackTrend,AUDCAD,H4,std,B,0.01,非円クロス14本
N006,PB_未踏クロス,PullbackTrend,AUDCHF,H4,std,B,0.01,非円クロス14本
N007,PB_未踏クロス,PullbackTrend,AUDNZD,H4,std,B,0.01,非円クロス14本
N008,PB_未踏クロス,PullbackTrend,NZDCAD,H4,std,B,0.01,非円クロス14本
N009,PB_未踏クロス,PullbackTrend,NZDCHF,H4,std,B,0.01,非円クロス14本
N010,PB_未踏クロス,PullbackTrend,CADCHF,H4,std,B,0.01,非円クロス14本
N011,PB_未踏クロス,PullbackTrend,EURCAD,H4,std,B,0.01,非円クロス14本
N012,PB_未踏クロス,PullbackTrend,EURCHF,H4,std,B,0.01,非円クロス14本
N013,PB_未踏クロス,PullbackTrend,EURNZD,H4,std,B,0.01,非円クロス14本
N014,PB_未踏クロス,PullbackTrend,EURAUD,H4,std,B,0.01,非円クロス14本
N015,PB_未踏クロス,PullbackTrend,GBPAUD,H4,std,B,0.01,非円クロス14本
N016,PB_未踏クロス,PullbackTrend,GBPCAD,H4,std,B,0.01,非円クロス14本
N017,PB_未踏クロス,PullbackTrend,GBPCHF,H4,std,B,0.01,非円クロス14本
N018,PB_未踏クロス,PullbackTrend,GBPNZD,H4,std,B,0.01,非円クロス14本
N019,PB_他貴金属,PullbackTrend,SILVER,H4,std,B,0.01,SILVER以外の貴金属/銅
N020,PB_他貴金属,PullbackTrend,PLAT-OCT26,H4,std,B,0.01,SILVER以外の貴金属/銅
N021,PB_他貴金属,PullbackTrend,PALL-SEP26,H4,std,B,0.01,SILVER以外の貴金属/銅
N022,PB_他貴金属,PullbackTrend,HGCOP-SEP26,H4,std,B,0.01,SILVER以外の貴金属/銅
N023,PB_ソフト/エネルギー,PullbackTrend,COCOA-SEP26,H4,std,C,1.0,未踏コモディティ
N024,PB_ソフト/エネルギー,PullbackTrend,COFFE-SEP26,H4,std,C,1.0,未踏コモディティ
N025,PB_ソフト/エネルギー,PullbackTrend,CORN-SEP26,H4,std,C,1.0,未踏コモディティ
N026,PB_ソフト/エネルギー,PullbackTrend,COTTO-DEC26,H4,std,C,1.0,未踏コモディティ
N027,PB_ソフト/エネルギー,PullbackTrend,SUGAR-OCT26,H4,std,C,1.0,未踏コモディティ
N028,PB_ソフト/エネルギー,PullbackTrend,WHEAT-SEP26,H4,std,C,1.0,未踏コモディティ
N029,PB_ソフト/エネルギー,PullbackTrend,OILCash,H4,std,C,1.0,未踏コモディティ
N030,PB_ソフト/エネルギー,PullbackTrend,NGASCash,H4,std,C,1.0,未踏コモディティ
N031,PB_未踏指数,PullbackTrend,US30Cash,H4,std,C,1.0,US100/JP225/OIL以外の指数
N032,PB_未踏指数,PullbackTrend,US500Cash,H4,std,C,1.0,US100/JP225/OIL以外の指数
N033,PB_未踏指数,PullbackTrend,US100Cash,H4,std,C,1.0,US100/JP225/OIL以外の指数
