id,family,template,symbol,period,params,priority,lot,note
M001,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M002,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M003,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M004,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M005,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M006,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M007,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M008,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M009,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M010,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M011,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M012,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M013,PB応答曲面_傾きxSL,PullbackTrend,USDJPY,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子
M014,PB応答曲面_傾きxSL,PullbackTrend,USDJPY,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子
M015,PB応答曲面_傾きxSL,PullbackTrend,USDJPY,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子
M016,PB応答曲面_傾きxSL,PullbackTrend,USDJPY,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子
M017,PB応答曲面_傾きxSL,PullbackTrend,USDJPY,H4,"{'MA_Slope_Min_ATR': 2.0, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子
M018,PB応答曲面_傾きxSL,PullbackTrend,USDJPY,H4,"{'MA_Slope_Min_ATR': 2.0, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子
