id,family,template,symbol,period,params,priority,lot,note,is_net,is_pf,is_n,oos_net,oos_pf,oos_n,verdict
M001,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子,-4269.0,0.9273,108,2694.0,1.1681,44,reject
M002,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子,588.0,1.0107,85,-5084.0,0.7204,38,reject
M003,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子,-838.0,0.9843,79,-3386.0,0.7937,35,reject
M004,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子,-2992.0,0.948,106,2884.0,1.192,41,reject
M005,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子,484.0,1.009,82,-3769.0,0.7743,35,reject
M006,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子,-169.0,0.9968,78,-2094.0,0.8596,32,reject
M007,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子,7459.0,1.185,78,-1754.0,0.8682,29,reject
M008,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子,8753.0,1.1989,70,-3355.0,0.7613,26,reject
M009,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子,5207.0,1.1186,65,-3095.0,0.7632,24,reject
M010,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子,12739.0,1.5253,56,-3153.0,0.6642,19,reject
M011,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子,14155.0,1.4982,52,-3483.0,0.6519,18,reject
M012,PB応答曲面_ADXxRR,PullbackTrend,USDJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子,16207.0,1.6259,46,-1312.0,0.8546,17,reject
M013,PB応答曲面_傾きxSL,PullbackTrend,USDJPY,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子,11825.0,1.2274,119,-2726.0,0.884,69,reject
M014,PB応答曲面_傾きxSL,PullbackTrend,USDJPY,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子,5722.0,1.0861,83,-1215.0,0.9518,48,reject
M015,PB応答曲面_傾きxSL,PullbackTrend,USDJPY,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子,14623.0,1.6412,64,2220.0,1.3872,19,PASS
