id,family,template,symbol,period,tag,priority,lot,note,net,pf,dd,n,win,verdict
N108,SCA_未踏市場,SCA_EA,EURJPY,M15,std,S,0.01,セッションORB横展開（実績テンプレ）,-14341.0,0.9611,28.2885,1393,47.810480976310124,reject
N109,SCA_未踏市場,SCA_EA,AUDJPY,M15,std,S,0.01,セッションORB横展開（実績テンプレ）,-11544.0,0.9508,24.4815,1186,47.97639123102867,reject
N110,SCA_未踏市場,SCA_EA,NZDJPY,M15,std,S,0.01,セッションORB横展開（実績テンプレ）,-10787.0,0.949,15.4305,1236,46.19741100323624,reject
N113,SCA_未踏市場,SCA_EA,EURUSD,M15,std,S,0.01,セッションORB横展開（実績テンプレ）,-22022.0,0.9214,26.5378,1107,44.71544715447154,reject
N114,SCA_未踏市場,SCA_EA,GBPUSD,M15,std,S,0.01,セッションORB横展開（実績テンプレ）,12625.0,1.0324,17.2827,1173,45.52429667519181,reject
N144,Carry_EM高スワップ,Carry,USDMXN,D1,std,S,0.01,新興国通貨キャリー（新市場・高スワップ）,0.0,0.0,0.0,0,0.0,reject
N145,Carry_EM高スワップ,Carry,USDZAR,D1,std,S,0.01,新興国通貨キャリー（新市場・高スワップ）,0.0,0.0,0.0,0,0.0,reject
N146,Carry_EM高スワップ,Carry,USDTRY,D1,std,S,0.01,新興国通貨キャリー（新市場・高スワップ）,0.0,0.0,0.0,0,0.0,reject
N147,Carry_EM高スワップ,Carry,EURTRY,D1,std,S,0.01,新興国通貨キャリー（新市場・高スワップ）,0.0,0.0,0.0,0,0.0,reject
N148,Carry_EM高スワップ,Carry,EURZAR,D1,std,S,0.01,新興国通貨キャリー（新市場・高スワップ）,0.0,0.0,0.0,0,0.0,reject
N001,PB_未踏円クロス,PullbackTrend,EURJPY,H4,std,A,0.01,円クロス残り4本,-16876.0,0.5942,16.876,71,26.76056338028169,reject
N002,PB_未踏円クロス,PullbackTrend,CHFJPY,H4,std,A,0.01,円クロス残り4本,-19328.0,0.5973,22.3987,75,26.666666666666668,reject
N003,PB_未踏円クロス,PullbackTrend,CADJPY,H4,std,A,0.01,円クロス残り4本,1169.0,1.0331,10.4087,83,34.93975903614458,reject
N004,PB_未踏円クロス,PullbackTrend,NZDJPY,H4,std,A,0.01,円クロス残り4本,-2701.0,0.8917,15.0692,65,30.76923076923077,reject
N041,RSI_未踏円クロス,RSI_Reversal,EURJPY,H4,std,A,0.01,円クロス（RSIは未検証）,-2378.0,0.9433,7.3083,133,29.32330827067669,reject
N042,RSI_未踏円クロス,RSI_Reversal,CHFJPY,H4,std,A,0.01,円クロス（RSIは未検証）,-8401.0,0.8087,13.149,135,25.925925925925924,reject
N043,RSI_未踏円クロス,RSI_Reversal,CADJPY,H4,std,A,0.01,円クロス（RSIは未検証）,-5758.0,0.8781,8.9809,146,27.397260273972602,reject
