proposal_id,family,family_name,class,overview,rationale,test_method,variation
F01-01,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.0}"
F01-02,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.0}"
F01-03,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.0}"
F01-04,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.0}"
F01-05,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.0}"
F01-06,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.0}"
F01-07,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.0}"
F01-08,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.0}"
F01-09,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.25}"
F01-10,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.25}"
F01-11,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.25}"
F01-12,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.25}"
F01-13,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.25}"
F01-14,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.25}"
F01-15,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.25}"
F01-16,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.25}"
F01-17,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.5}"
F01-18,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.5}"
F01-19,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.5}"
F01-20,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.5}"
F01-21,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.5}"
F01-22,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.5}"
F01-23,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.5}"
F01-24,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.5}"
F01-25,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.75}"
F01-26,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.75}"
F01-27,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.75}"
F01-28,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.75}"
F01-29,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.75}"
F01-30,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.75}"
F01-31,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.75}"
