proposal_id,objective,family,status,account,capital,legs,leg_count,is_net,is_pf,is_dd_abs,is_dd_pct,is_deals,oos_net,oos_pf,oos_dd_abs,oos_dd_pct,oos_deals,full_net,full_pf,full_dd_abs,full_dd_pct,full_deals,survive,strict,dd_strict,tradeoff,baseline_full_dd_pct,dd_reduction_pt,max_integer_multiple,monthly_at_1x_pct,monthly_at_dd30_pct
A0001,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,carry_audjpy_d1,1,224299.0,6.182868498278531,22734.0,4.5468,13,-9172.0,0.6767463170508212,28374.0,5.6748,13,215127.0,4.002428437844552,28374.0,5.6748,26,False,False,False,False,13.483400000000001,7.808600000000001,5,0.358545,1.792725
B0001,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pairtrade_eurusd_gbpusd,1,11373.0,1.161738982038483,9259.0,1.8518,204,9526.0,1.6716018048505359,4057.0,0.8114,80,20899.0,1.247322516893291,9259.0,1.8518,284,True,False,False,False,13.483400000000001,11.631600000000002,16,0.03483166666666667,0.5573066666666667
A0002,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_audjpy_h4,1,2714.0,1.2630099815873632,2324.0,0.46480000000000005,54,-3313.0,0.8080866593292012,8684.0,1.7368000000000001,84,-599.0,0.9782829381480675,8684.0,1.7368000000000001,138,False,False,False,False,13.483400000000001,11.7466,17,-0.0009983333333333333,-0.016971666666666666
B0002,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_gbpjpy_h4,1,46939.0,3.852740974838945,6030.0,1.206,30,22692.0,2.1649468658555366,11325.0,2.265,40,69631.0,2.9378009072440374,11325.0,2.265,70,True,False,False,True,13.483400000000001,11.2184,13,0.11605166666666666,1.5086716666666666
A0003,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_usdjpy_h4,1,52361.0,1.6188073177649618,11332.0,2.2664,142,-3299.0,0.8832584309423547,18412.0,3.6824000000000003,46,49062.0,1.4346578073089702,18412.0,3.6824000000000003,188,False,False,False,False,13.483400000000001,9.801000000000002,8,0.08177,0.65416
B0003,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,rsi_robust_eurusd_h1,1,8400.0,1.1195185111408326,9670.0,1.934,550,2582.0,1.0431447907093325,8470.0,1.694,588,10982.0,1.0843944761655921,15556.0,3.1112,1138,True,False,False,False,13.483400000000001,10.372200000000001,9,0.01830333333333333,0.16473
A0004,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,rsi_robust_gbpusd_h4,1,12843.0,1.4772220570749108,3758.0,0.7516,131,18715.0,2.0166223043076754,3199.0,0.6398,135,31558.0,1.6963217934290946,4052.0,0.8104,266,True,False,False,False,13.483400000000001,12.673000000000002,37,0.052596666666666674,1.946076666666667
B0004,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,rsi_robust_usdjpy_h4,1,-161.0,0.9945697999932545,10279.0,2.0558,170,7741.0,1.276830096913779,7021.0,1.4042000000000001,180,7580.0,1.1315698118447546,17300.0,3.46,350,False,False,False,False,13.483400000000001,10.023400000000002,8,0.012633333333333333,0.10106666666666667
A0005,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,sca_gbpjpy_m15,1,73773.0,1.175097193147349,74176.0,14.8352,1368,60423.0,1.166638628347017,32644.0,6.5287999999999995,1316,134196.0,1.1711847434384668,74176.0,14.8352,2684,True,False,False,False,13.483400000000001,-1.351799999999999,2,0.22366,0.44732
B0005,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,sca_usdjpy_m15,1,18563.0,1.2161579934091782,8448.0,1.6896000000000002,656,110.0,1.0023956790661208,6738.0,1.3476,572,18673.0,1.141684307967798,11283.0,2.2565999999999997,1228,True,False,False,False,13.483400000000001,11.2268,13,0.031121666666666666,0.4045816666666667
A0006,A,A_composition_xm,VERIFIED_MT5_DEALS,XM,100000.0,bfxrev_btcusd_d1,1,43278.0,4.441864164148242,12574.0,12.574,16,14273.0,1.3082455079474775,18018.0,18.018,100,57551.0,1.9774618703080946,18018.0,18.018,116,True,False,False,False,32.625,14.607,1,0.47959166666666664,0.47959166666666664
B0006,B,B_composition_xm,VERIFIED_MT5_DEALS,XM,100000.0,eth_ea_d1,1,4419.0,1.5064756446991403,3274.0,3.274,58,3664.0,5.3775388291517325,572.0,0.5720000000000001,40,8083.0,1.8453252457644844,3274.0,3.274,98,True,False,False,False,32.625,29.351,9,0.06735833333333333,0.6062249999999999
A0007,A,A_composition_xm,VERIFIED_MT5_DEALS,XM,100000.0,fundingrev_btcusd_d1,1,35812.0,2.179500691654041,11025.0,11.025,54,3081.0,2.0522540983606556,1089.0,1.089,20,38893.0,2.1683088014418743,11025.0,11.025,74,True,False,False,True,32.625,21.6,2,0.32410833333333333,0.6482166666666667
B0007,B,B_composition_xm,VERIFIED_MT5_DEALS,XM,100000.0,pullback_gold_h4,1,158015.0,2.029447213264276,21447.0,21.447,122,8088.0,1.171737976430619,12309.0,12.309000000000001,102,166103.0,1.8280721870482077,21447.0,21.447,224,True,False,False,False,32.625,11.178,1,1.3841916666666667,1.3841916666666667
A0008,A,A_composition_xm,VERIFIED_MT5_DEALS,XM,100000.0,sca_gold_m15,1,177345.0,1.7918919763698309,27975.0,27.975,490,59053.0,1.5506415277311552,11740.0,11.74,540,236398.0,1.7137728528510394,27975.0,27.975,1030,True,False,False,False,32.625,4.649999999999999,1,1.9699833333333336,1.9699833333333336
B0008,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pairtrade_eurusd_gbpusd;carry_audjpy_d1,2,235672.0,3.0746870433297535,29618.0,5.9235999999999995,217,354.0,1.0083180600592132,27152.0,5.4304,93,236026.0,2.5115144218453813,29618.0,5.9235999999999995,310,True,False,False,False,13.483400000000001,7.559800000000002,5,0.3933766666666667,1.9668833333333335
A0009,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_audjpy_h4;carry_audjpy_d1,2,227013.0,5.23563325621315,24032.0,4.8064,67,-12485.0,0.7264281175362096,35113.0,7.0226,97,214528.0,3.1618614775326757,35113.0,7.0226,164,False,False,False,False,13.483400000000001,6.460800000000002,4,0.3575466666666667,1.4301866666666667
B0009,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_audjpy_h4;pairtrade_eurusd_gbpusd,2,14087.0,1.174698645766159,9016.0,1.8032,258,6213.0,1.197570515470474,8087.0,1.6174000000000002,164,20300.0,1.1811157802699785,9016.0,1.8032,422,True,False,False,False,13.483400000000001,11.680200000000001,16,0.03383333333333333,0.5413333333333333
A0010,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_audjpy_h4;rsi_robust_eurusd_h1,2,11114.0,1.1378891080755822,8524.0,1.7048,604,-731.0,0.9905197904238211,12272.0,2.4544,672,10383.0,1.065836445605514,17408.0,3.4816,1276,False,False,False,False,13.483400000000001,10.001800000000001,8,0.017305,0.13844
B0010,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_audjpy_h4;rsi_robust_gbpusd_h4,2,15557.0,1.4178507158013482,4559.0,0.9117999999999999,185,15402.0,1.4317672123794574,5222.0,1.0444,219,30959.0,1.4246601648766168,5222.0,1.0444,404,True,False,False,False,13.483400000000001,12.439000000000002,28,0.05159833333333333,1.4447533333333333
A0011,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_audjpy_h4;rsi_robust_usdjpy_h4,2,2553.0,1.0638761008807045,10147.0,2.0294,224,4428.0,1.0979082828461504,6741.0,1.3481999999999998,264,6981.0,1.0819423903091767,16888.0,3.3776,488,True,False,False,False,13.483400000000001,10.105800000000002,8,0.011635000000000001,0.09308000000000001
B0011,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_audjpy_h4;sca_gbpjpy_m15,2,76487.0,1.1771988555410118,73058.0,14.6116,1422,57110.0,1.1503440723210008,37499.0,7.4998,1400,133597.0,1.1646282780062278,73058.0,14.6116,2822,True,False,False,False,13.483400000000001,-1.1281999999999979,2,0.22266166666666665,0.4453233333333333
A0012,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_audjpy_h4;sca_usdjpy_m15,2,21277.0,1.2211838330076095,8057.0,1.6114,710,-3203.0,0.9493027746561358,14291.0,2.8582,656,18074.0,1.1134054901960784,17881.0,3.5762,1366,False,False,False,False,13.483400000000001,9.907200000000001,8,0.030123333333333335,0.24098666666666668
B0012,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_gbpjpy_h4;carry_audjpy_d1,2,271238.0,5.540992114647335,22998.0,4.599600000000001,43,13520.0,1.28253192067373,21569.0,4.3138000000000005,53,284758.0,3.6468433967876264,22998.0,4.599600000000001,96,True,False,False,True,13.483400000000001,8.8838,6,0.4745966666666667,2.8475800000000002
A0013,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_gbpjpy_h4;pairtrade_eurusd_gbpusd,2,58312.0,1.6720217584215924,10742.0,2.1484,234,32218.0,1.9570745328699166,6701.0,1.3402,120,90530.0,1.7516980254745338,10742.0,2.1484,354,True,False,False,True,13.483400000000001,11.335,13,0.15088333333333334,1.9614833333333335
B0013,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_gbpjpy_h4;pullback_audjpy_h4,2,49653.0,2.854592313151309,6689.0,1.3377999999999999,84,19379.0,1.5274345435741115,16324.0,3.2648,124,69032.0,2.0868613713296074,16324.0,3.2648,208,True,False,False,True,13.483400000000001,10.218600000000002,9,0.11505333333333331,1.0354799999999997
A0014,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_gbpjpy_h4;rsi_robust_eurusd_h1,2,55339.0,1.6380165098690278,8921.0,1.7842,580,25274.0,1.3186173163229287,12953.0,2.5906,628,80613.0,1.4854450198723352,12953.0,2.5906,1208,True,False,False,True,13.483400000000001,10.892800000000001,11,0.134355,1.477905
B0014,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_gbpjpy_h4;rsi_robust_gbpusd_h4,2,59782.0,2.3785454042337313,8161.0,1.6321999999999999,161,41407.0,2.092879011824324,5369.0,1.0737999999999999,175,101189.0,2.2453417677898933,8161.0,1.6321999999999999,336,True,False,False,True,13.483400000000001,11.851200000000002,18,0.16864833333333332,3.0356699999999996
A0015,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_gbpjpy_h4;rsi_robust_usdjpy_h4,2,46778.0,2.0146411296444917,8849.0,1.7697999999999998,200,30433.0,1.6414780152607393,7073.0,1.4146,220,77211.0,1.8253888502859585,13350.0,2.67,420,True,False,False,True,13.483400000000001,10.813400000000001,11,0.128685,1.415535
B0015,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_gbpjpy_h4;sca_gbpjpy_m15,2,120712.0,1.275736671387455,61823.0,12.364600000000001,1398,83115.0,1.2175341160705406,36444.0,7.288799999999999,1356,203827.0,1.248612564614848,61823.0,12.364600000000001,2754,True,False,False,False,13.483400000000001,1.1188000000000002,2,0.3397116666666667,0.6794233333333334
A0016,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_gbpjpy_h4;sca_usdjpy_m15,2,65502.0,1.6400992856514645,9275.0,1.855,686,22802.0,1.3486810918265923,16462.0,3.2924,612,88304.0,1.5264777076899227,16462.0,3.2924,1298,True,False,False,True,13.483400000000001,10.191,9,0.14717333333333332,1.32456
B0016,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_usdjpy_h4;carry_audjpy_d1,2,276660.0,3.1632145621730667,28306.0,5.6612,155,-12471.0,0.7797927003690428,38869.0,7.7738000000000005,59,264189.0,2.431716939618265,38869.0,7.7738000000000005,214,False,False,False,False,13.483400000000001,5.709600000000001,3,0.44031499999999996,1.3209449999999998
A0017,A,A_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_usdjpy_h4;pairtrade_eurusd_gbpusd,2,63734.0,1.411364912575113,12211.0,2.4421999999999997,346,6227.0,1.146714416982777,16595.0,3.319,126,69961.0,1.3544554555771724,16595.0,3.319,472,True,False,False,False,13.483400000000001,10.1644,9,0.11660166666666665,1.0494149999999998
B0017,B,B_composition_oanda,VERIFIED_MT5_DEALS,OANDA,500000.0,pullback_usdjpy_h4;pullback_audjpy_h4,2,55075.0,1.5801337757412968,11332.0,2.2664,196,-6612.0,0.8547515487017266,26724.0,5.3448,130,48463.0,1.345037983154987,26724.0,5.3448,326,False,False,False,False,13.483400000000001,8.1386,5,0.08077166666666666,0.4038583333333333
