id,family,base,symbol,overrides,model,is_net,is_pf,is_dd,is_n,oos_net,oos_pf,oos_dd,oos_n,verdict,note
F4_ema15-40_q1m0,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 15, 'SlowEMA_Period': 40, 'UsePullbackQuality': True, 'UseMomentumConfirm': False}",open_prices,30670.0,1.3112,8.4043,79,7308.0,1.1973,14.9567,32,PASS,
F4_ema15-40_q0m1,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 15, 'SlowEMA_Period': 40, 'UsePullbackQuality': False, 'UseMomentumConfirm': True}",open_prices,29286.0,1.2994,10.1071,79,7791.0,1.2536,13.2888,27,PASS,
F4_ema15-40_q1m1,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 15, 'SlowEMA_Period': 40, 'UsePullbackQuality': True, 'UseMomentumConfirm': True}",open_prices,26659.0,1.291,9.2971,74,2333.0,1.0799,16.113,25,PASS,
F4_ema15-40_q0m0,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 15, 'SlowEMA_Period': 40, 'UsePullbackQuality': False, 'UseMomentumConfirm': False}",open_prices,35576.0,1.3272,9.8569,86,7426.0,1.2151,14.9761,31,PASS,
F4_ema15-50_q1m0,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 15, 'SlowEMA_Period': 50, 'UsePullbackQuality': True, 'UseMomentumConfirm': False}",open_prices,38913.0,1.3518,9.153,87,6429.0,1.1711,15.1066,32,PASS,
F4_ema15-50_q0m1,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 15, 'SlowEMA_Period': 50, 'UsePullbackQuality': False, 'UseMomentumConfirm': True}",open_prices,36775.0,1.3677,10.4117,79,1961.0,1.0583,14.7962,29,PASS,
F4_ema15-50_q1m1,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 15, 'SlowEMA_Period': 50, 'UsePullbackQuality': True, 'UseMomentumConfirm': True}",open_prices,36775.0,1.3677,10.4117,79,3410.0,1.1131,14.8198,26,PASS,
F4_ema15-50_q0m0,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 15, 'SlowEMA_Period': 50, 'UsePullbackQuality': False, 'UseMomentumConfirm': False}",open_prices,38913.0,1.3518,9.153,87,1645.0,1.0425,15.2612,33,PASS,
F4_ema20-40_q1m0,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 20, 'SlowEMA_Period': 40, 'UsePullbackQuality': True, 'UseMomentumConfirm': False}",open_prices,37239.0,1.3824,11.1223,77,3416.0,1.1032,9.1394,29,PASS,
F4_ema20-40_q0m1,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 20, 'SlowEMA_Period': 40, 'UsePullbackQuality': False, 'UseMomentumConfirm': True}",open_prices,42743.0,1.4919,7.8891,70,-1598.0,0.9445,16.9197,24,reject,
