id,family,priority,base,symbol,overrides,model,is_net,is_pf,is_dd,is_n,oos_net,oos_pf,oos_dd,oos_n,verdict,strict,note
R3F01_MA_Slope_Min_ATR-1p25_ADX_Threshold-18p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.25, 'ADX_Threshold': 18.0}",open_prices,6634.0,1.2309,10.9521,25,9713.0,1.2305,19.4789,34,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p25_ADX_Threshold-20p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.25, 'ADX_Threshold': 20.0}",open_prices,562.0,1.0163,10.9432,28,14264.0,1.3534,19.4789,33,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p25_ADX_Threshold-22p5,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.25, 'ADX_Threshold': 22.5}",open_prices,1305.0,1.0388,9.5588,28,16457.0,1.4312,16.8931,31,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p25_ADX_Threshold-25p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.25, 'ADX_Threshold': 25.0}",open_prices,11050.0,1.3397,8.0628,28,12646.0,1.3777,14.46,30,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p5_ADX_Threshold-18p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.5, 'ADX_Threshold': 18.0}",open_prices,24028.0,2.5977,3.6444,16,15724.0,1.4774,15.4172,26,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p5_ADX_Threshold-20p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.5, 'ADX_Threshold': 20.0}",open_prices,32786.0,3.0181,4.47,17,17505.0,1.5619,15.4172,25,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p5_ADX_Threshold-22p5,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.5, 'ADX_Threshold': 22.5}",open_prices,33133.0,3.1179,5.9298,16,20763.0,1.6392,14.6751,26,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p5_ADX_Threshold-25p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.5, 'ADX_Threshold': 25.0}",open_prices,34390.0,3.3904,4.8491,15,18787.0,1.6973,13.393,25,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p75_ADX_Threshold-18p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.75, 'ADX_Threshold': 18.0}",open_prices,13014.0,2.8478,2.8806,8,4440.0,1.1522,18.9752,23,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p75_ADX_Threshold-20p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.75, 'ADX_Threshold': 20.0}",open_prices,19356.0,3.6716,3.0542,9,5780.0,1.2077,17.7274,22,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p75_ADX_Threshold-22p5,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.75, 'ADX_Threshold': 22.5}",open_prices,21224.0,5.0761,1.3978,8,9907.0,1.3772,16.2664,21,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-1p75_ADX_Threshold-25p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 1.75, 'ADX_Threshold': 25.0}",open_prices,21224.0,5.0761,1.3978,8,169.0,1.0065,17.256,21,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-2p0_ADX_Threshold-18p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 2.0, 'ADX_Threshold': 18.0}",open_prices,-3337.0,0.6477,7.215,8,6123.0,1.3288,11.1786,15,reject,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-2p0_ADX_Threshold-20p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 2.0, 'ADX_Threshold': 20.0}",open_prices,3957.0,1.4628,7.215,8,6123.0,1.3288,11.1786,15,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-2p0_ADX_Threshold-22p5,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 2.0, 'ADX_Threshold': 22.5}",open_prices,2514.0,1.2597,8.346,9,6030.0,1.3222,11.2186,15,PASS,NO_IMPROVEMENT,
R3F01_MA_Slope_Min_ATR-2p0_ADX_Threshold-25p0,R3F01,1,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'MA_Slope_Min_ATR': 2.0, 'ADX_Threshold': 25.0}",open_prices,-3449.0,0.6489,9.823,8,-10850.0,0.412,12.817,14,reject,NO_IMPROVEMENT,
