proposal_id,family,window,description,deals,net_jpy,dd_jpy,fund_net,fund_n,bfx_net,bfx_n,eth_net,eth_n,net_ratio,dd_ratio,gap,passed
C001,BASE,IS,両枠EA既定値・S2046採用済みの基準,cr_is_C001_20260906224051_9cbd_deals.csv,610318.0,34587.0,30201.0,32,64378.0,12,16442.0,24,1.0,1.0,0.0,False
C001,BASE,OOS,両枠EA既定値・S2046採用済みの基準,cr_oos_C001_20260907014737_d016_deals.csv,118935.0,18826.0,1401.0,10,15220.0,55,8289.0,20,1.0,1.0,0.0,False
C002,F1,IS,funding閾値 -0.001,cr_is_C002_20260906224713_1a6a_deals.csv,594771.0,31966.0,14654.0,51,64378.0,12,16442.0,24,0.9745263944369984,0.9242200826900281,0.05030631174697031,True
C002,F1,OOS,funding閾値 -0.001,cr_oos_C002_20260907015010_6460_deals.csv,118977.0,18826.0,1443.0,10,15220.0,55,8289.0,20,1.0003531340648253,1.0,0.000353134064825289,True
C003,F1,IS,funding閾値 -0.002,cr_is_C003_20260906225323_0ef6_deals.csv,608536.0,31966.0,28419.0,39,64378.0,12,16442.0,24,0.9970802106442871,0.9242200826900281,0.072860127954259,True
C003,F1,OOS,funding閾値 -0.002,cr_oos_C003_20260907015244_2b4b_deals.csv,118935.0,18826.0,1401.0,10,15220.0,55,8289.0,20,1.0,1.0,0.0,False
C004,F1,IS,funding閾値 -0.004,cr_is_C004_20260906225852_740f_deals.csv,600222.0,34587.0,20105.0,22,64378.0,12,16442.0,24,0.9834578039644907,1.0,-0.016542196035509327,False
C004,F1,OOS,funding閾値 -0.004,cr_oos_C004_20260907015518_2270_deals.csv,118935.0,18826.0,1401.0,10,15220.0,55,8289.0,20,1.0,1.0,0.0,False
C005,F1,IS,funding閾値 -0.005,cr_is_C005_20260906230251_3a78_deals.csv,601975.0,31966.0,21858.0,18,64378.0,12,16442.0,24,0.986330077107344,0.9242200826900281,0.062109994417315906,True
C005,F1,OOS,funding閾値 -0.005,cr_oos_C005_20260907015752_0b0f_deals.csv,119193.0,18826.0,1659.0,9,15220.0,55,8289.0,20,1.0021692521124985,1.0,0.002169252112498521,True
C006,F1,IS,funding閾値 -0.006,cr_is_C006_20260906230630_7fb9_deals.csv,601975.0,31966.0,21858.0,18,64378.0,12,16442.0,24,0.986330077107344,0.9242200826900281,0.062109994417315906,True
C006,F1,OOS,funding閾値 -0.006,cr_oos_C006_20260907020026_0711_deals.csv,119119.0,18826.0,1585.0,9,15220.0,55,8289.0,20,1.001547063522092,1.0,0.001547063522091996,True
C007,F1,IS,funding閾値 -0.008,cr_is_C007_20260906231009_bbf8_deals.csv,590245.0,31966.0,10128.0,9,64378.0,12,16442.0,24,0.9671105882507152,0.9242200826900281,0.042890505560687076,True
C007,F1,OOS,funding閾値 -0.008,cr_oos_C007_20260907020255_b237_deals.csv,119481.0,18826.0,1947.0,8,15220.0,55,8289.0,20,1.0045907428427292,1.0,0.004590742842729201,True
C008,F2,IS,funding保有上限 5日,cr_is_C008_20260906231323_2024_deals.csv,611374.0,31966.0,31257.0,35,64378.0,12,16442.0,24,1.0017302455441262,0.9242200826900281,0.07751016285409806,True
C008,F2,OOS,funding保有上限 5日,cr_oos_C008_20260907020524_9cc6_deals.csv,119708.0,19389.0,2174.0,16,15220.0,55,8289.0,20,1.006499348383571,1.0299054499096993,-0.02340610152612843,False
C009,F2,IS,funding保有上限 10日,cr_is_C009_20260906231713_440d_deals.csv,612083.0,31966.0,31966.0,33,64378.0,12,16442.0,24,1.0028919350240366,0.9242200826900281,0.07867185233400853,True
C009,F2,OOS,funding保有上限 10日,cr_oos_C009_20260907020753_9397_deals.csv,112528.0,19128.0,-3435.0,12,15220.0,55,8289.0,20,0.9461302392062891,1.016041644534155,-0.06991140532786577,False
