proposal_id,family,description,parameter_json
C001,BASE,両枠EA既定値・S2046採用済みの基準,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}"
C002,F1,funding閾値 -0.001,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.001}"
C003,F1,funding閾値 -0.002,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.002}"
C004,F1,funding閾値 -0.004,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.004}"
C005,F1,funding閾値 -0.005,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.005}"
C006,F1,funding閾値 -0.006,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.006}"
C007,F1,funding閾値 -0.008,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.008}"
C008,F2,funding保有上限 5日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 5, ""FundThreshold"": -0.003}"
C009,F2,funding保有上限 10日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.003}"
C010,F2,funding保有上限 15日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 15, ""FundThreshold"": -0.003}"
C011,F2,funding保有上限 25日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 25, ""FundThreshold"": -0.003}"
C012,F2,funding保有上限 30日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.003}"
C013,F2,funding保有上限 40日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 40, ""FundThreshold"": -0.003}"
C014,F3,funding閾値 -0.002・上限 10日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.002}"
C015,F3,funding閾値 -0.002・上限 30日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.002}"
C016,F3,funding閾値 -0.004・上限 10日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.004}"
C017,F3,funding閾値 -0.004・上限 30日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.004}"
C018,B1,Bfx建玉急減閾値 5.0%,"{""BfxDropPct"": 5.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}"
C019,B1,Bfx建玉急減閾値 7.5%,"{""BfxDropPct"": 7.5, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}"
