proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,eth_net,eth_n,fund_net,fund_n,bfx_net,bfx_n,description,parameter_json,elapsed,run_id,deals
C001,BASE,IS,OK,610318.0,2.1744,5.4575,2.0344,463,196940,63,179120,242,123237,91,16442,24,30201,32,64378,11,両枠EA既定値・S2046採用済みの基準,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",321.5,cr_is_C001_20260906224051_9cbd,cr_is_C001_20260906224051_9cbd_deals.csv
C002,F1,IS,OK,594771.0,2.0497,3.4206,1.9826,482,196940,63,179120,242,123237,91,16442,24,14654,51,64378,11,funding閾値 -0.001,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.001}",369.4,cr_is_C002_20260906224713_1a6a,cr_is_C002_20260906224713_1a6a_deals.csv
C003,F1,IS,OK,608536.0,2.1078,4.6419,2.0285,470,196940,63,179120,242,123237,91,16442,24,28419,39,64378,11,funding閾値 -0.002,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.002}",329.4,cr_is_C003_20260906225323_0ef6,cr_is_C003_20260906225323_0ef6_deals.csv
C004,F1,IS,OK,600222.0,2.1682,5.5605,2.0007,453,196940,63,179120,242,123237,91,16442,24,20105,22,64378,11,funding閾値 -0.004,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.004}",239.1,cr_is_C004_20260906225852_740f,cr_is_C004_20260906225852_740f_deals.csv
C005,F1,IS,OK,601975.0,2.205,4.3021,2.0066,449,196940,63,179120,242,123237,91,16442,24,21858,18,64378,11,funding閾値 -0.005,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.005}",219.2,cr_is_C005_20260906230251_3a78,cr_is_C005_20260906230251_3a78_deals.csv
C006,F1,IS,OK,601975.0,2.205,4.3021,2.0066,449,196940,63,179120,242,123237,91,16442,24,21858,18,64378,11,funding閾値 -0.006,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.006}",219.0,cr_is_C006_20260906230630_7fb9,cr_is_C006_20260906230630_7fb9_deals.csv
C007,F1,IS,OK,590245.0,2.1927,4.4564,1.9675,440,196940,63,179120,242,123237,91,16442,24,10128,9,64378,11,funding閾値 -0.008,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.008}",194.0,cr_is_C007_20260906231009_bbf8,cr_is_C007_20260906231009_bbf8_deals.csv
C008,F2,IS,OK,611374.0,2.1804,3.5025,2.0379,466,196940,63,179120,242,123237,91,16442,24,31257,35,64378,11,funding保有上限 5日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 5, ""FundThreshold"": -0.003}",229.1,cr_is_C008_20260906231323_2024,cr_is_C008_20260906231323_2024_deals.csv
C009,F2,IS,OK,612083.0,2.1691,4.1992,2.0403,464,196940,63,179120,242,123237,91,16442,24,31966,33,64378,11,funding保有上限 10日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.003}",254.1,cr_is_C009_20260906231713_440d,cr_is_C009_20260906231713_440d_deals.csv
C010,F2,IS,OK,625449.0,2.2231,4.4925,2.0848,463,196940,63,179120,242,123237,91,16442,24,45332,32,64378,11,funding保有上限 15日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 15, ""FundThreshold"": -0.003}",259.1,cr_is_C010_20260906232127_3487,cr_is_C010_20260906232127_3487_deals.csv
C011,F2,IS,OK,604862.0,2.1878,4.4757,2.0162,461,196940,63,179120,242,123237,91,16442,24,24745,30,64378,11,funding保有上限 25日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 25, ""FundThreshold"": -0.003}",269.2,cr_is_C011_20260906232546_784f,cr_is_C011_20260906232546_784f_deals.csv
C012,F2,IS,OK,614602.0,2.2077,4.3597,2.0487,460,196940,63,179120,242,123237,91,16442,24,34485,29,64378,11,funding保有上限 30日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.003}",269.3,cr_is_C012_20260906233015_ed43,cr_is_C012_20260906233015_ed43_deals.csv
C013,F2,IS,OK,612234.0,2.2031,4.376,2.0408,460,196940,63,179120,242,123237,91,16442,24,32117,29,64378,11,funding保有上限 40日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 40, ""FundThreshold"": -0.003}",274.3,cr_is_C013_20260906233444_ebc6,cr_is_C013_20260906233444_ebc6_deals.csv
C014,F3,IS,OK,612325.0,2.0914,4.4065,2.0411,472,196940,63,179120,242,123237,91,16442,24,32208,41,64378,11,funding閾値 -0.002・上限 10日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.002}",304.2,cr_is_C014_20260906233919_c49a,cr_is_C014_20260906233919_c49a_deals.csv
C015,F3,IS,OK,603896.0,2.1105,4.482,2.013,467,196940,63,179120,242,123237,91,16442,24,23779,36,64378,11,funding閾値 -0.002・上限 30日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.002}",344.5,cr_is_C015_20260906234423_4343,cr_is_C015_20260906234423_4343_deals.csv
C016,F3,IS,OK,615549.0,2.2245,4.2519,2.0518,454,196940,63,179120,242,123237,91,16442,24,35432,23,64378,11,funding閾値 -0.004・上限 10日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.004}",229.1,cr_is_C016_20260906235007_012a,cr_is_C016_20260906235007_012a_deals.csv
C017,F3,IS,OK,607613.0,2.2117,4.4198,2.0254,450,196940,63,179120,242,123237,91,16442,24,27496,19,64378,11,funding閾値 -0.004・上限 30日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.004}",249.1,cr_is_C017_20260906235356_7d83,cr_is_C017_20260906235356_7d83_deals.csv
C018,B1,IS,OK,586533.0,2.0533,5.6914,1.9551,475,196940,63,179120,242,123237,91,16442,24,30201,32,40593,23,Bfx建玉急減閾値 5.0%,"{""BfxDropPct"": 5.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",274.1,cr_is_C018_20260906235806_fe77,cr_is_C018_20260906235806_fe77_deals.csv
C019,B1,IS,OK,590067.0,2.0781,5.5619,1.9669,469,196940,63,179120,242,123237,91,16442,24,30201,32,44127,17,Bfx建玉急減閾値 7.5%,"{""BfxDropPct"": 7.5, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",274.2,cr_is_C019_20260907000240_15a6,cr_is_C019_20260907000240_15a6_deals.csv
C020,B1,IS,OK,592319.0,2.156,5.3943,1.9744,461,196940,63,179120,242,123237,91,16442,24,30201,32,46379,9,Bfx建玉急減閾値 12.5%,"{""BfxDropPct"": 12.5, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",269.2,cr_is_C020_20260907000714_b903,cr_is_C020_20260907000714_b903_deals.csv
C021,B1,IS,OK,553423.0,2.0647,5.782,1.8447,456,196940,63,179120,242,123237,91,16442,24,30201,32,7483,4,Bfx建玉急減閾値 15.0%,"{""BfxDropPct"": 15.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",264.2,cr_is_C021_20260907001143_6e3b,cr_is_C021_20260907001143_6e3b_deals.csv
C022,B1,IS,OK,550974.0,2.0599,5.8058,1.8366,454,196940,63,179120,242,123237,91,16442,24,30201,32,5034,2,Bfx建玉急減閾値 20.0%,"{""BfxDropPct"": 20.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",279.3,cr_is_C022_20260907001607_b198,cr_is_C022_20260907001607_b198_deals.csv
