book,variant,mult,net,pf,dd_yen,dd_pct_nominal,n
OANDA_FX,-,1,364229.0,1.5029,39675.0,0.7935,1573
OANDA_FX,-,2,,,,,
OANDA_FX,-,3,1125881.0,1.5103,118944.99999999999,2.3789,1573
OANDA_FX,-,4,1513062.0,1.5136,158605.0,3.1721,1573
OANDA_FX,-,5,1897352.0,1.5145,198635.0,3.9727,1573
XM_CFD,OFF,1,481991.0,2.1574,31210.0,0.6242,372
XM_CFD,OFF,2,964054.0,2.1574,60999.99999999999,1.22,372
XM_CFD,OFF,3,1446053.0,2.1574,89459.99999999999,1.7892,372
XM_CFD,OFF,4,1928081.0,2.1574,116674.99999999999,2.3335,372
XM_CFD,OFF,5,2410057.0,2.1574,142725.0,2.8545,372
XM_CFD,HOLD64,1,494058.0,2.2108,31210.0,0.6242,372
XM_CFD,HOLD64,2,988191.0,2.2108,60999.99999999999,1.22,372
XM_CFD,HOLD64,3,1482258.0,2.2108,89459.99999999999,1.7892,372
XM_CFD,HOLD64,4,1976355.0,2.2108,116674.99999999999,2.3335,372
XM_CFD,HOLD64,5,2470400.0,2.2108,142725.0,2.8545,372
XM_CFD,BOTH,1,483941.0,2.1706,31185.0,0.6237,370
XM_CFD,BOTH,2,967956.0,2.1706,60895.0,1.2179,370
XM_CFD,BOTH,3,1451906.0,2.1706,89230.0,1.7846,370
XM_CFD,BOTH,4,1935887.0,2.1706,116290.0,2.3258,370
XM_CFD,BOTH,5,2419811.0,2.1706,142150.0,2.843,370
