book,window,variant,mult,net,pf,dd_yen,n
OANDA_FX,IS,-,2,747210.0,1.5099,79259.99999999999,1573
OANDA_FX,FULL,-,1,509365.0,1.4019,42755.0,2926
OANDA_FX,FULL,-,2,1280520.0,1.5039,80540.0,2926
OANDA_FX,FULL,-,3,1940564.0,1.5075,118975.0,2926
OANDA_FX,FULL,-,4,2595982.0,1.5086,157775.0,2926
OANDA_FX,FULL,-,5,3265929.0,1.5114,195420.0,2926
XM_CFD,FULL,HOLD64,1,602532.0,2.0246,30564.999999999996,748
XM_CFD,FULL,HOLD64,2,1205134.0,2.0246,58575.0,748
XM_CFD,FULL,HOLD64,3,1807678.0,2.0246,84340.0,748
XM_CFD,FULL,HOLD64,4,2410258.0,2.0246,108115.0,748
XM_CFD,FULL,HOLD64,5,3012757.0,2.0246,130119.99999999999,748
