book,mult,window,net,pf,dd_pct,monthly_pct,rf,n
XM,6,IS,2964516.0,2.2108,15.7492,9.88172,37.646559825260965,372
XM,6,FULL,3615308.0,2.0246,11.8377,6.287492173913043,61.08125733884116,748
XM,8,IS,3952689.0,2.2108,17.551,13.17563,45.042322374793464,372
XM,8,FULL,4820429.0,2.0246,15.1844,8.383354782608695,63.491860066910775,748
XM,10,IS,4940846.0,2.2108,18.845,16.469486666666665,52.43667816396923,372
XM,10,FULL,6025558.0,2.0246,18.2845,10.479231304347826,65.90891738904537,748
XM,12,IS,5929014.0,2.2108,19.8184,19.76338,59.83342752189884,372
XM,12,FULL,7230685.0,2.0246,21.1651,12.575104347826086,68.3264903071566,748
XM,15,IS,7411269.0,2.2108,23.3804,24.70423,63.397281483635865,372
XM,15,FULL,9038341.0,2.0246,25.125,15.718853913043477,71.94699303482588,748
OANDA,5,IS,2188528.0,1.5935,36.3094,7.295093333333333,12.05488385927611,1573
OANDA,5,FULL,3116265.0,1.4825,27.2563,5.419591304347826,22.86638318480498,2926
OANDA,8,IS,3502708.0,1.5927,58.0596,11.675693333333333,12.06590469104162,1573
OANDA,8,FULL,4981598.0,1.4816,35.4859,8.663648695652174,28.076492353300885,2926
OANDA,10,IS,-377553.0,0.6392,78.0308,-1.25851,-0.9677024969627378,214
OANDA,10,FULL,6241329.0,1.4824,39.4001,10.854485217391304,31.681792685805362,2926
