book,mult,window,net,pf,dd_pct,monthly_pct,rf,n
OANDA_CFD,1,IS,398303.0,2.1877,3.8899,1.3276766666666666,20.4788297899689,301
OANDA_CFD,1,FULL,441245.0,1.8983,3.6946,0.7673826086956522,23.885941644562333,630
OANDA_CFD,3,IS,1194907.0,2.1877,7.7805,3.983023333333333,30.715429599640125,301
OANDA_CFD,3,FULL,1323736.0,1.8983,6.3779,2.302149565217391,41.51008952790103,630
OANDA_CFD,5,IS,1991524.0,2.1878,11.8144,6.638413333333333,33.71350216684724,301
OANDA_CFD,5,FULL,2206247.0,1.8983,9.0369,3.8369513043478265,48.82751828613795,630
OANDA_CFD,8,IS,3186389.0,2.1877,16.6775,10.621296666666666,38.21183031029831,301
OANDA_CFD,8,FULL,3529946.0,1.8983,13.9759,6.139036521739131,50.51475754692005,630
OANDA_CFD,10,IS,3983002.0,2.1877,19.3289,13.276673333333333,41.21291951430241,301
OANDA_CFD,10,FULL,4412469.0,1.8983,17.0892,7.673859130434782,51.64043957587247,630
OANDA_CFD,12,IS,4779606.0,2.1877,21.6204,15.932020000000001,44.213853582727424,301
OANDA_CFD,12,FULL,5294966.0,1.8983,20.0704,9.20863652173913,52.7639309630102,630
OANDA_CFD,15,IS,5974515.0,2.1877,24.5293,19.91505,48.713293897502176,301
OANDA_CFD,15,FULL,6618688.0,1.8983,24.3141,11.510761739130434,54.443207850588756,630
OANDA_FX,1,IS,364179.0,1.5029,7.9352,1.21393,9.178823470107874,1573
OANDA_FX,1,FULL,509257.0,1.4018,7.9018,0.885664347826087,12.889645397251261,2926
OANDA_FX,2,IS,746353.0,1.5093,15.8658,2.4878433333333336,9.408324824465202,1573
OANDA_FX,2,FULL,1039602.0,1.4065,14.8645,1.8080034782608694,13.987715698476235,2926
OANDA_FX,3,IS,1124898.0,1.5098,23.8086,3.74966,9.44950984098183,1573
OANDA_FX,3,FULL,1579845.0,1.4105,20.7615,2.7475565217391305,15.218987067408422,2926
OANDA_FX,4,IS,1512088.0,1.5133,31.7404,5.0402933333333335,9.527844639639072,1573
OANDA_FX,4,FULL,2114586.0,1.4116,26.0636,3.677540869565217,16.226353995610737,2926
