book,mult,window,status,deposit,months,net,pf,dd_pct,monthly_pct,rf,trades,win_pct,elapsed,run_id
XM5,1,FULL,FAILED,500000,115.0,,,,,,,,10.6,d50b_xm5_x1_full_20260904221116_5fce
XM5,3,FULL,OK,500000,115.0,1760246.0,1.9852,8.4419,3.0613,41.7,748,50.80213903743316,500.6,d50b_xm5_x3_full_20260904221621_4a82
XM5,5,FULL,OK,500000,115.0,2933806.0,1.9853,12.565,5.1023,46.7,748,50.80213903743316,490.3,d50b_xm5_x5_full_20260904222917_c22b
XM5,8,FULL,OK,500000,115.0,4694057.0,1.9853,19.2081,8.1636,48.88,748,50.80213903743316,490.7,d50b_xm5_x8_full_20260904224213_a3f5
XM5,10,FULL,OK,500000,115.0,5867559.0,1.9852,23.3195,10.2045,50.32,748,50.80213903743316,434.4,d50b_xm5_x10_full_20260904225443_0d83
XM5,15,FULL,OK,500000,115.0,8801324.0,1.9852,32.6285,15.3067,53.95,748,50.80213903743316,439.6,d50b_xm5_x15_full_20260904230617_420e
XM5,1,IS,OK,500000,60.0,487596.0,2.1887,5.2318,1.6253,18.64,372,54.56989247311827,365.5,d50b_xm5_x1_is_20260904220510_b2f6
XM5,3,IS,OK,500000,60.0,1462782.0,2.1886,11.4043,4.8759,25.65,372,54.56989247311827,295.0,d50b_xm5_x3_is_20260904221126_7435
XM5,5,IS,OK,500000,60.0,2437993.0,2.1886,14.9257,8.1266,32.67,372,54.56989247311827,275.0,d50b_xm5_x5_is_20260904222442_5b28
XM5,8,IS,OK,500000,60.0,3900748.0,2.1886,18.0633,13.0025,43.19,372,54.56989247311827,285.6,d50b_xm5_x8_is_20260904223727_6b77
XM5,10,IS,OK,500000,60.0,4875935.0,2.1886,19.4246,16.2531,50.2,372,54.56989247311827,259.4,d50b_xm5_x10_is_20260904225023_01ec
XM5,15,IS,OK,500000,60.0,7313912.0,2.1886,24.0562,24.3797,60.81,372,54.56989247311827,259.5,d50b_xm5_x15_is_20260904230157_0ddc
XMGOLD,1,FULL,OK,500000,115.0,456193.0,1.9459,3.6493,0.7934,25.0,600,52.83333333333333,123.9,d50b_xmgold_x1_full_20260904231500_9f3d
XMGOLD,5,FULL,OK,500000,115.0,2280977.0,1.9459,10.7698,3.9669,42.36,600,52.83333333333333,128.8,d50b_xmgold_x5_full_20260904231823_4778
XMGOLD,1,IS,OK,500000,60.0,379590.0,2.0824,4.0552,1.2653,18.72,305,55.08196721311476,84.1,d50b_xmgold_x1_is_20260904231336_7174
XMGOLD,5,IS,OK,500000,60.0,1898001.0,2.0825,15.4919,6.3267,24.5,305,55.08196721311476,78.7,d50b_xmgold_x5_is_20260904231704_9526
