book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
fx,FULL,0.5,1,0.1,500000,10000,3,20260911,2964,115.0,241.36808367071524,0.9511,0.0,0.0489,9511,0,489,8892,6221.0,1001444.3018399841,
fx,FULL,1,1,0.1,500000,10000,3,20260911,2964,115.0,121.94500674763833,0.9999,0.0,0.0001,9999,0,1,8892,3143.0,1003052.3178794472,
fx,FULL,2,1,0.1,500000,10000,3,20260911,2964,115.0,60.91430499325236,1.0,0.0,0.0,10000,0,0,8892,1570.0,1005788.9853441168,
fx,FULL,3,1,0.1,500000,10000,3,20260911,2964,115.0,40.544871794871796,1.0,0.0,0.0,10000,0,0,8892,1045.0,1008690.3666877298,
fx,FULL,4,1,0.1,500000,10000,3,20260911,2964,115.0,30.495951417004047,1.0,0.0,0.0,10000,0,0,8892,786.0,1011464.1298642851,
fx,FULL,6,1,0.1,500000,10000,3,20260911,2964,115.0,20.408232118758434,0.9999,0.0001,0.0,9999,1,0,8892,526.0,1016749.5932167596,49827.47613136943
fx,FULL,8,1,0.1,500000,10000,3,20260911,2964,115.0,15.519568151147098,0.9996,0.0004,0.0,9996,4,0,8892,400.0,1021206.8012199849,49227.66015305202
fx,FULL,12,1,0.1,500000,10000,3,20260911,2964,115.0,10.281713900134953,0.9943,0.0057,0.0,9943,57,0,8892,265.0,1030353.8660579994,48726.39264433835
fx,FULL,16,1,0.1,500000,10000,3,20260911,2964,115.0,7.565789473684211,0.9716,0.0284,0.0,9716,284,0,8892,195.0,1038180.2475878156,48463.08594355942
fx,FULL,24,1,0.1,500000,10000,3,20260911,2964,115.0,4.4618758434547905,0.8897,0.1103,0.0,8897,1103,0,8892,115.0,1054551.7794423706,48178.622433352655
fx,FULL,32,1,0.1,500000,10000,3,20260911,2964,115.0,2.8323211875843457,0.8012,0.1988,0.0,8012,1988,0,8892,73.0,1066905.050134434,47025.34323270204
fx,FULL,0.5,1,0.2,500000,10000,3,20260911,2964,115.0,241.36808367071524,0.9511,0.0,0.0489,9511,0,489,8892,6221.0,1001444.3018399841,
fx,FULL,1,1,0.2,500000,10000,3,20260911,2964,115.0,121.94500674763833,0.9999,0.0,0.0001,9999,0,1,8892,3143.0,1003052.3178794472,
fx,FULL,2,1,0.2,500000,10000,3,20260911,2964,115.0,60.91430499325236,1.0,0.0,0.0,10000,0,0,8892,1570.0,1005788.9853441168,
fx,FULL,3,1,0.2,500000,10000,3,20260911,2964,115.0,40.544871794871796,1.0,0.0,0.0,10000,0,0,8892,1045.0,1008690.3666877298,
fx,FULL,4,1,0.2,500000,10000,3,20260911,2964,115.0,30.495951417004047,0.9999,0.0001,0.0,9999,1,0,8892,786.0,1011464.871783279,99330.7467155005
fx,FULL,6,1,0.2,500000,10000,3,20260911,2964,115.0,20.408232118758434,0.9996,0.0004,0.0,9996,4,0,8892,526.0,1016740.6024666096,97758.39609717976
fx,FULL,8,1,0.2,500000,10000,3,20260911,2964,115.0,15.48076923076923,0.9977,0.0023,0.0,9977,23,0,8892,399.0,1021196.912340876,98825.04197362682
fx,FULL,12,1,0.2,500000,10000,3,20260911,2964,115.0,10.010121457489879,0.9739,0.0261,0.0,9739,261,0,8892,258.0,1030353.8660579994,98543.41538344655
fx,FULL,16,1,0.2,500000,10000,3,20260911,2964,115.0,7.06140350877193,0.9293,0.0707,0.0,9293,707,0,8892,182.0,1037982.5200240851,97403.10432926049
