book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
fx,IS,0.5,1,0.1,500000,10000,3,20260911,1591,60.0,160.6536769327467,0.2904,0.0,0.7096,2904,0,7096,4773,4260.0,1001617.1338350764,
fx,IS,1,1,0.1,500000,10000,3,20260911,1591,60.0,100.3519798868636,0.9737,0.0,0.0263,9737,0,263,4773,2661.0,1003108.6317202147,
fx,IS,2,1,0.1,500000,10000,3,20260911,1591,60.0,50.76052796983029,0.999,0.0,0.001,9990,0,10,4773,1346.0,1006127.1695005824,
fx,IS,3,1,0.1,500000,10000,3,20260911,1591,60.0,33.75235700817096,0.9997,0.0,0.0003,9997,0,3,4773,895.0,1008987.5026568966,
fx,IS,4,1,0.1,500000,10000,3,20260911,1591,60.0,25.757385292269014,0.9998,0.0,0.0002,9998,0,2,4773,683.0,1012117.9764216687,
fx,IS,6,1,0.1,500000,10000,3,20260911,1591,60.0,17.366436203645506,0.9998,0.0,0.0002,9998,0,2,4773,460.5,1017156.6205470401,
fx,IS,8,1,0.1,500000,10000,3,20260911,1591,60.0,13.12382149591452,0.9995,0.0003,0.0002,9995,3,2,4773,348.0,1022806.5109065115,49758.69546122298
fx,IS,12,1,0.1,500000,10000,3,20260911,1591,60.0,8.560653676932747,0.9934,0.0065,0.0001,9934,65,1,4773,227.0,1032030.4089853682,49161.432444109574
fx,IS,16,1,0.1,500000,10000,3,20260911,1591,60.0,6.411062225015713,0.9692,0.0308,0.0,9692,308,0,4773,170.0,1041675.6792288502,48534.99916124386
fx,IS,24,1,0.1,500000,10000,3,20260911,1591,60.0,3.8089252042740416,0.881,0.119,0.0,8810,1190,0,4773,101.0,1057944.102906962,47665.85627950889
fx,IS,32,1,0.1,500000,10000,3,20260911,1591,60.0,2.451288497800126,0.7888,0.2112,0.0,7888,2112,0,4773,65.0,1072761.9695110726,46618.27091633496
fx,IS,0.5,1,0.2,500000,10000,3,20260911,1591,60.0,160.6536769327467,0.2904,0.0,0.7096,2904,0,7096,4773,4260.0,1001617.1338350764,
fx,IS,1,1,0.2,500000,10000,3,20260911,1591,60.0,100.3519798868636,0.9737,0.0,0.0263,9737,0,263,4773,2661.0,1003108.6317202147,
fx,IS,2,1,0.2,500000,10000,3,20260911,1591,60.0,50.76052796983029,0.999,0.0,0.001,9990,0,10,4773,1346.0,1006127.1695005824,
fx,IS,3,1,0.2,500000,10000,3,20260911,1591,60.0,33.75235700817096,0.9997,0.0,0.0003,9997,0,3,4773,895.0,1008987.5026568966,
fx,IS,4,1,0.2,500000,10000,3,20260911,1591,60.0,25.757385292269014,0.9998,0.0,0.0002,9998,0,2,4773,683.0,1012117.9764216687,
fx,IS,6,1,0.2,500000,10000,3,20260911,1591,60.0,17.347580138277813,0.9994,0.0004,0.0002,9994,4,2,4773,460.0,1017146.0470299893,98707.4765796758
fx,IS,8,1,0.2,500000,10000,3,20260911,1591,60.0,13.086109365179132,0.9973,0.0026,0.0001,9973,26,1,4773,347.0,1022871.0456578509,99039.5105967804
