book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
fx,OOS,0.5,1,0.1,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,1,0.1,500000,10000,3,20260911,1372,55.0,144.55539358600583,0.1847,0.0,0.8153,1847,0,8153,4116,3606.0,1002108.6342702752,
fx,OOS,2,1,0.1,500000,10000,3,20260911,1372,55.0,99.09620991253644,0.8306,0.0,0.1694,8306,0,1694,4116,2472.0,1004122.0610907507,
fx,OOS,3,1,0.1,500000,10000,3,20260911,1372,55.0,68.8301749271137,0.938,0.0,0.062,9380,0,620,4116,1717.0,1006166.5926620662,
fx,OOS,4,1,0.1,500000,10000,3,20260911,1372,55.0,52.033527696793,0.9642,0.0,0.0358,9642,0,358,4116,1298.0,1008174.2353630944,
fx,OOS,6,1,0.1,500000,10000,3,20260911,1372,55.0,34.39504373177842,0.9788,0.0,0.0212,9788,0,212,4116,858.0,1012169.9935175716,
fx,OOS,8,1,0.1,500000,10000,3,20260911,1372,55.0,25.575801749271136,0.9824,0.0014,0.0162,9824,14,162,4116,638.0,1016287.6865692982,49698.77208238661
fx,OOS,12,1,0.1,500000,10000,3,20260911,1372,55.0,16.516034985422742,0.9735,0.0167,0.0098,9735,167,98,4116,412.0,1023527.4829464735,49266.22682965063
fx,OOS,16,1,0.1,500000,10000,3,20260911,1372,55.0,11.58527696793003,0.9336,0.063,0.0034,9336,630,34,4116,289.0,1030413.1983491494,48954.571565467515
fx,OOS,24,1,0.1,500000,10000,3,20260911,1372,55.0,6.173469387755102,0.8283,0.1716,0.0001,8283,1716,1,4116,154.0,1044514.1389563746,48348.97985810849
fx,OOS,32,1,0.1,500000,10000,3,20260911,1372,55.0,3.7682215743440235,0.7452,0.2548,0.0,7452,2548,0,4116,94.0,1055810.0650013774,47876.12135869289
fx,OOS,0.5,1,0.2,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,1,0.2,500000,10000,3,20260911,1372,55.0,144.55539358600583,0.1847,0.0,0.8153,1847,0,8153,4116,3606.0,1002108.6342702752,
fx,OOS,2,1,0.2,500000,10000,3,20260911,1372,55.0,99.09620991253644,0.8306,0.0,0.1694,8306,0,1694,4116,2472.0,1004122.0610907507,
fx,OOS,3,1,0.2,500000,10000,3,20260911,1372,55.0,68.8301749271137,0.938,0.0,0.062,9380,0,620,4116,1717.0,1006166.5926620662,
fx,OOS,4,1,0.2,500000,10000,3,20260911,1372,55.0,52.033527696793,0.9642,0.0,0.0358,9642,0,358,4116,1298.0,1008174.2353630944,
fx,OOS,6,1,0.2,500000,10000,3,20260911,1372,55.0,34.39504373177842,0.9787,0.0016,0.0197,9787,16,197,4116,858.0,1012171.3952072593,98886.9877887503
fx,OOS,8,1,0.2,500000,10000,3,20260911,1372,55.0,25.495626822157433,0.9797,0.0093,0.011,9797,93,110,4116,636.0,1016279.5265272291,99050.19640460677
fx,OOS,12,1,0.2,500000,10000,3,20260911,1372,55.0,15.794460641399416,0.941,0.0565,0.0025,9410,565,25,4116,394.0,1023604.2836037793,98542.87685711222
fx,OOS,16,1,0.2,500000,10000,3,20260911,1372,55.0,10.543002915451895,0.8757,0.124,0.0003,8757,1240,3,4116,263.0,1030368.3152817308,97942.4300561664
fx,OOS,24,1,0.2,500000,10000,3,20260911,1372,55.0,5.451895043731779,0.7582,0.2418,0.0,7582,2418,0,4116,136.0,1044879.5336815569,96592.70391798948
