book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
gold,FULL,0.5,1,0.1,500000,10000,3,20260911,932,115.0,110.681330472103,1.0,0.0,0.0,10000,0,0,2796,897.0,1003700.2774496377,
gold,FULL,1,1,0.1,500000,10000,3,20260911,932,115.0,55.772532188841204,1.0,0.0,0.0,10000,0,0,2796,452.0,1007215.7064761994,
gold,FULL,2,1,0.1,500000,10000,3,20260911,932,115.0,28.503218884120173,1.0,0.0,0.0,10000,0,0,2796,231.0,1014146.6832028537,
gold,FULL,3,1,0.1,500000,10000,3,20260911,932,115.0,19.125536480686694,1.0,0.0,0.0,10000,0,0,2796,155.0,1020850.7069861831,
gold,FULL,4,1,0.1,500000,10000,3,20260911,932,115.0,14.683476394849786,1.0,0.0,0.0,10000,0,0,2796,119.0,1026767.315473527,
gold,FULL,6,1,0.1,500000,10000,3,20260911,932,115.0,9.994635193133048,1.0,0.0,0.0,10000,0,0,2796,81.0,1037996.06303008,
gold,FULL,8,1,0.1,500000,10000,3,20260911,932,115.0,7.773605150214593,1.0,0.0,0.0,10000,0,0,2796,63.0,1048940.6000143054,
gold,FULL,12,1,0.1,500000,10000,3,20260911,932,115.0,5.429184549356223,0.999,0.001,0.0,9990,10,0,2796,44.0,1069749.6778157614,48566.35055763332
gold,FULL,16,1,0.1,500000,10000,3,20260911,932,115.0,4.195278969957082,0.9892,0.0108,0.0,9892,108,0,2796,34.0,1085883.375006479,45474.92655169207
gold,FULL,24,1,0.1,500000,10000,3,20260911,932,115.0,2.5912017167381975,0.9094,0.0906,0.0,9094,906,0,2796,21.0,1116169.303812412,40173.95525964594
gold,FULL,32,1,0.1,500000,10000,3,20260911,932,115.0,1.8508583690987124,0.8424,0.1576,0.0,8424,1576,0,2796,15.0,1144108.7737053947,-11618.991447434724
gold,FULL,0.5,1,0.2,500000,10000,3,20260911,932,115.0,110.681330472103,1.0,0.0,0.0,10000,0,0,2796,897.0,1003700.2774496377,
gold,FULL,1,1,0.2,500000,10000,3,20260911,932,115.0,55.772532188841204,1.0,0.0,0.0,10000,0,0,2796,452.0,1007215.7064761994,
gold,FULL,2,1,0.2,500000,10000,3,20260911,932,115.0,28.503218884120173,1.0,0.0,0.0,10000,0,0,2796,231.0,1014146.6832028537,
gold,FULL,3,1,0.2,500000,10000,3,20260911,932,115.0,19.125536480686694,1.0,0.0,0.0,10000,0,0,2796,155.0,1020850.7069861831,
gold,FULL,4,1,0.2,500000,10000,3,20260911,932,115.0,14.683476394849786,1.0,0.0,0.0,10000,0,0,2796,119.0,1026767.315473527,
gold,FULL,6,1,0.2,500000,10000,3,20260911,932,115.0,9.994635193133048,1.0,0.0,0.0,10000,0,0,2796,81.0,1037996.06303008,
gold,FULL,8,1,0.2,500000,10000,3,20260911,932,115.0,7.773605150214593,0.9996,0.0004,0.0,9996,4,0,2796,63.0,1048940.6000143054,98510.83507483646
