book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
gold,OOS,0.5,1,0.1,500000,10000,3,20260911,470,55.0,,0.0,0.0,1.0,0,0,10000,1410,,,
gold,OOS,1,1,0.1,500000,10000,3,20260911,470,55.0,138.84574468085106,0.5494,0.0,0.4506,5494,0,4506,1410,1186.5,1002960.1944879745,
gold,OOS,2,1,0.1,500000,10000,3,20260911,470,55.0,79.92553191489361,0.9862,0.0,0.0138,9862,0,138,1410,683.0,1005864.5736349532,
gold,OOS,3,1,0.1,500000,10000,3,20260911,470,55.0,53.47872340425532,0.9973,0.0,0.0027,9973,0,27,1410,457.0,1008734.5708723898,
gold,OOS,4,1,0.1,500000,10000,3,20260911,470,55.0,40.37234042553192,0.999,0.0,0.001,9990,0,10,1410,345.0,1011323.249706155,
gold,OOS,6,1,0.1,500000,10000,3,20260911,470,55.0,27.03191489361702,0.9994,0.0,0.0006,9994,0,6,1410,231.0,1016678.9291327368,
gold,OOS,8,1,0.1,500000,10000,3,20260911,470,55.0,20.24468085106383,0.9995,0.0001,0.0004,9995,1,4,1410,173.0,1022249.8689649691,44612.42774671739
gold,OOS,12,1,0.1,500000,10000,3,20260911,470,55.0,13.808510638297872,0.9983,0.0013,0.0004,9983,13,4,1410,118.0,1032795.7806264203,46669.369687525395
gold,OOS,16,1,0.1,500000,10000,3,20260911,470,55.0,10.297872340425531,0.9898,0.0101,0.0001,9898,101,1,1410,88.0,1042439.9585061853,43091.21125675506
gold,OOS,24,1,0.1,500000,10000,3,20260911,470,55.0,6.202127659574468,0.9059,0.0941,0.0,9059,941,0,1410,53.0,1059006.2551068487,43769.0181842971
gold,OOS,32,1,0.1,500000,10000,3,20260911,470,55.0,4.329787234042553,0.8628,0.1372,0.0,8628,1372,0,1410,37.0,1078107.6395952795,-74331.05167609584
gold,OOS,0.5,1,0.2,500000,10000,3,20260911,470,55.0,,0.0,0.0,1.0,0,0,10000,1410,,,
gold,OOS,1,1,0.2,500000,10000,3,20260911,470,55.0,138.84574468085106,0.5494,0.0,0.4506,5494,0,4506,1410,1186.5,1002960.1944879745,
gold,OOS,2,1,0.2,500000,10000,3,20260911,470,55.0,79.92553191489361,0.9862,0.0,0.0138,9862,0,138,1410,683.0,1005864.5736349532,
gold,OOS,3,1,0.2,500000,10000,3,20260911,470,55.0,53.47872340425532,0.9973,0.0,0.0027,9973,0,27,1410,457.0,1008734.5708723898,
gold,OOS,4,1,0.2,500000,10000,3,20260911,470,55.0,40.37234042553192,0.999,0.0,0.001,9990,0,10,1410,345.0,1011323.249706155,
gold,OOS,6,1,0.2,500000,10000,3,20260911,470,55.0,27.03191489361702,0.9994,0.0001,0.0005,9994,1,5,1410,231.0,1016678.9291327368,95528.76941012549
gold,OOS,8,1,0.2,500000,10000,3,20260911,470,55.0,20.24468085106383,0.9991,0.0005,0.0004,9991,5,4,1410,173.0,1022262.3592741987,91133.4490571829
gold,OOS,12,1,0.2,500000,10000,3,20260911,470,55.0,13.691489361702128,0.9919,0.008,0.0001,9919,80,1,1410,117.0,1032876.3546967712,96218.24401274577
gold,OOS,16,1,0.2,500000,10000,3,20260911,470,55.0,10.063829787234043,0.9695,0.0305,0.0,9695,305,0,1410,86.0,1042524.386009067,93903.68776962675
gold,OOS,24,1,0.2,500000,10000,3,20260911,470,55.0,5.73404255319149,0.8499,0.1501,0.0,8499,1501,0,1410,49.0,1059068.7564166225,71324.5506495071
gold,OOS,32,1,0.2,500000,10000,3,20260911,470,55.0,4.212765957446808,0.8489,0.1511,0.0,8489,1511,0,1410,36.0,1077923.2393613663,-69837.33416261183
gold,OOS,0.5,1,0.3,500000,10000,3,20260911,470,55.0,,0.0,0.0,1.0,0,0,10000,1410,,,
gold,OOS,1,1,0.3,500000,10000,3,20260911,470,55.0,138.84574468085106,0.5494,0.0,0.4506,5494,0,4506,1410,1186.5,1002960.1944879745,
gold,OOS,2,1,0.3,500000,10000,3,20260911,470,55.0,79.92553191489361,0.9862,0.0,0.0138,9862,0,138,1410,683.0,1005864.5736349532,
gold,OOS,3,1,0.3,500000,10000,3,20260911,470,55.0,53.47872340425532,0.9973,0.0,0.0027,9973,0,27,1410,457.0,1008734.5708723898,
gold,OOS,4,1,0.3,500000,10000,3,20260911,470,55.0,40.37234042553192,0.999,0.0,0.001,9990,0,10,1410,345.0,1011323.249706155,
gold,OOS,6,1,0.3,500000,10000,3,20260911,470,55.0,27.03191489361702,0.9991,0.0004,0.0005,9991,4,5,1410,231.0,1016674.8740166611,147410.75885309067
gold,OOS,8,1,0.3,500000,10000,3,20260911,470,55.0,20.127659574468087,0.9975,0.0023,0.0002,9975,23,2,1410,172.0,1022262.3592741987,147955.09417734106
gold,OOS,12,1,0.3,500000,10000,3,20260911,470,55.0,13.574468085106384,0.9791,0.0209,0.0,9791,209,0,1410,116.0,1032904.9076765806,144637.29668961623
gold,OOS,16,1,0.3,500000,10000,3,20260911,470,55.0,9.712765957446809,0.9343,0.0657,0.0,9343,657,0,1410,83.0,1042645.749270034,142033.19823147822
gold,OOS,24,1,0.3,500000,10000,3,20260911,470,55.0,5.617021276595745,0.8341,0.1659,0.0,8341,1659,0,1410,48.0,1058795.1886886128,77520.24340483865
gold,OOS,32,1,0.3,500000,10000,3,20260911,470,55.0,4.095744680851064,0.8231,0.1769,0.0,8231,1769,0,1410,35.0,1077646.2068524305,-56734.172130190105
gold,OOS,0.5,10,0.1,500000,10000,3,20260911,470,55.0,,0.0,0.0,1.0,0,0,10000,1410,,,
gold,OOS,1,10,0.1,500000,10000,3,20260911,470,55.0,140.77659574468086,0.5026,0.0,0.4974,5026,0,4974,1410,1203.0,1003458.9268842828,
gold,OOS,2,10,0.1,500000,10000,3,20260911,470,55.0,82.5,0.9865,0.0,0.0135,9865,0,135,1410,705.0,1006811.1296401867,
gold,OOS,3,10,0.1,500000,10000,3,20260911,470,55.0,55.819148936170215,0.9982,0.0,0.0018,9982,0,18,1410,477.0,1009966.3007430928,
gold,OOS,4,10,0.1,500000,10000,3,20260911,470,55.0,42.12765957446808,0.9996,0.0,0.0004,9996,0,4,1410,360.0,1013256.6082740576,
gold,OOS,6,10,0.1,500000,10000,3,20260911,470,55.0,28.43617021276596,1.0,0.0,0.0,10000,0,0,1410,243.0,1018841.3844704258,
gold,OOS,8,10,0.1,500000,10000,3,20260911,470,55.0,21.648936170212767,1.0,0.0,0.0,10000,0,0,1410,185.0,1025589.1544356516,
gold,OOS,12,10,0.1,500000,10000,3,20260911,470,55.0,14.97872340425532,1.0,0.0,0.0,10000,0,0,1410,128.0,1036878.5005223718,
gold,OOS,16,10,0.1,500000,10000,3,20260911,470,55.0,11.46808510638298,0.9981,0.0016,0.0003,9981,16,3,1410,98.0,1047931.3038757155,48632.84880914886
gold,OOS,24,10,0.1,500000,10000,3,20260911,470,55.0,7.372340425531915,0.9272,0.0728,0.0,9272,728,0,1410,63.0,1066665.3717505368,39196.62641159924
gold,OOS,32,10,0.1,500000,10000,3,20260911,470,55.0,5.26595744680851,0.8605,0.1395,0.0,8605,1395,0,1410,45.0,1086210.607903469,-95389.66510984662
gold,OOS,0.5,10,0.2,500000,10000,3,20260911,470,55.0,,0.0,0.0,1.0,0,0,10000,1410,,,
gold,OOS,1,10,0.2,500000,10000,3,20260911,470,55.0,140.77659574468086,0.5026,0.0,0.4974,5026,0,4974,1410,1203.0,1003458.9268842828,
gold,OOS,2,10,0.2,500000,10000,3,20260911,470,55.0,82.5,0.9865,0.0,0.0135,9865,0,135,1410,705.0,1006811.1296401867,
gold,OOS,3,10,0.2,500000,10000,3,20260911,470,55.0,55.819148936170215,0.9982,0.0,0.0018,9982,0,18,1410,477.0,1009966.3007430928,
gold,OOS,4,10,0.2,500000,10000,3,20260911,470,55.0,42.12765957446808,0.9996,0.0,0.0004,9996,0,4,1410,360.0,1013256.6082740576,
gold,OOS,6,10,0.2,500000,10000,3,20260911,470,55.0,28.43617021276596,1.0,0.0,0.0,10000,0,0,1410,243.0,1018841.3844704258,
gold,OOS,8,10,0.2,500000,10000,3,20260911,470,55.0,21.648936170212767,1.0,0.0,0.0,10000,0,0,1410,185.0,1025589.1544356516,
