proposal_id,base,description,parameter_json,cap,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
Y100,X005,重み＋cap100%（使用証拠金がequityを超えない上限）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W1,OK,6725965.0,1.2546,51.9383,56.0497,579,7225965.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxcap25\run_deals\mc_w1_Y100_20260915082323_0b77_deals.csv,164.6,mc_w1_Y100_20260915082323_0b77,-504369,13,-362332,4,3334894,32,-421524,113,4298586,26,10141,15,293940,3,-44361,108,120990,265
Y100,X005,重み＋cap100%（使用証拠金がequityを超えない上限）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W2,OK,1348701.0,1.2361,57.2271,11.2392,529,1848701.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxcap25\run_deals\mc_w2_Y100_20260915082608_0b83_deals.csv,79.1,mc_w2_Y100_20260915082608_0b83,-92204,10,158506,5,216872,33,232510,112,592457,18,27942,11,-263667,3,-70610,94,333998,243
Y100,X005,重み＋cap100%（使用証拠金がequityを超えない上限）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W3,OK,1097587.0,1.1268,50.3021,9.1466,508,1597587.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxcap25\run_deals\mc_w3_Y100_20260915082727_18bf_deals.csv,54.3,mc_w3_Y100_20260915082727_18bf,-48012,2,826109,6,498521,40,-256038,107,-86567,26,-18837,12,-393526,4,13305,84,169315,227
Y100,X005,重み＋cap100%（使用証拠金がequityを超えない上限）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,OOS,OK,51320738.0,1.2703,64.4765,186.6209,1310,51820738.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxcap25\run_deals\mc_oos_Y100_20260915082821_5d74_deals.csv,230.6,mc_oos_Y100_20260915082821_5d74,2182657,18,24050999,15,-3540014,84,-4265023,265,10639557,59,6282,29,-5262707,7,-45015,246,430677,587
Y060,X005,重み＋cap60%（下側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 60, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",60,W1,OK,4394353.0,1.3776,35.5642,36.6196,579,4894353.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxcap25\run_deals\mc_w1_Y060_20260915083212_7835_deals.csv,164.5,mc_w1_Y060_20260915083212_7835,-372588,13,-214555,4,2273605,32,175799,114,2114752,26,5494,14,123249,3,-48408,109,337005,264
Y060,X005,重み＋cap60%（下側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 60, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",60,W2,OK,471934.0,1.16,46.398,3.9328,493,971934.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxcap25\run_deals\mc_w2_Y060_20260915083456_27f2_deals.csv,79.3,mc_w2_Y060_20260915083456_27f2,-47928,10,38367,5,211024,29,169981,102,196077,14,2442,12,-241064,3,-70784,91,189698,227
Y060,X005,重み＋cap60%（下側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 60, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",60,W3,OK,473019.0,1.1119,43.3964,3.9418,480,973019.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxcap25\run_deals\mc_w3_Y060_20260915083615_ebd7_deals.csv,54.0,mc_w3_Y060_20260915083615_ebd7,-21199,2,448331,6,309130,37,-42184,101,-27589,23,-42035,10,-301704,4,34,79,92231,218
Y060,X005,重み＋cap60%（下側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 60, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",60,OOS,OK,16938410.0,1.2379,47.7218,61.5942,1272,17438410.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxcap25\run_deals\mc_oos_Y060_20260915083709_0469_deals.csv,231.4,mc_oos_Y060_20260915083709_0469,-158339,17,10279923,14,2171879,84,1552007,255,1487675,57,-11346,28,-3288139,7,-47275,243,608160,567
Y090,X005,重み＋cap90%,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,W1,OK,6094303.0,1.2772,47.4527,50.7859,579,6594303.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxcap25\run_deals\mc_w1_Y090_20260915084101_f061_deals.csv,169.7,mc_w1_Y090_20260915084101_f061,-467641,13,-311470,4,3043012,32,-195654,113,3648712,26,25114,16,233283,3,-40615,107,159562,265
Y090,X005,重み＋cap90%,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,W2,OK,1133625.0,1.2311,54.9757,9.4469,527,1633625.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxcap25\run_deals\mc_w2_Y090_20260915084351_022b_deals.csv,84.1,mc_w2_Y090_20260915084351_022b,-84364,10,130326,5,208363,33,232004,109,471340,18,27251,12,-254280,3,-71246,95,317925,242
