proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,blown,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
C001,fixed,RefCap=78000(固定) / 倍率1 / 重み全1.0,"{""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",1,FULL,OK,379084.0,1.2982,5.5891,0.6593,2969,879084.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C001_20260908223919_2760_deals.csv,635.2,fc_full_C001_20260908223919_2760,20455,77,45029,28,15310,195,11835,544,29715,127,15093,86,56128,13,16339,594,115992,1305
C002,fixed,RefCap=78000(固定) / 倍率1 / 重み0.5-0.5,"{""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",1,FULL,OK,242908.0,1.2393,3.4877,0.4224,2969,742908.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C002_20260908224954_3d37_deals.csv,639.4,fc_full_C002_20260908224954_3d37,20455,77,45029,28,15310,195,11835,544,29715,127,15093,86,19026,13,16339,594,52344,1305
C003,fixed,RefCap=78000(固定) / 倍率2 / 重み全1.0,"{""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",2,FULL,OK,823045.0,1.3204,9.7961,1.4314,2969,1323045.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C003_20260908230034_f03d_deals.csv,645.5,fc_full_C003_20260908230034_f03d,51540,77,108931,28,30797,195,23531,544,59443,127,30111,86,130087,13,32678,594,231984,1305
C004,fixed,RefCap=78000(固定) / 倍率2 / 重み0.5-0.5,"{""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",2,FULL,OK,562293.0,1.3178,6.9934,0.9779,2969,1062293.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C004_20260908231119_8345_deals.csv,650.5,fc_full_C004_20260908231119_8345,51540,77,108931,28,30797,195,23531,544,59443,127,30111,86,56128,13,32678,594,115992,1305
C005,fixed,RefCap=78000(固定) / 倍率3 / 重み全1.0,"{""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",3,FULL,OK,1267215.0,1.3272,13.9776,2.2039,2969,1767215.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C005_20260908232210_fa6c_deals.csv,660.5,fc_full_C005_20260908232210_fa6c,86058,77,168384,28,46135,195,35387,544,89155,127,45211,86,205004,13,49016,594,347976,1305
C006,fixed,RefCap=78000(固定) / 倍率3 / 重み0.5-0.5,"{""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",3,FULL,OK,880443.0,1.3481,9.7452,1.5312,2969,1380443.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C006_20260908233310_b0cc_deals.csv,645.5,fc_full_C006_20260908233310_b0cc,86058,77,168384,28,46135,195,35387,544,89155,127,45211,86,92985,13,49016,594,179640,1305
C007,compounding,RefCap=0(複利) / 倍率1 / 重み全1.0,"{""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",1,FULL,OK,6273803.0,2.6054,21.3591,10.911,2969,6773803.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C007_20260908234356_6160_deals.csv,665.7,fc_full_C007_20260908234356_6160,821884,77,1562639,28,15310,195,11835,544,29715,127,15093,86,706721,13,16339,594,115992,1305
C008,compounding,RefCap=0(複利) / 倍率1 / 重み0.5-0.5,"{""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",1,FULL,OK,3125773.0,2.1624,18.8184,5.4361,2969,3625773.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C008_20260908235501_0661_deals.csv,690.7,fc_full_C008_20260908235501_0661,587135,77,1041515,28,15310,195,11835,544,29715,127,15093,86,328270,13,16339,594,52344,1305
C009,compounding,RefCap=0(複利) / 倍率2 / 重み全1.0,"{""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",2,FULL,OK,37108479.0,3.0779,39.8396,64.5365,2969,37608479.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C009_20260909000632_8355_deals.csv,695.7,fc_full_C009_20260909000632_8355,3944094,77,9974968,28,30797,195,23531,544,59443,127,30111,86,1276411,13,32678,594,231984,1305
C010,compounding,RefCap=0(複利) / 倍率2 / 重み0.5-0.5,"{""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":0.5,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",2,FULL,OK,16723515.0,2.5657,35.4417,29.0844,2969,17223515.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxcomp1\run_deals\fc_full_C010_20260909001808_096c_deals.csv,685.7,fc_full_C010_20260909001808_096c,2753301,77,5764514,28,30797,195,23531,544,59443,127,30111,86,821871,13,32678,594,115992,1305
