proposal_id,base,description,parameter_json,cap,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
E05,Y100,Carry ＋ PB USDJPY ＋ RSI EURUSD を止める（IS証拠金日の56%を解放）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W1,OK,8071968.0,1.9133,48.0342,67.2664,465,8571968.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxeff1\run_deals\mc_w1_E05_20260915093000_b52b_deals.csv,124.6,mc_w1_E05_20260915093000_b52b,,,-599130,4,2580902,32,,,5949791,29,34220,16,,,-41574,110,147759,274
E05,Y100,Carry ＋ PB USDJPY ＋ RSI EURUSD を止める（IS証拠金日の56%を解放）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W2,OK,2148828.0,1.4472,44.4891,17.9069,427,2648828.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxeff1\run_deals\mc_w2_E05_20260915093204_171c_deals.csv,69.5,mc_w2_E05_20260915093204_171c,,,303005,5,546497,35,,,1048206,19,33499,12,,,-43970,100,283407,256
E05,Y100,Carry ＋ PB USDJPY ＋ RSI EURUSD を止める（IS証拠金日の56%を解放）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W3,OK,641976.0,1.1422,46.6135,5.3498,428,1141976.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxeff1\run_deals\mc_w3_E05_20260915093314_1a46_deals.csv,49.6,mc_w3_E05_20260915093314_1a46,,,455488,6,240374,42,,,-332273,26,-18790,12,,,49993,93,247184,249
E05,Y100,Carry ＋ PB USDJPY ＋ RSI EURUSD を止める（IS証拠金日の56%を解放）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,OOS,OK,28829313.0,1.3434,48.0342,104.8339,1066,29329313.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxeff1\run_deals\mc_oos_E05_20260915093403_8e31_deals.csv,179.7,mc_oos_E05_20260915093403_8e31,,,22964752,15,-4321472,86,,,8656156,62,23541,30,,,-29780,260,578562,613
E07,E05,E05 ＋ 倍率5,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 5, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W1,OK,10688827.0,1.7396,56.0611,89.0736,461,11188827.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxeff1\run_deals\mc_w1_E07_20260915093703_7e1d_deals.csv,124.3,mc_w1_E07_20260915093703_7e1d,,,-1278239,4,4702976,32,,,7091139,28,-29113,13,,,-97081,109,299145,275
E07,E05,E05 ＋ 倍率5,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 5, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W2,OK,1147621.0,1.2064,60.042,9.5635,422,1647621.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxeff1\run_deals\mc_w2_E07_20260915093907_60a2_deals.csv,64.3,mc_w2_E07_20260915093907_60a2,,,166661,5,62108,35,,,645136,19,18440,10,,,-84728,99,362705,254
E07,E05,E05 ＋ 倍率5,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 5, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W3,OK,413357.0,1.0841,63.1456,3.4446,419,913357.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxeff1\run_deals\mc_w3_E07_20260915094012_6524_deals.csv,44.2,mc_w3_E07_20260915094012_6524,,,495607,6,9116,41,,,-278445,26,-45510,11,,,53205,90,179384,245
E07,E05,E05 ＋ 倍率5,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 5, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,OOS,OK,73213778.0,1.546,56.9129,266.2319,1065,73713778.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxeff1\run_deals\mc_oos_E07_20260915094056_6f02_deals.csv,154.9,mc_oos_E07_20260915094056_6f02,,,59425694,15,-1130089,87,,,12920850,61,-46900,27,,,-76945,261,1089988,614
E03,Y100,RSI EURUSD を止める（IS証拠金日の43.6%を1枠で占める）,"{""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W1,OK,9650352.0,1.8377,43.2226,80.4196,482,10150352.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxeff1\run_deals\mc_w1_E03_20260915094331_814e_deals.csv,159.7,mc_w1_E03_20260915094331_814e,-593541,13,-831969,4,3845379,32,,,6820192,29,34192,16,323552,3,-57552,110,110099,275
E03,Y100,RSI EURUSD を止める（IS証拠金日の43.6%を1枠で占める）,"{""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W2,OK,392396.0,1.1238,55.7093,3.27,438,892396.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxeff1\run_deals\mc_w2_E03_20260915094610_488a_deals.csv,79.2,mc_w2_E03_20260915094610_488a,-79354,10,62005,5,171719,35,,,361335,19,26375,11,-292162,3,-45482,99,195010,256
