proposal_id,base,description,parameter_json,cap,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
I000,Y090,対照: X005＋cap90。再コンパイルEAが Y090 を厳密に再現すること,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,OOS,OK,45221926.0,1.2852,68.2165,164.4434,1309,45721926.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_oos_I000_20260915195431_9903_deals.csv,275.0,mc_oos_I000_20260915195431_9903,824205,18,20979332,15,-3314942,84,51256,264,6685485,59,21255,30,-4754575,7,-40865,246,462782,586
I000,Y090,対照: X005＋cap90。再コンパイルEAが Y090 を厳密に再現すること,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,W1,OK,6094303.0,1.2772,47.4527,50.7859,579,6594303.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_w1_I000_20260915195906_798a_deals.csv,228.1,mc_w1_I000_20260915195906_798a,-467641,13,-311470,4,3043012,32,-195654,113,3648712,26,25114,16,233283,3,-40615,107,159562,265
I000,Y090,対照: X005＋cap90。再コンパイルEAが Y090 を厳密に再現すること,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,W2,OK,1133625.0,1.2311,54.9757,9.4469,527,1633625.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_w2_I000_20260915200254_774e_deals.csv,83.9,mc_w2_I000_20260915200254_774e,-84364,10,130326,5,208363,33,232004,109,471340,18,27251,12,-254280,3,-71246,95,317925,242
I000,Y090,対照: X005＋cap90。再コンパイルEAが Y090 を厳密に再現すること,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,W3,OK,1155866.0,1.1527,47.4205,9.6322,508,1655866.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_w3_I000_20260915200418_a252_deals.csv,53.7,mc_w3_I000_20260915200418_a252,-44475,2,780155,6,479885,40,-123593,109,-64293,25,-23208,12,-377506,4,8256,83,149986,227
I001,Y100,X005＋cap100（capが最も効く側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,OOS,OK,51320738.0,1.2703,64.4765,186.6209,1310,51820738.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_oos_I001_20260915200512_4d2e_deals.csv,234.2,mc_oos_I001_20260915200512_4d2e,2182657,18,24050999,15,-3540014,84,-4265023,265,10639557,59,6282,29,-5262707,7,-45015,246,430677,587
I001,Y100,X005＋cap100（capが最も効く側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W1,OK,6725965.0,1.2546,51.9383,56.0497,579,7225965.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_w1_I001_20260915200906_f783_deals.csv,169.5,mc_w1_I001_20260915200906_f783,-504369,13,-362332,4,3334894,32,-421524,113,4298586,26,10141,15,293940,3,-44361,108,120990,265
I001,Y100,X005＋cap100（capが最も効く側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W2,OK,1348701.0,1.2361,57.2271,11.2392,529,1848701.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_w2_I001_20260915201155_086c_deals.csv,83.8,mc_w2_I001_20260915201155_086c,-92204,10,158506,5,216872,33,232510,112,592457,18,27942,11,-263667,3,-70610,94,333998,243
I001,Y100,X005＋cap100（capが最も効く側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W3,OK,1097587.0,1.1268,50.3021,9.1466,508,1597587.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_w3_I001_20260915201319_5091_deals.csv,53.7,mc_w3_I001_20260915201319_5091,-48012,2,826109,6,498521,40,-256038,107,-86567,26,-18837,12,-393526,4,13305,84,169315,227
I002,X005,X005＋cap80（本番候補側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 80, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",80,OOS,OK,45876091.0,1.3065,62.0008,166.8221,1306,46376091.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_oos_I002_20260915201413_ddb2_deals.csv,229.2,mc_oos_I002_20260915201413_ddb2,225605,18,21401442,15,-1738727,84,2192392,263,5951863,58,17261,30,-5129576,7,-44069,245,525389,586
I002,X005,X005＋cap80（本番候補側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 80, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",80,W1,OK,6607649.0,1.3248,43.6996,55.0637,580,7107649.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_w1_I002_20260915201802_d1ae_deals.csv,164.5,mc_w1_I002_20260915201802_d1ae,-521208,13,-319895,4,3269348,32,-106530,114,3909906,26,21120,16,179512,3,-41650,107,217046,265
I002,X005,X005＋cap80（本番候補側）,"{""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 80, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",80,W2,OK,920432.0,1.2199,51.937,7.6703,523,1420432.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxinstr1\run_deals\mc_w2_I002_20260915202047_357b_deals.csv,78.8,mc_w2_I002_20260915202047_357b,-79926,10,101150,5,228210,33,218984,109,359730,17,20695,12,-248257,3,-71796,92,284189,242
