proposal_id,window,status,net,pf,dd_pct,trades,deals,elapsed,run_id,description,parameter_json,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
R001,FULL,OK,338709.0,1.2811,7.7881,2917,oa_full_R001_20260910162215_27c9_deals.csv,1012.1,oa_full_R001_20260910162215_27c9,マスク=0 / risk%=0.5 / FxRiskRefCap=0 / RefCap=78000 / 倍率=1,"{""FxRiskMask"":0,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",15777,74,50851,20,10625,186,25339,538,23244,121,18993,90,7359,4,17823,583,119737,1301
R031,FULL,OK,2550997.0,1.4573,27.093,2917,oa_full_R031_20260910163907_86f6_deals.csv,971.8,oa_full_R031_20260910163907_86f6,マスク=31 / risk%=0.5 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=3,"{""FxRiskMask"":31,""FxRiskPct"":0.5,""FxRiskRefCap"":250000,""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",252398,74,674978,20,73408,186,265250,538,123036,121,57073,90,87333,4,53469,583,359211,1301
R035,FULL,OK,32378241.0,2.3211,33.5056,2917,oa_full_R035_20260910165519_b6e4_deals.csv,962.2,oa_full_R035_20260910165519_b6e4,マスク=31 / risk%=0.25 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,"{""FxRiskMask"":31,""FxRiskPct"":0.25,""FxRiskRefCap"":0,""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",3625179,74,8013987,20,1068439,186,1597382,538,633506,121,38065,90,762187,4,35646,583,239474,1301
R037,FULL,OK,41938840.0,1.8099,30.7201,2917,oa_full_R037_20260910171121_3890_deals.csv,976.1,oa_full_R037_20260910171121_3890,マスク=31 / risk%=0.5 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,"{""FxRiskMask"":31,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",5461239,74,9786326,20,2816042,186,4382824,538,1814483,121,38065,90,1000365,4,35646,583,239474,1301
R001,OOS,OK,86828.0,1.1652,7.7881,1349,oa_oos_R001_20260910172738_13d7_deals.csv,349.9,oa_oos_R001_20260910172738_13d7,マスク=0 / risk%=0.5 / FxRiskRefCap=0 / RefCap=78000 / 倍率=1,"{""FxRiskMask"":0,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",-1929,19,26506,9,4102,80,9885,265,15418,63,2167,28,-125,2,-4222,267,34816,616
R031,OOS,OK,639894.0,1.2563,27.093,1349,oa_oos_R031_20260910173327_8e5e_deals.csv,349.9,oa_oos_R031_20260910173327_8e5e,マスク=31 / risk%=0.5 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=3,"{""FxRiskMask"":31,""FxRiskPct"":0.5,""FxRiskRefCap"":250000,""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",-11959,19,316631,9,28132,80,121627,265,89469,63,6455,28,-3501,2,-12666,267,104448,616
R035,OOS,OK,1007556.0,1.4589,33.5056,1349,oa_oos_R035_20260910173917_67cd_deals.csv,354.9,oa_oos_R035_20260910173917_67cd,マスク=31 / risk%=0.25 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,"{""FxRiskMask"":31,""FxRiskPct"":0.25,""FxRiskRefCap"":0,""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",102258,19,662675,9,7768,80,99654,265,75779,63,4348,28,-8839,2,-8444,267,69632,616
R037,OOS,OK,1562929.0,1.3926,30.7201,1349,oa_oos_R037_20260910174512_a970_deals.csv,349.9,oa_oos_R037_20260910174512_a970,マスク=31 / risk%=0.5 / FxRiskRefCap=0 / RefCap=0 / 倍率=2,"{""FxRiskMask"":31,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":2,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":0,""RefCap_PB_GBPJPY"":0,""RefCap_PB_USDJPY"":0}",133430,19,954444,9,18378,80,198835,265,180958,63,4348,28,3593,2,-8444,267,69632,616
R001,IS,OK,252646.0,1.3723,4.0483,1568,oa_is_R001_20260910175141_1861_deals.csv,460.4,oa_is_R001_20260910175141_1861,マスク=0 / risk%=0.5 / FxRiskRefCap=0 / RefCap=78000 / 倍率=1,"{""FxRiskMask"":0,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",17706,55,24345,11,6523,106,15454,273,8381,58,16826,62,7484,2,22045,316,84921,685
R031,IS,OK,1915690.0,1.6223,23.0316,1568,oa_is_R031_20260910175921_3fca_deals.csv,460.3,oa_is_R031_20260910175921_3fca,マスク=31 / risk%=0.5 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=3,"{""FxRiskMask"":31,""FxRiskPct"":0.5,""FxRiskRefCap"":250000,""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",264357,55,358347,11,45276,106,143623,273,36896,58,50618,62,90834,2,66135,316,254763,685
