proposal_id,base,description,parameter_json,cap,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
P000,本番現行,"本番現行（RefCap=78,000・倍率1・cap無し）を OANDAフィードで","{""FxRiskMask"": 0, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 78000, ""RefCap_PB_GBPJPY"": 78000, ""RefCap_PB_USDJPY"": 78000}",0,W1,OK,12449.0,1.0509,7.7898,0.1037,603,512449.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxoanda2\run_deals\mc_w1_P000_20260917151312_02e2_deals.csv,184.0,mc_w1_P000_20260917151312_02e2,-5116,13,-3193,3,5736,31,6767,114,11771,27,2343,14,-125,2,-2668,120,-2984,279
P000,本番現行,"本番現行（RefCap=78,000・倍率1・cap無し）を OANDAフィードで","{""FxRiskMask"": 0, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 78000, ""RefCap_PB_GBPJPY"": 78000, ""RefCap_PB_USDJPY"": 78000}",0,W2,OK,4977.0,1.0235,8.0511,0.0415,533,504977.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxoanda2\run_deals\mc_w2_P000_20260917151616_a09e_deals.csv,139.4,mc_w2_P000_20260917151616_a09e,-7891,8,2471,2,171,30,4728,111,9569,18,3403,12,-8592,1,-2092,104,2289,247
P000,本番現行,"本番現行（RefCap=78,000・倍率1・cap無し）を OANDAフィードで","{""FxRiskMask"": 0, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 78000, ""RefCap_PB_GBPJPY"": 78000, ""RefCap_PB_USDJPY"": 78000}",0,W3,OK,33457.0,1.1593,3.5454,0.2788,531,533457.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxoanda2\run_deals\mc_w3_P000_20260917151835_d9cf_deals.csv,179.2,mc_w3_P000_20260917151835_d9cf,-3444,2,15354,3,1391,36,1178,112,1684,28,-1012,12,,,1005,90,17301,248
P000,本番現行,"本番現行（RefCap=78,000・倍率1・cap無し）を OANDAフィードで","{""FxRiskMask"": 0, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 78000, ""RefCap_PB_GBPJPY"": 78000, ""RefCap_PB_USDJPY"": 78000}",0,OOS,OK,86775.0,1.1651,7.7898,0.3155,1349,586775.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxoanda2\run_deals\mc_oos_P000_20260917152134_3d56_deals.csv,429.6,mc_oos_P000_20260917152134_3d56,-1945,19,26468,9,4101,80,9886,265,15418,63,2168,28,-125,2,-4222,267,34816,616
P001,E15,E05（Carry＋PB UJ＋RSI EU を外す）＋ cap90。XMでは中央値 6.65%,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,W1,OK,386790.0,1.6347,13.2125,3.2233,78,886790.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxoanda2\run_deals\mc_w1_P001_20260917152844_9a93_deals.csv,43.9,mc_w1_P001_20260917152844_9a93,,,-36482,1,-59685,5,,,179025,6,1285,2,,,12297,15,302453,49
P001,E15,E05（Carry＋PB UJ＋RSI EU を外す）＋ cap90。XMでは中央値 6.65%,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,W2,OK,-20240.0,0.9433,31.0763,-0.1687,55,479760.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxoanda2\run_deals\mc_w2_P001_20260917152928_b88c_deals.csv,28.6,mc_w2_P001_20260917152928_b88c,,,,,-105209,6,,,85656,1,16618,2,,,-1641,17,44375,29
P001,E15,E05（Carry＋PB UJ＋RSI EU を外す）＋ cap90。XMでは中央値 6.65%,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,W3,OK,25603.0,1.0593,34.6697,0.2134,63,525603.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxoanda2\run_deals\mc_w3_P001_20260917152957_93de_deals.csv,28.6,mc_w3_P001_20260917152957_93de,,,,,-72405,3,,,44970,2,6954,4,,,-11567,16,136221,38
P001,E15,E05（Carry＋PB UJ＋RSI EU を外す）＋ cap90。XMでは中央値 6.65%,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,OOS,OK,386790.0,1.6347,13.2125,1.4065,78,886790.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxoanda2\run_deals\mc_oos_P001_20260917153025_8aa7_deals.csv,63.8,mc_oos_P001_20260917153025_8aa7,,,-36482,1,-59685,5,,,179025,6,1285,2,,,12297,15,302453,49
P002,E09,E04＋倍率4（Carry＋PB UJ を外す）＋ cap90。XMでは cap100 で 8.49%,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 4, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,W1,OK,117381.0,1.5682,17.4212,0.9782,31,617381.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxoanda2\run_deals\mc_w1_P002_20260917153129_9e38_deals.csv,24.1,mc_w1_P002_20260917153129_9e38,,,0,1,,,123071,7,,,,,,,7814,7,-21169,16
P002,E09,E04＋倍率4（Carry＋PB UJ を外す）＋ cap90。XMでは cap100 で 8.49%,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 4, ""MarginCapPct"": 90, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",90,W2,OK,16408.0,1.0307,34.2505,0.1367,59,516408.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxoanda2\run_deals\mc_w2_P002_20260917153153_2ae7_deals.csv,28.7,mc_w2_P002_20260917153153_2ae7,,,,,-113849,6,70985,7,80041,1,22154,2,,,-4773,15,26654,28
