proposal_id,base,description,parameter_json,cap,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
H000,fxqual10/G000,対照: F003（全複利・倍率1 ＋ 採用候補2件）。G000 と1円まで一致すること,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 31, ""FxRiskPct"": 0.5, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""PairEntryZOv"": 0.0, ""PairEqualNotional"": false, ""PairMaxHoldBars"": 0, ""PairRequireZTurning"": false, ""PairSkipAtStop"": false, ""PbAdxThr_GJ"": 0.0, ""PbAdxThr_UJ"": 0.0, ""PbArmMaxBars_GJ"": 0, ""PbArmMaxBars_UJ"": 0, ""PbDiagCounters"": true, ""PbSlopeATR_GJ"": 0.0, ""PbSlopeATR_UJ"": 1.4, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0, ""RsiMechMask_EU"": 0, ""RsiMechMask_GU"": 0, ""RsiMechMask_UJ"": 124, ""ScaBELockR"": 0.0, ""ScaBEMask"": 0, ""ScaBETriggerR"": 0.0, ""ScaFilBuyOnly"": false, ""ScaFilHourFrom"": -1, ""ScaFilHourTo"": -1, ""ScaFilMask"": 0, ""ScaFilRangeMin"": 0.0, ""ScaRevDropMask"": 0, ""ScaRevOnlyMask"": 0, ""TagDealTriggers"": true}",0,OOS,OK,1281090.0,1.3229,28.4727,4.6585,1351,1781090.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxqualfloor\run_deals\mc_oos_H000_20260919065314_91e9_deals.csv,219.5,mc_oos_H000_20260919065314_91e9,99898,13,360346,15,51619,68,11174,269,102891,62,2008,30,327212,7,-70521,266,396463,621
H000,fxqual10/G000,対照: F003（全複利・倍率1 ＋ 採用候補2件）。G000 と1円まで一致すること,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 31, ""FxRiskPct"": 0.5, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""PairEntryZOv"": 0.0, ""PairEqualNotional"": false, ""PairMaxHoldBars"": 0, ""PairRequireZTurning"": false, ""PairSkipAtStop"": false, ""PbAdxThr_GJ"": 0.0, ""PbAdxThr_UJ"": 0.0, ""PbArmMaxBars_GJ"": 0, ""PbArmMaxBars_UJ"": 0, ""PbDiagCounters"": true, ""PbSlopeATR_GJ"": 0.0, ""PbSlopeATR_UJ"": 1.4, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0, ""RsiMechMask_EU"": 0, ""RsiMechMask_GU"": 0, ""RsiMechMask_UJ"": 124, ""ScaBELockR"": 0.0, ""ScaBEMask"": 0, ""ScaBETriggerR"": 0.0, ""ScaFilBuyOnly"": false, ""ScaFilHourFrom"": -1, ""ScaFilHourTo"": -1, ""ScaFilMask"": 0, ""ScaFilRangeMin"": 0.0, ""ScaRevDropMask"": 0, ""ScaRevOnlyMask"": 0, ""TagDealTriggers"": true}",0,IS,OK,4436392.0,1.4438,42.5509,14.788,1566,4936392.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxqualfloor\run_deals\mc_is_H000_20260919065654_2395_deals.csv,229.4,mc_is_H000_20260919065654_2395,672950,49,945195,13,276472,90,301729,275,184335,65,13052,56,2514032,7,182460,328,-653833,683
H001,H000,SCA UJ レンジ幅下限 0.0070（0.0060 の1つ上）,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 31, ""FxRiskPct"": 0.5, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""PairEntryZOv"": 0.0, ""PairEqualNotional"": false, ""PairMaxHoldBars"": 0, ""PairRequireZTurning"": false, ""PairSkipAtStop"": false, ""PbAdxThr_GJ"": 0.0, ""PbAdxThr_UJ"": 0.0, ""PbArmMaxBars_GJ"": 0, ""PbArmMaxBars_UJ"": 0, ""PbDiagCounters"": true, ""PbSlopeATR_GJ"": 0.0, ""PbSlopeATR_UJ"": 1.4, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0, ""RsiMechMask_EU"": 0, ""RsiMechMask_GU"": 0, ""RsiMechMask_UJ"": 124, ""ScaBELockR"": 0.0, ""ScaBEMask"": 0, ""ScaBETriggerR"": 0.0, ""ScaFilBuyOnly"": false, ""ScaFilHourFrom"": -1, ""ScaFilHourTo"": -1, ""ScaFilMask"": 1, ""ScaFilRangeMin"": 0.007, ""ScaRevDropMask"": 0, ""ScaRevOnlyMask"": 0, ""TagDealTriggers"": true}",0,OOS,OK,1440345.0,1.3892,24.2808,5.2376,1116,1940345.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxqualfloor\run_deals\mc_oos_H001_20260919070043_52d3_deals.csv,209.3,mc_oos_H001_20260919070043_52d3,105415,13,389000,15,52043,68,5166,269,106849,62,1890,30,339757,7,7270,31,432955,621
H001,H000,SCA UJ レンジ幅下限 0.0070（0.0060 の1つ上）,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 31, ""FxRiskPct"": 0.5, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""PairEntryZOv"": 0.0, ""PairEqualNotional"": false, ""PairMaxHoldBars"": 0, ""PairRequireZTurning"": false, ""PairSkipAtStop"": false, ""PbAdxThr_GJ"": 0.0, ""PbAdxThr_UJ"": 0.0, ""PbArmMaxBars_GJ"": 0, ""PbArmMaxBars_UJ"": 0, ""PbDiagCounters"": true, ""PbSlopeATR_GJ"": 0.0, ""PbSlopeATR_UJ"": 1.4, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0, ""RsiMechMask_EU"": 0, ""RsiMechMask_GU"": 0, ""RsiMechMask_UJ"": 124, ""ScaBELockR"": 0.0, ""ScaBEMask"": 0, ""ScaBETriggerR"": 0.0, ""ScaFilBuyOnly"": false, ""ScaFilHourFrom"": -1, ""ScaFilHourTo"": -1, ""ScaFilMask"": 1, ""ScaFilRangeMin"": 0.007, ""ScaRevDropMask"": 0, ""ScaRevOnlyMask"": 0, ""TagDealTriggers"": true}",0,IS,OK,4713654.0,1.4723,38.4133,15.7122,1363,5213654.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxqualfloor\run_deals\mc_is_H001_20260919070412_8243_deals.csv,229.4,mc_is_H001_20260919070412_8243,722557,49,1011237,13,295572,90,327853,275,205645,65,13053,56,2706182,7,122608,125,-691053,683
H002,H000,SCA UJ レンジ幅下限 0.0080,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 31, ""FxRiskPct"": 0.5, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""PairEntryZOv"": 0.0, ""PairEqualNotional"": false, ""PairMaxHoldBars"": 0, ""PairRequireZTurning"": false, ""PairSkipAtStop"": false, ""PbAdxThr_GJ"": 0.0, ""PbAdxThr_UJ"": 0.0, ""PbArmMaxBars_GJ"": 0, ""PbArmMaxBars_UJ"": 0, ""PbDiagCounters"": true, ""PbSlopeATR_GJ"": 0.0, ""PbSlopeATR_UJ"": 1.4, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0, ""RsiMechMask_EU"": 0, ""RsiMechMask_GU"": 0, ""RsiMechMask_UJ"": 124, ""ScaBELockR"": 0.0, ""ScaBEMask"": 0, ""ScaBETriggerR"": 0.0, ""ScaFilBuyOnly"": false, ""ScaFilHourFrom"": -1, ""ScaFilHourTo"": -1, ""ScaFilMask"": 1, ""ScaFilRangeMin"": 0.008, ""ScaRevDropMask"": 0, ""ScaRevOnlyMask"": 0, ""TagDealTriggers"": true}",0,OOS,OK,1389706.0,1.3786,24.1331,5.0535,1104,1889706.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxqualfloor\run_deals\mc_oos_H002_20260919070802_0658_deals.csv,209.3,mc_oos_H002_20260919070802_0658,103547,13,385047,15,52614,68,7403,269,107109,62,1886,30,328986,7,-1170,19,404284,621
H002,H000,SCA UJ レンジ幅下限 0.0080,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 31, ""FxRiskPct"": 0.5, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""PairEntryZOv"": 0.0, ""PairEqualNotional"": false, ""PairMaxHoldBars"": 0, ""PairRequireZTurning"": false, ""PairSkipAtStop"": false, ""PbAdxThr_GJ"": 0.0, ""PbAdxThr_UJ"": 0.0, ""PbArmMaxBars_GJ"": 0, ""PbArmMaxBars_UJ"": 0, ""PbDiagCounters"": true, ""PbSlopeATR_GJ"": 0.0, ""PbSlopeATR_UJ"": 1.4, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0, ""RsiMechMask_EU"": 0, ""RsiMechMask_GU"": 0, ""RsiMechMask_UJ"": 124, ""ScaBELockR"": 0.0, ""ScaBEMask"": 0, ""ScaBETriggerR"": 0.0, ""ScaFilBuyOnly"": false, ""ScaFilHourFrom"": -1, ""ScaFilHourTo"": -1, ""ScaFilMask"": 1, ""ScaFilRangeMin"": 0.008, ""ScaRevDropMask"": 0, ""ScaRevOnlyMask"": 0, ""TagDealTriggers"": true}",0,IS,OK,4657950.0,1.469,38.5788,15.5265,1328,5157950.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxqualfloor\run_deals\mc_is_H002_20260919071131_510b_deals.csv,224.5,mc_is_H002_20260919071131_510b,726939,49,1021656,13,296548,90,331269,275,201713,65,13033,56,2694432,7,40527,90,-668167,683
H003,H000,SCA UJ レンジ幅下限 0.0100,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 31, ""FxRiskPct"": 0.5, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""PairEntryZOv"": 0.0, ""PairEqualNotional"": false, ""PairMaxHoldBars"": 0, ""PairRequireZTurning"": false, ""PairSkipAtStop"": false, ""PbAdxThr_GJ"": 0.0, ""PbAdxThr_UJ"": 0.0, ""PbArmMaxBars_GJ"": 0, ""PbArmMaxBars_UJ"": 0, ""PbDiagCounters"": true, ""PbSlopeATR_GJ"": 0.0, ""PbSlopeATR_UJ"": 1.4, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0, ""RsiMechMask_EU"": 0, ""RsiMechMask_GU"": 0, ""RsiMechMask_UJ"": 124, ""ScaBELockR"": 0.0, ""ScaBEMask"": 0, ""ScaBETriggerR"": 0.0, ""ScaFilBuyOnly"": false, ""ScaFilHourFrom"": -1, ""ScaFilHourTo"": -1, ""ScaFilMask"": 1, ""ScaFilRangeMin"": 0.01, ""ScaRevDropMask"": 0, ""ScaRevOnlyMask"": 0, ""TagDealTriggers"": true}",0,OOS,OK,1439433.0,1.3895,24.0973,5.2343,1094,1939433.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxqualfloor\run_deals\mc_oos_H003_20260919071516_e69e_deals.csv,209.5,mc_oos_H003_20260919071516_e69e,105415,13,388110,15,55772,68,10452,269,105853,62,1886,30,338033,7,4446,9,429466,621
H003,H000,SCA UJ レンジ幅下限 0.0100,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 31, ""FxRiskPct"": 0.5, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""PairEntryZOv"": 0.0, ""PairEqualNotional"": false, ""PairMaxHoldBars"": 0, ""PairRequireZTurning"": false, ""PairSkipAtStop"": false, ""PbAdxThr_GJ"": 0.0, ""PbAdxThr_UJ"": 0.0, ""PbArmMaxBars_GJ"": 0, ""PbArmMaxBars_UJ"": 0, ""PbDiagCounters"": true, ""PbSlopeATR_GJ"": 0.0, ""PbSlopeATR_UJ"": 1.4, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0, ""RsiMechMask_EU"": 0, ""RsiMechMask_GU"": 0, ""RsiMechMask_UJ"": 124, ""ScaBELockR"": 0.0, ""ScaBEMask"": 0, ""ScaBETriggerR"": 0.0, ""ScaFilBuyOnly"": false, ""ScaFilHourFrom"": -1, ""ScaFilHourTo"": -1, ""ScaFilMask"": 1, ""ScaFilRangeMin"": 0.01, ""ScaRevDropMask"": 0, ""ScaRevOnlyMask"": 0, ""TagDealTriggers"": true}",0,IS,OK,4504544.0,1.4742,38.566,15.0151,1278,5004544.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxqualfloor\run_deals\mc_is_H003_20260919071845_85c6_deals.csv,224.5,mc_is_H003_20260919071845_85c6,709393,49,984182,13,287738,90,326706,275,201383,65,13043,56,2621514,7,29445,40,-668860,683
H004,H000,SCA UJ レンジ幅下限 0.0120,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 31, ""FxRiskPct"": 0.5, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""PairEntryZOv"": 0.0, ""PairEqualNotional"": false, ""PairMaxHoldBars"": 0, ""PairRequireZTurning"": false, ""PairSkipAtStop"": false, ""PbAdxThr_GJ"": 0.0, ""PbAdxThr_UJ"": 0.0, ""PbArmMaxBars_GJ"": 0, ""PbArmMaxBars_UJ"": 0, ""PbDiagCounters"": true, ""PbSlopeATR_GJ"": 0.0, ""PbSlopeATR_UJ"": 1.4, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0, ""RsiMechMask_EU"": 0, ""RsiMechMask_GU"": 0, ""RsiMechMask_UJ"": 124, ""ScaBELockR"": 0.0, ""ScaBEMask"": 0, ""ScaBETriggerR"": 0.0, ""ScaFilBuyOnly"": false, ""ScaFilHourFrom"": -1, ""ScaFilHourTo"": -1, ""ScaFilMask"": 1, ""ScaFilRangeMin"": 0.012, ""ScaRevDropMask"": 0, ""ScaRevOnlyMask"": 0, ""TagDealTriggers"": true}",0,OOS,OK,1439759.0,1.3903,24.0121,5.2355,1086,1939759.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxqualfloor\run_deals\mc_oos_H004_20260919072230_1438_deals.csv,915.8,mc_oos_H004_20260919072230_1438,105415,13,388110,15,55772,68,11144,269,105869,62,1886,30,338033,7,966,1,432564,621
H004,H000,SCA UJ レンジ幅下限 0.0120,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 31, ""FxRiskPct"": 0.5, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 1, ""MarginCapPct"": 0, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 1.0, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 1.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 1.0, ""Mult_RSI_EURUSD"": 1.0, ""Mult_RSI_GBPUSD"": 1.0, ""Mult_RSI_USDJPY"": 1.0, ""Mult_SCA_GBPJPY"": 1.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 1.0, ""Mult_VBO"": 1.0, ""PairEntryZOv"": 0.0, ""PairEqualNotional"": false, ""PairMaxHoldBars"": 0, ""PairRequireZTurning"": false, ""PairSkipAtStop"": false, ""PbAdxThr_GJ"": 0.0, ""PbAdxThr_UJ"": 0.0, ""PbArmMaxBars_GJ"": 0, ""PbArmMaxBars_UJ"": 0, ""PbDiagCounters"": true, ""PbSlopeATR_GJ"": 0.0, ""PbSlopeATR_UJ"": 1.4, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0, ""RsiMechMask_EU"": 0, ""RsiMechMask_GU"": 0, ""RsiMechMask_UJ"": 124, ""ScaBELockR"": 0.0, ""ScaBEMask"": 0, ""ScaBETriggerR"": 0.0, ""ScaFilBuyOnly"": false, ""ScaFilHourFrom"": -1, ""ScaFilHourTo"": -1, ""ScaFilMask"": 1, ""ScaFilRangeMin"": 0.012, ""ScaRevDropMask"": 0, ""ScaRevOnlyMask"": 0, ""TagDealTriggers"": true}",0,IS,OK,4452704.0,1.4764,38.566,14.8423,1255,4952704.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxqualfloor\run_deals\mc_is_H004_20260919073745_afff_deals.csv,229.4,mc_is_H004_20260919073745_afff,704370,49,973910,13,281941,90,322203,275,198812,65,13027,56,2598529,7,24497,17,-664585,683
