proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,blown,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
R001,A,マスク=0 / risk%=0.5 / FxRiskRefCap=0 / RefCap=78000 / 倍率=1,"{""FxRiskMask"":0,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",1,FULL,OK,379084.0,1.2982,5.5891,0.6593,2969,879084.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_full_R001_20260909050904_6980_deals.csv,665.5,fr_full_R001_20260909050904_6980,20455,77,45029,28,15310,195,11835,544,29715,127,15093,86,56128,13,16339,594,115992,1305
R002,A,マスク=0 / risk%=0.5 / FxRiskRefCap=0 / RefCap=78000 / 倍率=3,"{""FxRiskMask"":0,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":78000,""RefCap_PB_GBPJPY"":78000,""RefCap_PB_USDJPY"":78000}",3,FULL,OK,1267215.0,1.3272,13.9776,2.2039,2969,1767215.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_full_R002_20260909052009_d69b_deals.csv,660.9,fr_full_R002_20260909052009_d69b,86058,77,168384,28,46135,195,35387,544,89155,127,45211,86,205004,13,49016,594,347976,1305
R003,A,マスク=0 / risk%=0.5 / FxRiskRefCap=0 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":0,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,FULL,OK,925988.0,1.592,10.6802,1.6104,2969,1425988.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_full_R003_20260909053110_3468_deals.csv,697.7,fr_full_R003_20260909053110_3468,102468,77,183565,28,15310,195,11835,544,29715,127,15093,86,223074,13,16339,594,115992,1305
R004,A,マスク=0 / risk%=0.5 / FxRiskRefCap=0 / RefCap=250000 / 倍率=3,"{""FxRiskMask"":0,""FxRiskPct"":0.5,""FxRiskRefCap"":0,""GlobalLotMult"":3,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",3,FULL,OK,2837670.0,1.5961,27.0308,4.9351,2969,3337670.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_full_R004_20260909054248_7a24_deals.csv,655.5,fr_full_R004_20260909054248_7a24,305750,77,573759,28,46135,195,35387,544,89155,127,45211,86,689445,13,49016,594,347976,1305
R005,B,マスク=1 / risk%=0.5 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":1,""FxRiskPct"":0.5,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,FULL,OK,941475.0,1.579,10.4533,1.6373,2969,1441475.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_full_R005_20260909055343_041e_deals.csv,665.6,fr_full_R005_20260909055343_041e,102468,77,183565,28,30797,195,11835,544,29715,127,15093,86,223074,13,16339,594,115992,1305
R006,B,マスク=2 / risk%=0.5 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":2,""FxRiskPct"":0.5,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,FULL,OK,949194.0,1.5039,12.4838,1.6508,2969,1449194.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_full_R006_20260909060449_ea82_deals.csv,665.6,fr_full_R006_20260909060449_ea82,102468,77,183565,28,15310,195,35041,544,29715,127,15093,86,223074,13,16339,594,115992,1305
R007,B,マスク=4 / risk%=0.5 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":4,""FxRiskPct"":0.5,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,FULL,OK,943508.0,1.595,9.422,1.6409,2969,1443508.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_full_R007_20260909061554_87fa_deals.csv,745.7,fr_full_R007_20260909061554_87fa,102468,77,183565,28,15310,195,11835,544,47235,127,15093,86,223074,13,16339,594,115992,1305
R008,B,マスク=8 / risk%=0.5 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":8,""FxRiskPct"":0.5,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,FULL,OK,925988.0,1.592,10.6802,1.6104,2969,1425988.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_full_R008_20260909062820_7597_deals.csv,740.8,fr_full_R008_20260909062820_7597,102468,77,183565,28,15310,195,11835,544,29715,127,15093,86,223074,13,16339,594,115992,1305
R009,B,マスク=16 / risk%=0.5 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":16,""FxRiskPct"":0.5,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,FULL,OK,925988.0,1.592,10.6802,1.6104,2969,1425988.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_full_R009_20260909064041_73b1_deals.csv,725.7,fr_full_R009_20260909064041_73b1,102468,77,183565,28,15310,195,11835,544,29715,127,15093,86,223074,13,16339,594,115992,1305
R010,C,マスク=7 / risk%=0.25 / FxRiskRefCap=250000 / RefCap=250000 / 倍率=1,"{""FxRiskMask"":7,""FxRiskPct"":0.25,""FxRiskRefCap"":250000,""GlobalLotMult"":1,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0,""RefCap_CARRY"":250000,""RefCap_PB_GBPJPY"":250000,""RefCap_PB_USDJPY"":250000}",1,FULL,OK,925605.0,1.5677,11.2447,1.6097,2969,1425605.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\fxrisk1\run_deals\fr_full_R010_20260909065247_df35_deals.csv,735.7,fr_full_R010_20260909065247_df35,102468,77,183565,28,15310,195,11452,544,29715,127,15093,86,223074,13,16339,594,115992,1305
