proposal_id,base,description,parameter_json,cap,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
O000,Y100,対照: BrokerMaxLot=0（端末の50のまま）。Y100 の再現確認,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W1,OK,6725965.0,1.2546,51.9383,56.0497,579,7225965.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxvmax1\run_deals\mc_w1_O000_20260917144701_43b2_deals.csv,231.3,mc_w1_O000_20260917144701_43b2,-504369,13,-362332,4,3334894,32,-421524,113,4298586,26,10141,15,293940,3,-44361,108,120990,265
O000,Y100,対照: BrokerMaxLot=0（端末の50のまま）。Y100 の再現確認,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W2,OK,1348701.0,1.2361,57.2271,11.2392,529,1848701.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxvmax1\run_deals\mc_w2_O000_20260917145052_9bd6_deals.csv,89.1,mc_w2_O000_20260917145052_9bd6,-92204,10,158506,5,216872,33,232510,112,592457,18,27942,11,-263667,3,-70610,94,333998,243
O000,Y100,対照: BrokerMaxLot=0（端末の50のまま）。Y100 の再現確認,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W3,OK,1097587.0,1.1268,50.3021,9.1466,508,1597587.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxvmax1\run_deals\mc_w3_O000_20260917145221_fc83_deals.csv,69.1,mc_w3_O000_20260917145221_fc83,-48012,2,826109,6,498521,40,-256038,107,-86567,26,-18837,12,-393526,4,13305,84,169315,227
O000,Y100,対照: BrokerMaxLot=0（端末の50のまま）。Y100 の再現確認,"{""BrokerMaxLot"": 0, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,OOS,OK,51320738.0,1.2703,64.4765,186.6209,1310,51820738.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxvmax1\run_deals\mc_oos_O000_20260917145331_1b8f_deals.csv,334.6,mc_oos_O000_20260917145331_1b8f,2182657,18,24050999,15,-3540014,84,-4265023,265,10639557,59,6282,29,-5262707,7,-45015,246,430677,587
O001,O000,Y100 ＋ 業者上限10（OANDA実機値）,"{""BrokerMaxLot"": 10, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W1,OK,7255775.0,1.2848,51.5923,60.4648,581,7755775.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxvmax1\run_deals\mc_w1_O001_20260917145905_a507_deals.csv,246.9,mc_w1_O001_20260917145905_a507,-515620,13,-364265,4,3412264,32,678608,113,3780137,26,10141,15,294920,3,-43997,108,3587,267
O001,O000,Y100 ＋ 業者上限10（OANDA実機値）,"{""BrokerMaxLot"": 10, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W2,OK,1348701.0,1.2361,57.2271,11.2392,529,1848701.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxvmax1\run_deals\mc_w2_O001_20260917150312_e4cb_deals.csv,83.7,mc_w2_O001_20260917150312_e4cb,-92204,10,158506,5,216872,33,232510,112,592457,18,27942,11,-263667,3,-70610,94,333998,243
O001,O000,Y100 ＋ 業者上限10（OANDA実機値）,"{""BrokerMaxLot"": 10, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W3,OK,1097587.0,1.1268,50.3021,9.1466,508,1597587.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxvmax1\run_deals\mc_w3_O001_20260917150436_bc78_deals.csv,63.8,mc_w3_O001_20260917150436_bc78,-48012,2,826109,6,498521,40,-256038,107,-86567,26,-18837,12,-393526,4,13305,84,169315,227
O001,O000,Y100 ＋ 業者上限10（OANDA実機値）,"{""BrokerMaxLot"": 10, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,OOS,OK,36348340.0,1.3975,58.9125,132.1758,1345,36848340.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxvmax1\run_deals\mc_oos_O001_20260917150540_6d56_deals.csv,264.9,mc_oos_O001_20260917150540_6d56,495594,18,16771158,15,3872365,87,729165,265,6992398,59,6282,29,-3987769,7,-34771,258,511362,607
O004,E04,E04（Carry＋PB UJ を止める）＋ 業者上限10,"{""BrokerMaxLot"": 10, ""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W1,OK,10160171.0,1.3616,45.6696,84.6681,570,10660171.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxvmax1\run_deals\mc_w1_O004_20260917151005_82c7_deals.csv,154.5,mc_w1_O004_20260917151005_82c7,,,-380054,4,4914978,32,1197287,114,4548683,27,13132,15,,,-41821,107,-92034,271
O004,E04,E04（Carry＋PB UJ を止める）＋ 業者上限10,"{""BrokerMaxLot"": 10, ""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 100, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",100,W2,OK,3165576.0,1.3357,58.2216,26.3798,527,3665576.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxvmax1\run_deals\mc_w2_O004_20260917151239_6301_deals.csv,84.0,mc_w2_O004_20260917151239_6301,,,395629,5,426034,33,194476,116,1336107,18,33499,12,,,-62467,96,384457,247
