proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
W001,A,全枠の重み=1、全体倍率=1,"{""GlobalLotMult"":1.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",1.0,IS,OK,257817.0,1.3476,7.314,0.8594,1595,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_is_W001_20260907165552_af64_deals.csv,284.4,fw_is_W001_20260907165552_af64,22267,59,22291,13,7440,108,8030,275,13286,65,13097,56,25882,7,18563,328,73773,684
W002,A,全枠の重み=1、全体倍率=2,"{""GlobalLotMult"":2.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",2.0,IS,OK,565168.0,1.3758,15.8536,1.8839,1595,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_is_W002_20260907170036_8a02_deals.csv,279.5,fw_is_W002_20260907170036_8a02,53621,59,59245,13,14935,108,16037,275,26573,65,26192,56,59950,7,37126,328,147546,684
W003,A,全枠の重み=1、全体倍率=3,"{""GlobalLotMult"":3.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",3.0,IS,OK,880533.0,1.3885,24.3786,2.9351,1595,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_is_W003_20260907170516_13e0_deals.csv,279.5,fw_is_W003_20260907170516_13e0,93740,59,94737,13,22384,108,24094,275,39860,65,39322,56,94499,7,55689,328,221319,684
W004,A,全枠の重み=1、全体倍率=4,"{""GlobalLotMult"":4.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":1.0,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",4.0,IS,OK,1189544.0,1.3923,33.0104,3.9651,1595,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_is_W004_20260907170955_36f6_deals.csv,279.6,fw_is_W004_20260907170955_36f6,125644,59,132649,13,29863,108,32115,275,53150,65,52399,56,128687,7,74252,328,295092,684
W005,B,Mult_SCA_GBPJPY=0.25、全体倍率=2,"{""GlobalLotMult"":2.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.25,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",2.0,IS,OK,456649.0,1.4805,15.7562,1.5222,1595,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_is_W005_20260907171435_cc9b_deals.csv,279.6,fw_is_W005_20260907171435_cc9b,53621,59,59245,13,14935,108,16037,275,26573,65,26192,56,59950,7,37126,328,39027,684
W006,B,Mult_SCA_GBPJPY=0.25、全体倍率=3,"{""GlobalLotMult"":3.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.25,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",3.0,IS,OK,709823.0,1.5315,24.5278,2.3661,1595,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_is_W006_20260907171914_15a3_deals.csv,279.5,fw_is_W006_20260907171914_15a3,93740,59,94737,13,22384,108,24094,275,39860,65,39322,56,94499,7,55689,328,50609,684
W007,B,Mult_SCA_GBPJPY=0.25、全体倍率=4,"{""GlobalLotMult"":4.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.25,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",4.0,IS,OK,968225.0,1.5476,33.4922,3.2274,1595,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_is_W007_20260907172354_e55d_deals.csv,279.6,fw_is_W007_20260907172354_e55d,125644,59,132649,13,29863,108,32115,275,53150,65,52399,56,128687,7,74252,328,73773,684
W008,B,Mult_SCA_GBPJPY=0.25、全体倍率=5,"{""GlobalLotMult"":5.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.25,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",5.0,IS,OK,1213032.0,1.5627,42.2574,4.0434,1595,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_is_W008_20260907172833_9783_deals.csv,279.5,fw_is_W008_20260907172833_9783,160561,59,164932,13,37399,108,40154,275,66439,65,65502,56,163236,7,92815,328,85355,684
W009,B,Mult_SCA_GBPJPY=0.25、全体倍率=6,"{""GlobalLotMult"":6.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.25,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",6.0,IS,OK,1473462.0,1.5693,51.1316,4.9115,1595,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_is_W009_20260907173313_1c4b_deals.csv,279.6,fw_is_W009_20260907173313_1c4b,195856,59,201515,13,44839,108,48175,275,79721,65,78591,56,197424,7,111378,328,108519,684
W010,B,Mult_SCA_GBPJPY=0.5、全体倍率=2,"{""GlobalLotMult"":2.0,""Mult_BFXREV"":1.0,""Mult_BTC_FUND"":1.0,""Mult_CARRY"":1.0,""Mult_ETH"":1.0,""Mult_PAIR"":1.0,""Mult_PB_GBPJPY"":1.0,""Mult_PB_GOLD"":1.0,""Mult_PB_USDJPY"":1.0,""Mult_RSI_EURUSD"":1.0,""Mult_RSI_GBPUSD"":1.0,""Mult_RSI_USDJPY"":1.0,""Mult_SCA_GBPJPY"":0.5,""Mult_SCA_GOLD"":1.0,""Mult_SCA_USDJPY"":1.0,""Mult_VBO"":1.0}",2.0,IS,OK,491395.0,1.4539,16.0142,1.638,1595,C:\Users\f\source\repos\mt5_backtester\ml\fxweight1\run_deals\fw_is_W010_20260907173752_b832_deals.csv,279.5,fw_is_W010_20260907173752_b832,53621,59,59245,13,14935,108,16037,275,26573,65,26192,56,59950,7,37126,328,73773,684
