proposal_id,base,description,parameter_json,cap,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,deals,elapsed,run_id,pb_uj_net,pb_uj_n,pb_gj_net,pb_gj_n,rsi_uj_net,rsi_uj_n,rsi_eu_net,rsi_eu_n,rsi_gu_net,rsi_gu_n,pair_net,pair_n,carry_net,carry_n,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n
Q001,E04,Carry＋PB UJ を外す・倍率3・cap50（維持率200%）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 50, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",50,V2,OK,673688.0,1.2636,38.1069,5.6141,510,1173688.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxwin2\run_deals\mc_v2_Q001_20260917153806_3a2b_deals.csv,109.1,mc_v2_Q001_20260917153806_3a2b,,,-72582,2,164103,33,186981,102,205306,22,19396,14,,,-73511,102,230228,235
Q001,E04,Carry＋PB UJ を外す・倍率3・cap50（維持率200%）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 50, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",50,V4,OK,1418277.0,1.2855,35.4769,11.819,485,1918277.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxwin2\run_deals\mc_v4_Q001_20260917153955_5850_deals.csv,59.1,mc_v4_Q001_20260917153955_5850,,,471485,5,683499,36,-125664,104,156463,18,-31636,12,,,-12345,80,253709,230
Q001,E04,Carry＋PB UJ を外す・倍率3・cap50（維持率200%）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 50, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",50,V6,OK,94918.0,1.0326,42.9777,0.791,470,594918.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxwin2\run_deals\mc_v6_Q001_20260917154054_76fb_deals.csv,43.7,mc_v6_Q001_20260917154054_76fb,,,399585,8,-61503,39,-201086,87,7828,19,-46249,6,,,-16405,94,12748,217
Q001,E04,Carry＋PB UJ を外す・倍率3・cap50（維持率200%）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 50, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",50,V7,OK,108754.0,1.036,42.9942,0.9063,492,608754.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxwin2\run_deals\mc_v7_Q001_20260917154138_3331_deals.csv,43.8,mc_v7_Q001_20260917154138_3331,,,332817,9,-47178,40,-127403,92,8885,21,-46156,6,,,-15740,101,-4102,223
Q001,E04,Carry＋PB UJ を外す・倍率3・cap50（維持率200%）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 50, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",50,V3,OK,1057291.0,1.2977,36.9845,8.8108,483,1557291.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxwin2\run_deals\mc_v3_Q001_20260917154222_12f3_deals.csv,73.8,mc_v3_Q001_20260917154222_12f3,,,119820,5,100485,33,138066,103,387782,14,5141,10,,,-76159,91,349180,227
Q001,E04,Carry＋PB UJ を外す・倍率3・cap50（維持率200%）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 50, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",50,V5,OK,760018.0,1.1919,35.8127,6.3335,473,1260018.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxwin2\run_deals\mc_v5_Q001_20260917154336_e58a_deals.csv,48.8,mc_v5_Q001_20260917154336_e58a,,,489966,6,240483,40,-68844,97,21030,20,-33820,12,,,183,80,111020,218
Q001,E04,Carry＋PB UJ を外す・倍率3・cap50（維持率200%）,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 50, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",50,V1,OK,4272882.0,1.4708,28.8191,35.6074,545,4772882.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxwin2\run_deals\mc_v1_Q001_20260917154424_d59c_deals.csv,134.1,mc_v1_Q001_20260917154424_d59c,,,-176898,4,1930946,32,353196,112,1908796,26,1239,12,,,-48374,105,303977,254
Q003,E15,Carry＋PB UJ＋RSI EU を外す・倍率3・cap50,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 50, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",50,V2,OK,341535.0,1.1532,37.0024,2.8461,425,841535.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxwin2\run_deals\mc_v2_Q003_20260917154639_0d62_deals.csv,104.4,mc_v2_Q003_20260917154639_0d62,,,-83462,2,143166,36,,,234864,22,5935,12,,,-50147,105,82333,248
Q003,E15,Carry＋PB UJ＋RSI EU を外す・倍率3・cap50,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 50, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",50,V4,OK,859860.0,1.298,36.8958,7.1655,400,1359860.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxwin2\run_deals\mc_v4_Q003_20260917154823_408f_deals.csv,59.4,mc_v4_Q003_20260917154823_408f,,,220851,4,468872,38,,,-12973,19,-11971,12,,,14080,86,181001,241
Q003,E15,Carry＋PB UJ＋RSI EU を外す・倍率3・cap50,"{""En_CARRY"": false, ""En_PB_USDJPY"": false, ""En_RSI_EURUSD"": false, ""FxRiskMask"": 7, ""FxRiskPct"": 1.0, ""FxRiskRefCap"": 0, ""GlobalLotMult"": 3, ""MarginCapPct"": 50, ""Mult_BFXREV"": 1.0, ""Mult_BTC_FUND"": 1.0, ""Mult_CARRY"": 0.75, ""Mult_ETH"": 1.0, ""Mult_PAIR"": 4.0, ""Mult_PB_GBPJPY"": 1.0, ""Mult_PB_GOLD"": 1.0, ""Mult_PB_USDJPY"": 0.5, ""Mult_RSI_EURUSD"": 4.0, ""Mult_RSI_GBPUSD"": 4.0, ""Mult_RSI_USDJPY"": 2.0, ""Mult_SCA_GBPJPY"": 4.0, ""Mult_SCA_GOLD"": 1.0, ""Mult_SCA_USDJPY"": 4.0, ""Mult_VBO"": 1.0, ""RefCap_CARRY"": 0, ""RefCap_PB_GBPJPY"": 0, ""RefCap_PB_USDJPY"": 0}",50,V6,OK,1052263.0,1.3264,32.0132,8.7689,417,1552263.0,summary:最終残高,C:\Users\f\source\repos\mt5_backtester\ml\fxwin2\run_deals\mc_v6_Q003_20260917154922_fd2e_deals.csv,38.9,mc_v6_Q003_20260917154922_fd2e,,,1182221,9,-256933,40,,,-34902,23,-20108,8,,,-5546,109,187531,228
