scope,case,net,pf,dd,n,magic
GOLD2_IS,OFF,2169.59,1.8347,16.0511,304,-
GOLD2_IS,PB18,2356.77,1.9339,15.4308,307,-
GOLD2_IS,SCA17,2207.39,1.8492,15.8124,304,-
GOLD2_IS,BOTH,2394.57,1.9489,15.2162,307,-
GOLD2_OOS,OFF,564.61,1.4043,13.4555,317,-
GOLD2_OOS,PB18,565.35,1.406,12.1075,318,-
GOLD2_OOS,SCA17,578.72,1.4144,12.5111,317,-
GOLD2_OOS,BOTH,579.46,1.4161,12.4321,318,-
XM5_FULL,OFF,3900.22,1.8172,15.9821,747,全枠OK
XM5_FULL,PB18,4088.14,1.8711,12.9966,751,全枠OK
XM5_FULL,SCA17,3952.13,1.8281,15.724,747,全枠OK
XM5_FULL,BOTH,4140.05,1.8822,12.7457,751,全枠OK
