id,family,overview,rationale,test_method,variation,classification,status,parameter_json,reason,is_net_jpy,is_pf,is_dd_jpy,oos_net_jpy,oos_pf,oos_dd_jpy,effective_lots,run_id,updated_at
GDD01_01,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":0,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":0,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_01_20260814100612_bdb754,2026-08-14T01:06:12+00:00
GDD01_02,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":1,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":1,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_02_20260814100612_e3f817,2026-08-14T01:06:12+00:00
GDD01_03,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":2,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":2,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_03_20260814100612_704711,2026-08-14T01:06:12+00:00
GDD01_04,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":4,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":4,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_04_20260814100612_3d5964,2026-08-14T01:06:12+00:00
GDD01_05,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":6,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":6,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_05_20260814100612_4fc4f5,2026-08-14T01:06:12+00:00
GDD01_06,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":8,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":8,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_06_20260814100612_a17470,2026-08-14T01:06:12+00:00
GDD01_07,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":12,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":12,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_07_20260814100612_a8e5c4,2026-08-14T01:06:12+00:00
GDD01_08,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":16,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":16,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_08_20260814100612_7c4e4b,2026-08-14T01:06:12+00:00
GDD01_09,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":20,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":20,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_09_20260814100612_287def,2026-08-14T01:06:12+00:00
GDD01_10,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":24,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":24,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_10_20260814100612_cca155,2026-08-14T01:06:12+00:00
