id,family,classification,status,reason,parameter_json
GDD34_01,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":1}"
GDD34_02,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":2}"
GDD34_03,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":3}"
GDD34_04,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":4}"
GDD34_05,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":5}"
GDD34_06,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":6}"
GDD34_07,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":7}"
GDD34_08,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":8}"
GDD34_09,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":9}"
GDD34_10,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":10}"
GDD34_11,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":11}"
GDD34_12,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":12}"
GDD34_13,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":13}"
GDD34_14,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":14}"
GDD34_15,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":15}"
GDD34_16,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":16}"
GDD34_17,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":17}"
GDD34_18,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":18}"
GDD34_19,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":19}"
GDD34_20,sca_retest,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ブレイク→再接触→再離脱の状態機械と日次状態検証が必要,"{""design_level"":20}"
GDD40_01,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":1}"
GDD40_02,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":2}"
GDD40_03,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":3}"
GDD40_04,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":4}"
GDD40_05,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":5}"
GDD40_06,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":6}"
GDD40_07,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":7}"
GDD40_08,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":8}"
GDD40_09,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":9}"
GDD40_10,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":10}"
GDD40_11,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":11}"
GDD40_12,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":12}"
GDD40_13,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":13}"
GDD40_14,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":14}"
GDD40_15,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":15}"
GDD40_16,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":16}"
GDD40_17,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":17}"
GDD40_18,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":18}"
GDD40_19,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":19}"
GDD40_20,vol_regime_atr,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling ATR分位を各時点までのデータだけで更新する実装が必要,"{""design_level"":20}"
GDD41_01,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":1}"
GDD41_02,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":2}"
GDD41_03,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":3}"
GDD41_04,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":4}"
GDD41_05,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":5}"
GDD41_06,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":6}"
GDD41_07,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":7}"
GDD41_08,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":8}"
GDD41_09,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":9}"
GDD41_10,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":10}"
GDD41_11,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":11}"
GDD41_12,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":12}"
GDD41_13,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":13}"
GDD41_14,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":14}"
GDD41_15,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":15}"
GDD41_16,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":16}"
GDD41_17,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":17}"
GDD41_18,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":18}"
GDD41_19,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":19}"
GDD41_20,vol_regime_rvol,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,rolling realized-vol分位のpoint-in-time実装が必要,"{""design_level"":20}"
GDD42_01,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":1}"
GDD42_02,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":2}"
GDD42_03,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":3}"
GDD42_04,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":4}"
GDD42_05,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":5}"
GDD42_06,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":6}"
GDD42_07,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":7}"
GDD42_08,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":8}"
GDD42_09,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":9}"
GDD42_10,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":10}"
GDD42_11,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":11}"
GDD42_12,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":12}"
GDD42_13,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":13}"
GDD42_14,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":14}"
GDD42_15,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":15}"
GDD42_16,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":16}"
GDD42_17,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":17}"
GDD42_18,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":18}"
GDD42_19,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":19}"
GDD42_20,trend_regime,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,ADX×MA傾きの2次元状態機械と役割割当が必要,"{""design_level"":20}"
GDD45_01,event_calendar,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,改訂・公表時刻を保持したpoint-in-time経済指標データが必要,"{""design_level"":1}"
GDD45_02,event_calendar,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,改訂・公表時刻を保持したpoint-in-time経済指標データが必要,"{""design_level"":2}"
GDD45_03,event_calendar,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,改訂・公表時刻を保持したpoint-in-time経済指標データが必要,"{""design_level"":3}"
GDD45_04,event_calendar,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,改訂・公表時刻を保持したpoint-in-time経済指標データが必要,"{""design_level"":4}"
GDD45_05,event_calendar,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,改訂・公表時刻を保持したpoint-in-time経済指標データが必要,"{""design_level"":5}"
GDD45_06,event_calendar,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,改訂・公表時刻を保持したpoint-in-time経済指標データが必要,"{""design_level"":6}"
GDD45_07,event_calendar,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,改訂・公表時刻を保持したpoint-in-time経済指標データが必要,"{""design_level"":7}"
GDD45_08,event_calendar,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,改訂・公表時刻を保持したpoint-in-time経済指標データが必要,"{""design_level"":8}"
GDD45_09,event_calendar,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,改訂・公表時刻を保持したpoint-in-time経済指標データが必要,"{""design_level"":9}"
GDD45_10,event_calendar,(3)大規模開発,UNVERIFIED_MAJOR_DEVELOPMENT,改訂・公表時刻を保持したpoint-in-time経済指標データが必要,"{""design_level"":10}"
