scope,case,net,pf,dd,n,magic
GOLD2_IS,OFF,2394.57,1.9489,15.2162,307,-
GOLD2_IS,HOLD64,2394.57,1.9489,15.2162,307,-
GOLD2_IS,COOL12,2394.57,1.9489,15.2162,307,-
GOLD2_IS,BOTH,2394.57,1.9489,15.2162,307,-
GOLD2_OOS,OFF,579.46,1.4161,12.4321,318,-
GOLD2_OOS,HOLD64,579.46,1.4161,12.4321,318,-
GOLD2_OOS,COOL12,579.46,1.4161,12.4321,318,-
GOLD2_OOS,BOTH,579.46,1.4161,12.4321,318,-
XM5_FULL,OFF,4140.05,1.8822,12.7457,751,全枠OK
XM5_FULL,HOLD64,4140.05,1.8822,12.7457,751,全枠OK
XM5_FULL,COOL12,4140.05,1.8822,12.7457,751,全枠OK
XM5_FULL,BOTH,4140.05,1.8822,12.7457,751,全枠OK
