scope,case,run_id,from_date,to_date,net,pf,dd_pct,trades,deal_rows,deal_sha256,expected_sha256,regression_pass,pb_rows,sca_rows,eth_rows,funding_rows,bfx_rows,magic_gate_pass,ea_sha256,parameters,config_file,deal_file,elapsed_seconds
GOLD2_IS,OFF,combo2v2_off_gold2_is,2021.06.21,2026.06.20,2429.34,1.986,12.3039,305,610,EF56DBFF7FED514534ED5228C911125D188928B810FCD8541C5174F45FDC2331,EF56DBFF7FED514534ED5228C911125D188928B810FCD8541C5174F45FDC2331,True,126,484,0,0,0,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 0, ""GoldLabMode2"": 0}",ml\gold_dd2\configs\combo2v2_off_gold2_is.yaml,ml\gold_dd2\deals\combo2v2_off_gold2_is_deals.csv,70.416
GOLD2_OOS,OFF,combo2v2_off_gold2_oos,2016.06.21,2021.06.20,647.28,1.4886,12.0079,315,630,886EC460BB89E27A11DA68DACCB08213B7D871EB7679C350CAA3526C7BDFBE62,886EC460BB89E27A11DA68DACCB08213B7D871EB7679C350CAA3526C7BDFBE62,True,98,532,0,0,0,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 0, ""GoldLabMode2"": 0}",ml\gold_dd2\configs\combo2v2_off_gold2_oos.yaml,ml\gold_dd2\deals\combo2v2_off_gold2_oos_deals.csv,45.396
GOLD2_IS,HOLD64,combo2v2_hold64_gold2_is,2021.06.21,2026.06.20,2510.12,2.0425,12.3039,305,610,E7660A703D91B7FAB60524B65AE0588291B8A1B53C837668F3DDDFD9BD4C6BB3,E7660A703D91B7FAB60524B65AE0588291B8A1B53C837668F3DDDFD9BD4C6BB3,True,125,485,0,0,0,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 24, ""GoldLabMode2"": 0, ""GoldLabPBHoldBars"": 64}",ml\gold_dd2\configs\combo2v2_hold64_gold2_is.yaml,ml\gold_dd2\deals\combo2v2_hold64_gold2_is_deals.csv,105.453
GOLD2_OOS,HOLD64,combo2v2_hold64_gold2_oos,2016.06.21,2021.06.20,720.0,1.5635,10.9282,317,634,CFD978DC263DD7729F06F6E71004A1A42C41AF18ADB88D02F43E8259B89A3C86,CFD978DC263DD7729F06F6E71004A1A42C41AF18ADB88D02F43E8259B89A3C86,True,98,536,0,0,0,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 24, ""GoldLabMode2"": 0, ""GoldLabPBHoldBars"": 64}",ml\gold_dd2\configs\combo2v2_hold64_gold2_oos.yaml,ml\gold_dd2\deals\combo2v2_hold64_gold2_oos_deals.csv,70.402
GOLD2_IS,COOL12,combo2v2_cool12_gold2_is,2021.06.21,2026.06.20,2448.31,2.0039,11.9788,303,606,FD3DA436C4DBCB202B5D46A9EA886C038D28460C4AE36833C93AF9E6382D6931,FD3DA436C4DBCB202B5D46A9EA886C038D28460C4AE36833C93AF9E6382D6931,True,126,480,0,0,0,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 3, ""GoldLabMode2"": 0, ""GoldLabPortfolioCooldownHours"": 12}",ml\gold_dd2\configs\combo2v2_cool12_gold2_is.yaml,ml\gold_dd2\deals\combo2v2_cool12_gold2_is_deals.csv,65.411
GOLD2_OOS,COOL12,combo2v2_cool12_gold2_oos,2016.06.21,2021.06.20,687.98,1.5471,9.1869,308,616,651872F342BFF435B24336617F7DECDAF214390E6327354666FF180571BD0FDD,651872F342BFF435B24336617F7DECDAF214390E6327354666FF180571BD0FDD,True,102,514,0,0,0,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 3, ""GoldLabMode2"": 0, ""GoldLabPortfolioCooldownHours"": 12}",ml\gold_dd2\configs\combo2v2_cool12_gold2_oos.yaml,ml\gold_dd2\deals\combo2v2_cool12_gold2_oos_deals.csv,45.401
XM5_FULL,OFF,combo2v2_off_xm5_full,2016.11.09,2026.06.20,4242.64,1.9293,10.4028,746,1492,70A67875C852E59FF91E8F7468B45B78D39609E1404DA76562ECB3C605DCC4B0,70A67875C852E59FF91E8F7468B45B78D39609E1404DA76562ECB3C605DCC4B0,True,222,974,88,84,124,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 0, ""GoldLabMode2"": 0}",ml\gold_dd2\configs\combo2v2_off_xm5_full.yaml,ml\gold_dd2\deals\combo2v2_off_xm5_full_deals.csv,467.937
XM5_FULL,HOLD64,combo2v2_hold64_xm5_full,2016.11.09,2026.06.20,4396.14,1.9852,10.065,748,1496,AAE31D2463C75C92425B5DE9485A26B3F751230AC9165E7D654D11A7A2E6E7D9,AAE31D2463C75C92425B5DE9485A26B3F751230AC9165E7D654D11A7A2E6E7D9,True,221,974,88,84,129,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 24, ""GoldLabMode2"": 0, ""GoldLabPBHoldBars"": 64}",ml\gold_dd2\configs\combo2v2_hold64_xm5_full.yaml,ml\gold_dd2\deals\combo2v2_hold64_xm5_full_deals.csv,542.899
XM5_FULL,COOL12,combo2v2_cool12_xm5_full,2016.11.09,2026.06.20,4302.31,1.9618,10.1939,737,1474,C86F8D94B49AC5CE5971CFB6B19EDB2D506811A5BFDAF1DDC635F808533DB1D2,C86F8D94B49AC5CE5971CFB6B19EDB2D506811A5BFDAF1DDC635F808533DB1D2,True,226,952,88,84,124,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 3, ""GoldLabMode2"": 0, ""GoldLabPortfolioCooldownHours"": 12}",ml\gold_dd2\configs\combo2v2_cool12_xm5_full.yaml,ml\gold_dd2\deals\combo2v2_cool12_xm5_full_deals.csv,467.957
GOLD2_IS,BOTH,combo2v2_both_gold2_is,2021.06.21,2026.06.20,2448.31,2.0039,11.9788,303,606,FD3DA436C4DBCB202B5D46A9EA886C038D28460C4AE36833C93AF9E6382D6931,,,126,480,0,0,0,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 24, ""GoldLabMode2"": 3, ""GoldLabPBHoldBars"": 64, ""GoldLabPortfolioCooldownHours"": 12}",ml\gold_dd2\configs\combo2v2_both_gold2_is.yaml,ml\gold_dd2\deals\combo2v2_both_gold2_is_deals.csv,105.443
GOLD2_OOS,BOTH,combo2v2_both_gold2_oos,2016.06.21,2021.06.20,743.23,1.6112,8.3559,309,618,76A16BA29F18832A351C4FBC2921FD53AB321955CC43912EDC0402159752AF14,,,100,518,0,0,0,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 24, ""GoldLabMode2"": 3, ""GoldLabPBHoldBars"": 64, ""GoldLabPortfolioCooldownHours"": 12}",ml\gold_dd2\configs\combo2v2_both_gold2_oos.yaml,ml\gold_dd2\deals\combo2v2_both_gold2_oos_deals.csv,70.401
XM5_FULL,BOTH,combo2v2_both_xm5_full,2016.11.09,2026.06.20,4357.56,1.9833,8.5268,738,1476,0930A73D1366230FF13ABE021596C86DEB70D05FDBC4B5B88D976514F7BF54DF,,,224,954,88,84,126,True,1E27C60B62D4F74F7BEFBAC25C1D6D78A606299A8A1F1D0AC3EF3B0016AB5F6A,"{""GoldLabMode"": 24, ""GoldLabMode2"": 3, ""GoldLabPBHoldBars"": 64, ""GoldLabPortfolioCooldownHours"": 12}",ml\gold_dd2\configs\combo2v2_both_xm5_full.yaml,ml\gold_dd2\deals\combo2v2_both_xm5_full_deals.csv,552.968
