candidate_id,label,kind,rules_json,is_net,is_pf,is_dd_pct,oos_net,oos_pf,oos_dd_pct,is_delta_net,is_delta_pf,is_delta_dd,oos_delta_net,oos_delta_pf,oos_delta_dd,net_signs,pf_signs,dd_signs,sign_consistent,strict_both,xm5_eligible,xm5_status,xm5_net,xm5_pf,xm5_dd_pct,reason
MON_TOKYO_PB,月曜 00-06時台 PB,session,"{""pb"":[[2,0,7]],""sca"":[]}",2422.69,1.9815,12.372,617.08,1.4554,12.4321,28.11999999999989,0.03259999999999996,-2.8442000000000007,37.620000000000005,0.03930000000000011,0.0,1/1,1/1,-1/0,True,True,True,OK,4205.79,1.9143,11.0331,strict IS/OOS survivor
MON_TOKYO_SCA,月曜 00-06時台 SCA,session,"{""pb"":[],""sca"":[[2,0,7]]}",2394.57,1.9489,15.2162,579.46,1.4161,12.4321,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0/0,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_TOKYO_BOTH,月曜 00-06時台 BOTH,session,"{""pb"":[[2,0,7]],""sca"":[[2,0,7]]}",2422.69,1.9815,12.372,617.08,1.4554,12.4321,28.11999999999989,0.03259999999999996,-2.8442000000000007,37.620000000000005,0.03930000000000011,0.0,1/1,1/1,-1/0,True,True,True,OK,4205.79,1.9143,11.0331,strict IS/OOS survivor
MON_EU_AM_PB,月曜 07-11時台 PB,session,"{""pb"":[[2,7,12]],""sca"":[]}",2417.42,1.9667,14.7824,535.26,1.38,12.4321,22.84999999999991,0.017799999999999816,-0.43379999999999974,-44.200000000000045,-0.03610000000000002,0.0,1/-1,1/-1,-1/0,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_EU_AM_SCA,月曜 07-11時台 SCA,session,"{""pb"":[],""sca"":[[2,7,12]]}",2416.07,2.0042,14.0173,548.28,1.4108,11.9056,21.5,0.055299999999999905,-1.1989,-31.180000000000064,-0.00529999999999986,-0.5265000000000004,1/-1,1/-1,-1/-1,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_EU_AM_BOTH,月曜 07-11時台 BOTH,session,"{""pb"":[[2,7,12]],""sca"":[[2,7,12]]}",2438.92,2.0234,14.0173,504.08,1.3732,11.9056,44.34999999999991,0.07450000000000001,-1.1989,-75.38000000000005,-0.04289999999999994,-0.5265000000000004,1/-1,1/-1,-1/-1,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_EU_PM_PB,月曜 12-15時台 PB,session,"{""pb"":[[2,12,16]],""sca"":[]}",2239.62,1.8673,15.2162,551.46,1.3954,12.4321,-154.95000000000027,-0.08160000000000012,0.0,-28.0,-0.02069999999999994,0.0,-1/-1,-1/-1,0/0,True,False,False,,,,,IS/OOS sign or strict gate failed
MON_EU_PM_SCA,月曜 12-15時台 SCA,session,"{""pb"":[],""sca"":[[2,12,16]]}",2265.0,1.9211,16.589,452.65,1.3335,13.1647,-129.57000000000016,-0.027800000000000047,1.372799999999998,-126.81000000000006,-0.0826,0.7325999999999997,-1/-1,-1/-1,1/1,True,False,False,,,,,IS/OOS sign or strict gate failed
MON_EU_PM_BOTH,月曜 12-15時台 BOTH,session,"{""pb"":[[2,12,16]],""sca"":[[2,12,16]]}",2110.05,1.838,16.589,424.65,1.3124,16.1945,-284.52,-0.1109,1.372799999999998,-154.81000000000006,-0.1036999999999999,3.7624000000000013,-1/-1,-1/-1,1/1,True,False,False,,,,,IS/OOS sign or strict gate failed
MON_NY_PB,月曜 16-19時台 PB,session,"{""pb"":[[2,16,20]],""sca"":[]}",2390.06,1.9455,15.2162,580.18,1.4166,12.4321,-4.510000000000218,-0.0034000000000000696,0.0,0.7199999999999136,0.000500000000000167,0.0,-1/1,-1/1,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_NY_SCA,月曜 16-19時台 SCA,session,"{""pb"":[],""sca"":[[2,16,20]]}",2394.57,1.9489,15.2162,579.46,1.4161,12.4321,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0/0,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_NY_BOTH,月曜 16-19時台 BOTH,session,"{""pb"":[[2,16,20]],""sca"":[[2,16,20]]}",2390.06,1.9455,15.2162,580.18,1.4166,12.4321,-4.510000000000218,-0.0034000000000000696,0.0,0.7199999999999136,0.000500000000000167,0.0,-1/1,-1/1,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_NY_LATE_PB,月曜 20-23時台 PB,session,"{""pb"":[[2,20,24]],""sca"":[]}",2396.84,1.9532,15.7816,567.42,1.4087,13.7349,2.269999999999982,0.0042999999999999705,0.5653999999999986,-12.040000000000077,-0.007399999999999851,1.3027999999999995,1/-1,1/-1,1/1,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_NY_LATE_SCA,月曜 20-23時台 SCA,session,"{""pb"":[],""sca"":[[2,20,24]]}",2394.57,1.9489,15.2162,579.46,1.4161,12.4321,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0/0,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_NY_LATE_BOTH,月曜 20-23時台 BOTH,session,"{""pb"":[[2,20,24]],""sca"":[[2,20,24]]}",2396.84,1.9532,15.7816,567.42,1.4087,13.7349,2.269999999999982,0.0042999999999999705,0.5653999999999986,-12.040000000000077,-0.007399999999999851,1.3027999999999995,1/-1,1/-1,1/1,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_TOKYO_PB,金曜 00-06時台 PB,session,"{""pb"":[[32,0,7]],""sca"":[]}",2385.0,1.957,15.2162,574.1,1.4108,12.418,-9.570000000000164,0.008099999999999996,0.0,-5.360000000000014,-0.00529999999999986,-0.01410000000000089,-1/-1,1/-1,0/-1,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_TOKYO_SCA,金曜 00-06時台 SCA,session,"{""pb"":[],""sca"":[[32,0,7]]}",2394.57,1.9489,15.2162,579.46,1.4161,12.4321,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0/0,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_TOKYO_BOTH,金曜 00-06時台 BOTH,session,"{""pb"":[[32,0,7]],""sca"":[[32,0,7]]}",2385.0,1.957,15.2162,574.1,1.4108,12.418,-9.570000000000164,0.008099999999999996,0.0,-5.360000000000014,-0.00529999999999986,-0.01410000000000089,-1/-1,1/-1,0/-1,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_EU_AM_PB,金曜 07-11時台 PB,session,"{""pb"":[[32,7,12]],""sca"":[]}",2422.45,1.9663,15.011,598.86,1.4359,11.0996,27.879999999999654,0.01739999999999986,-0.20520000000000138,19.399999999999977,0.01980000000000004,-1.3324999999999996,1/1,1/1,-1/-1,True,True,True,OK,4176.35,1.8946,12.5987,strict IS/OOS survivor
FRI_EU_AM_SCA,金曜 07-11時台 SCA,session,"{""pb"":[],""sca"":[[32,7,12]]}",2394.57,1.9489,15.2162,579.46,1.4161,12.4321,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0/0,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_EU_AM_BOTH,金曜 07-11時台 BOTH,session,"{""pb"":[[32,7,12]],""sca"":[[32,7,12]]}",2422.45,1.9663,15.011,598.86,1.4359,11.0996,27.879999999999654,0.01739999999999986,-0.20520000000000138,19.399999999999977,0.01980000000000004,-1.3324999999999996,1/1,1/1,-1/-1,True,True,True,OK,4176.35,1.8946,12.5987,strict IS/OOS survivor
FRI_EU_PM_PB,金曜 12-15時台 PB,session,"{""pb"":[[32,12,16]],""sca"":[]}",2401.22,1.9533,15.1324,609.66,1.4475,12.0079,6.649999999999636,0.0043999999999999595,-0.0838000000000001,30.199999999999932,0.031400000000000095,-0.4242000000000008,1/1,1/1,-1/-1,True,True,True,OK,4176.9,1.8967,11.2332,strict IS/OOS survivor
FRI_EU_PM_SCA,金曜 12-15時台 SCA,session,"{""pb"":[],""sca"":[[32,12,16]]}",2394.57,1.9489,15.2162,579.46,1.4161,12.4321,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0/0,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_EU_PM_BOTH,金曜 12-15時台 BOTH,session,"{""pb"":[[32,12,16]],""sca"":[[32,12,16]]}",2401.22,1.9533,15.1324,609.66,1.4475,12.0079,6.649999999999636,0.0043999999999999595,-0.0838000000000001,30.199999999999932,0.031400000000000095,-0.4242000000000008,1/1,1/1,-1/-1,True,True,True,OK,4176.9,1.8967,11.2332,strict IS/OOS survivor
FRI_NY_PB,金曜 16-19時台 PB,session,"{""pb"":[[32,16,20]],""sca"":[]}",2394.57,1.9489,15.2162,578.77,1.4156,12.4321,0.0,0.0,0.0,-0.6900000000000546,-0.0004999999999999449,0.0,0/-1,0/-1,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_NY_SCA,金曜 16-19時台 SCA,session,"{""pb"":[],""sca"":[[32,16,20]]}",2394.57,1.9489,15.2162,579.46,1.4161,12.4321,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0/0,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_NY_BOTH,金曜 16-19時台 BOTH,session,"{""pb"":[[32,16,20]],""sca"":[[32,16,20]]}",2394.57,1.9489,15.2162,578.77,1.4156,12.4321,0.0,0.0,0.0,-0.6900000000000546,-0.0004999999999999449,0.0,0/-1,0/-1,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_NY_LATE_PB,金曜 20-23時台 PB,session,"{""pb"":[[32,20,24]],""sca"":[]}",2246.12,1.8901,15.2162,555.33,1.3988,12.4321,-148.45000000000027,-0.058800000000000185,0.0,-24.129999999999995,-0.01729999999999987,0.0,-1/-1,-1/-1,0/0,True,False,False,,,,,IS/OOS sign or strict gate failed
FRI_NY_LATE_SCA,金曜 20-23時台 SCA,session,"{""pb"":[],""sca"":[[32,20,24]]}",2394.57,1.9489,15.2162,579.46,1.4161,12.4321,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0/0,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_NY_LATE_BOTH,金曜 20-23時台 BOTH,session,"{""pb"":[[32,20,24]],""sca"":[[32,20,24]]}",2246.12,1.8901,15.2162,555.33,1.3988,12.4321,-148.45000000000027,-0.058800000000000185,0.0,-24.129999999999995,-0.01729999999999987,0.0,-1/-1,-1/-1,0/0,True,False,False,,,,,IS/OOS sign or strict gate failed
WED_ALL_PB,水曜終日 PB,weekday_candidate,"{""pb"":[[8,0,24]],""sca"":[]}",2208.49,1.9509,11.3018,540.72,1.4038,12.4559,-186.08000000000038,0.0020000000000000018,-3.9144000000000005,-38.74000000000001,-0.012299999999999978,0.0237999999999996,-1/-1,1/-1,-1/1,False,False,False,,,,,IS/OOS sign or strict gate failed
WED_ALL_SCA,水曜終日 SCA,weekday_candidate,"{""pb"":[],""sca"":[[8,0,24]]}",2264.47,2.0027,12.5621,709.49,1.6542,12.2998,-130.10000000000036,0.05379999999999985,-2.6541000000000015,130.02999999999997,0.23809999999999998,-0.13230000000000075,-1/1,1/1,-1/-1,False,False,False,,,,,IS/OOS sign or strict gate failed
WED_ALL_BOTH,水曜終日 BOTH,weekday_candidate,"{""pb"":[[8,0,24]],""sca"":[[8,0,24]]}",2078.39,2.0102,8.6837,670.75,1.6505,13.0644,-316.1800000000003,0.06130000000000013,-6.532500000000001,91.28999999999996,0.23440000000000016,0.632299999999999,-1/1,1/1,-1/1,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_ALL_PB,月曜終日 PB,weekday_reference,"{""pb"":[[2,0,24]],""sca"":[]}",2293.57,2.0013,12.372,553.72,1.4106,13.7349,-101.0,0.0524,-2.8442000000000007,-25.74000000000001,-0.005499999999999838,1.3027999999999995,-1/-1,1/-1,-1/1,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_ALL_SCA,月曜終日 SCA,weekday_reference,"{""pb"":[],""sca"":[[2,0,24]]}",2151.48,2.0325,14.84,348.03,1.2921,13.8766,-243.09000000000015,0.08360000000000012,-0.37620000000000076,-231.43000000000006,-0.12399999999999989,1.4444999999999997,-1/-1,1/-1,-1/1,False,False,False,,,,,IS/OOS sign or strict gate failed
MON_ALL_BOTH,月曜終日 BOTH,weekday_reference,"{""pb"":[[2,0,24]],""sca"":[[2,0,24]]}",2050.48,2.1079,12.4202,322.29,1.2808,13.7541,-344.09000000000015,0.1589999999999998,-2.796000000000001,-257.17,-0.13529999999999998,1.3219999999999992,-1/-1,1/-1,-1/1,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_ALL_PB,金曜終日 PB,weekday_reference,"{""pb"":[[32,0,24]],""sca"":[]}",2317.16,1.951,14.3878,594.08,1.4572,10.8923,-77.41000000000031,0.0020999999999999908,-0.8284000000000002,14.620000000000005,0.041100000000000136,-1.5397999999999996,-1/1,1/1,-1/-1,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_ALL_SCA,金曜終日 SCA,weekday_reference,"{""pb"":[],""sca"":[[32,0,24]]}",2394.57,1.9489,15.2162,579.46,1.4161,12.4321,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0/0,0/0,False,False,False,,,,,IS/OOS sign or strict gate failed
FRI_ALL_BOTH,金曜終日 BOTH,weekday_reference,"{""pb"":[[32,0,24]],""sca"":[[32,0,24]]}",2317.16,1.951,14.3878,594.08,1.4572,10.8923,-77.41000000000031,0.0020999999999999908,-0.8284000000000002,14.620000000000005,0.041100000000000136,-1.5397999999999996,-1/1,1/1,-1/-1,False,False,False,,,,,IS/OOS sign or strict gate failed
COMBO_19E952D458,MON_TOKYO_PB + FRI_EU_PM_PB,combo,"{""pb"":[[2,0,7],[32,12,16]],""sca"":[]}",2429.34,1.986,12.3039,647.28,1.4886,12.0079,34.76999999999998,0.03709999999999991,-2.9123,67.81999999999994,0.07250000000000001,-0.4242000000000008,1/1,1/1,-1/-1,True,True,True,OK,4242.64,1.9293,10.4028,strict IS/OOS survivor
COMBO_25D21E691F,FRI_EU_AM_BOTH + FRI_EU_PM_PB,combo,"{""pb"":[[32,7,12],[32,12,16]],""sca"":[[32,7,12]]}",2463.81,1.9984,14.5178,616.85,1.4563,11.0532,69.23999999999978,0.04949999999999988,-0.6984000000000012,37.389999999999986,0.040200000000000014,-1.3788999999999998,1/1,1/1,-1/-1,True,True,True,OK,4235.7,1.9193,13.4411,strict IS/OOS survivor
COMBO_41AB3EAB56,FRI_EU_AM_PB + FRI_EU_PM_BOTH,combo,"{""pb"":[[32,7,12],[32,12,16]],""sca"":[[32,12,16]]}",2463.81,1.9984,14.5178,616.85,1.4563,11.0532,69.23999999999978,0.04949999999999988,-0.6984000000000012,37.389999999999986,0.040200000000000014,-1.3788999999999998,1/1,1/1,-1/-1,True,True,True,OK,4235.7,1.9193,13.4411,strict IS/OOS survivor
COMBO_57EEBA9892,MON_TOKYO_BOTH + FRI_EU_AM_PB,combo,"{""pb"":[[2,0,7],[32,7,12]],""sca"":[[2,0,7]]}",2437.86,1.9943,12.2051,636.48,1.4764,11.0996,43.289999999999964,0.045399999999999885,-3.0111000000000008,57.01999999999998,0.06030000000000002,-1.3324999999999996,1/1,1/1,-1/-1,True,True,True,OK,4229.38,1.9243,10.9063,strict IS/OOS survivor
COMBO_6C5C38FA86,MON_TOKYO_PB + FRI_EU_AM_PB,combo,"{""pb"":[[2,0,7],[32,7,12]],""sca"":[]}",2437.86,1.9943,12.2051,636.48,1.4764,11.0996,43.289999999999964,0.045399999999999885,-3.0111000000000008,57.01999999999998,0.06030000000000002,-1.3324999999999996,1/1,1/1,-1/-1,True,True,True,OK,4229.38,1.9243,10.9063,strict IS/OOS survivor
COMBO_98C6690BED,FRI_EU_AM_BOTH + FRI_EU_PM_BOTH,combo,"{""pb"":[[32,7,12],[32,12,16]],""sca"":[[32,7,12],[32,12,16]]}",2463.81,1.9984,14.5178,616.85,1.4563,11.0532,69.23999999999978,0.04949999999999988,-0.6984000000000012,37.389999999999986,0.040200000000000014,-1.3788999999999998,1/1,1/1,-1/-1,True,True,True,OK,4235.7,1.9193,13.4411,strict IS/OOS survivor
COMBO_B746E06985,MON_TOKYO_PB + FRI_EU_AM_BOTH,combo,"{""pb"":[[2,0,7],[32,7,12]],""sca"":[[32,7,12]]}",2437.86,1.9943,12.2051,636.48,1.4764,11.0996,43.289999999999964,0.045399999999999885,-3.0111000000000008,57.01999999999998,0.06030000000000002,-1.3324999999999996,1/1,1/1,-1/-1,True,True,True,OK,4229.38,1.9243,10.9063,strict IS/OOS survivor
COMBO_BC9FA5775F,MON_TOKYO_PB + FRI_EU_PM_BOTH,combo,"{""pb"":[[2,0,7],[32,12,16]],""sca"":[[32,12,16]]}",2429.34,1.986,12.3039,647.28,1.4886,12.0079,34.76999999999998,0.03709999999999991,-2.9123,67.81999999999994,0.07250000000000001,-0.4242000000000008,1/1,1/1,-1/-1,True,True,True,OK,4242.64,1.9293,10.4028,strict IS/OOS survivor
COMBO_C1F0F9FBE2,MON_TOKYO_BOTH + FRI_EU_PM_PB,combo,"{""pb"":[[2,0,7],[32,12,16]],""sca"":[[2,0,7]]}",2429.34,1.986,12.3039,647.28,1.4886,12.0079,34.76999999999998,0.03709999999999991,-2.9123,67.81999999999994,0.07250000000000001,-0.4242000000000008,1/1,1/1,-1/-1,True,True,True,OK,4242.64,1.9293,10.4028,strict IS/OOS survivor
COMBO_DA2DE2C343,FRI_EU_AM_PB + FRI_EU_PM_PB,combo,"{""pb"":[[32,7,12],[32,12,16]],""sca"":[]}",2463.81,1.9984,14.5178,616.85,1.4563,11.0532,69.23999999999978,0.04949999999999988,-0.6984000000000012,37.389999999999986,0.040200000000000014,-1.3788999999999998,1/1,1/1,-1/-1,True,True,True,OK,4235.7,1.9193,13.4411,strict IS/OOS survivor
COMBO_EB147ECC94,MON_TOKYO_BOTH + FRI_EU_PM_BOTH,combo,"{""pb"":[[2,0,7],[32,12,16]],""sca"":[[2,0,7],[32,12,16]]}",2429.34,1.986,12.3039,647.28,1.4886,12.0079,34.76999999999998,0.03709999999999991,-2.9123,67.81999999999994,0.07250000000000001,-0.4242000000000008,1/1,1/1,-1/-1,True,True,True,OK,4242.64,1.9293,10.4028,strict IS/OOS survivor
COMBO_ECBEDE4532,MON_TOKYO_BOTH + FRI_EU_AM_BOTH,combo,"{""pb"":[[2,0,7],[32,7,12]],""sca"":[[2,0,7],[32,7,12]]}",2437.86,1.9943,12.2051,636.48,1.4764,11.0996,43.289999999999964,0.045399999999999885,-3.0111000000000008,57.01999999999998,0.06030000000000002,-1.3324999999999996,1/1,1/1,-1/-1,True,True,True,OK,4229.38,1.9243,10.9063,strict IS/OOS survivor
