proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,blown,deals,elapsed,run_id,pb_gold_net,pb_gold_n,sca_gold_net,sca_gold_n,sca2_net,sca2_n,eth_net,eth_n,fund_net,fund_n,bfx_net,bfx_n
G001,A,現行構成 / GszMode=0 / GszSleeveMask=0 / GszRiskPct=0.0 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":0,""GszRefCap"":0.0,""GszRiskPct"":0.0,""GszSleeveMask"":0}",1,FULL,OK,729253.0,1.9605,4.5951,1.2683,933,1229253.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G001_20260909195351_84dc_deals.csv,540.2,gc_full_G001_20260909195351_84dc,217692,113,231660,487,143970,185,24731,44,31602,42,79598,62
G002,A,GszMode=0 / GszSleeveMask=0 / GszRiskPct=0.0 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=2,"{""GlobalLotMult"":2,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":0,""GszRefCap"":0.0,""GszRiskPct"":0.0,""GszSleeveMask"":0}",2,FULL,OK,1458418.0,1.9604,6.8837,2.5364,933,1958418.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G002_20260909200251_1398_deals.csv,520.3,gc_full_G002_20260909200251_1398,435379,113,463330,487,287930,185,49353,44,63235,42,159191,62
G003,A,GszMode=0 / GszSleeveMask=0 / GszRiskPct=0.0 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=3,"{""GlobalLotMult"":3,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":0,""GszRefCap"":0.0,""GszRiskPct"":0.0,""GszSleeveMask"":0}",3,FULL,OK,2187617.0,1.9604,8.2508,3.8046,933,2687617.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G003_20260909201131_4d89_deals.csv,515.2,gc_full_G003_20260909201131_4d89,653071,113,694998,487,431893,185,74036,44,94839,42,238780,62
G004,A,GszMode=0 / GszSleeveMask=0 / GszRiskPct=0.0 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=4,"{""GlobalLotMult"":4,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":0,""GszRefCap"":0.0,""GszRiskPct"":0.0,""GszSleeveMask"":0}",4,FULL,OK,2916880.0,1.9604,10.4877,5.0728,933,3416880.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G004_20260909202006_63ca_deals.csv,520.1,gc_full_G004_20260909202006_63ca,870744,113,926651,487,575856,185,98754,44,126478,42,318397,62
G005,B,GszMode=1 / GszSleeveMask=1 / GszRiskPct=0.25 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.25,""GszSleeveMask"":1}",1,FULL,OK,729253.0,1.9605,4.5951,1.2683,933,1229253.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G005_20260909202846_1af6_deals.csv,510.1,gc_full_G005_20260909202846_1af6,217692,113,231660,487,143970,185,24731,44,31602,42,79598,62
G006,B,GszMode=1 / GszSleeveMask=1 / GszRiskPct=0.5 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.5,""GszSleeveMask"":1}",1,FULL,OK,739554.0,1.9539,4.5331,1.2862,933,1239554.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G006_20260909203717_eaf5_deals.csv,510.1,gc_full_G006_20260909203717_eaf5,226225,113,231660,487,143970,185,24731,44,31602,42,81366,62
G007,B,GszMode=1 / GszSleeveMask=2 / GszRiskPct=0.25 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.25,""GszSleeveMask"":2}",1,FULL,OK,726904.0,1.9539,4.6095,1.2642,933,1226904.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G007_20260909204547_9d5d_deals.csv,515.1,gc_full_G007_20260909204547_9d5d,217692,113,229311,487,143970,185,24731,44,31602,42,79598,62
G008,B,GszMode=1 / GszSleeveMask=2 / GszRiskPct=0.5 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.5,""GszSleeveMask"":2}",1,FULL,OK,765457.0,1.8881,5.5208,1.3312,933,1265457.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G008_20260909205422_b1f8_deals.csv,515.1,gc_full_G008_20260909205422_b1f8,217692,113,267864,487,143970,185,24731,44,31602,42,79598,62
G009,C,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.1 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.1,""GszSleeveMask"":3}",1,FULL,OK,729253.0,1.9605,4.5951,1.2683,933,1229253.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G009_20260909210257_ca85_deals.csv,510.2,gc_full_G009_20260909210257_ca85,217692,113,231660,487,143970,185,24731,44,31602,42,79598,62
G010,C,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.25 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.25,""GszSleeveMask"":3}",1,FULL,OK,726904.0,1.9539,4.6095,1.2642,933,1226904.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G010_20260909211127_6b43_deals.csv,515.1,gc_full_G010_20260909211127_6b43,217692,113,229311,487,143970,185,24731,44,31602,42,79598,62
G011,C,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.5 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.5,""GszSleeveMask"":3}",1,FULL,OK,776978.0,1.8848,5.8108,1.3513,933,1276978.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G011_20260909212002_bd30_deals.csv,510.1,gc_full_G011_20260909212002_bd30,227173,113,268136,487,143970,185,24731,44,31602,42,81366,62
G012,C,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.75 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.75,""GszSleeveMask"":3}",1,FULL,OK,872182.0,1.7417,8.6418,1.5168,933,1372182.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G012_20260909212832_e82f_deals.csv,510.2,gc_full_G012_20260909212832_e82f,248434,113,337594,487,143970,185,24731,44,31602,42,85851,62
G013,C,GszMode=1 / GszSleeveMask=3 / GszRiskPct=1.0 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":1.0,""GszSleeveMask"":3}",1,FULL,OK,1052606.0,1.6575,12.1708,1.8306,933,1552606.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G013_20260909213703_5b52_deals.csv,520.2,gc_full_G013_20260909213703_5b52,320420,113,442726,487,143970,185,24731,44,31602,42,89157,62
G014,D,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.25 / GszRefCap=250000 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":250000,""GszRiskPct"":0.25,""GszSleeveMask"":3}",1,FULL,OK,729253.0,1.9605,4.5951,1.2683,933,1229253.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G014_20260909214543_4f2d_deals.csv,510.1,gc_full_G014_20260909214543_4f2d,217692,113,231660,487,143970,185,24731,44,31602,42,79598,62
G015,D,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.25 / GszRefCap=500000 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":500000,""GszRiskPct"":0.25,""GszSleeveMask"":3}",1,FULL,OK,726904.0,1.9539,4.6095,1.2642,933,1226904.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G015_20260909215413_8739_deals.csv,505.2,gc_full_G015_20260909215413_8739,217692,113,229311,487,143970,185,24731,44,31602,42,79598,62
G016,D,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.5 / GszRefCap=250000 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":250000,""GszRiskPct"":0.5,""GszSleeveMask"":3}",1,FULL,OK,726904.0,1.9539,4.6095,1.2642,933,1226904.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G016_20260909220238_068d_deals.csv,510.3,gc_full_G016_20260909220238_068d,217692,113,229311,487,143970,185,24731,44,31602,42,79598,62
