proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,blown,deals,elapsed,run_id,pb_gold_net,pb_gold_n,sca_gold_net,sca_gold_n,sca2_net,sca2_n,eth_net,eth_n,fund_net,fund_n,bfx_net,bfx_n
H06,HIGHMULT,Gszラボ OFF / 倍率6（DD上限の探索）,"{""GlobalLotMult"": 6, ""GszApplyBoost"": true, ""GszMaxLot"": 0.0, ""GszMinLot"": 0.0, ""GszMode"": 0, ""GszRefCap"": 0.0, ""GszRiskPct"": 0.0, ""GszSleeveMask"": 0}",6,FULL,OK,4375271.0,1.9604,15.1991,7.6092,933,4875271.0,summary:最終残高,,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_H06_20260910151511_1ac6_deals.csv,731.8,gc_full_H06_20260910151511_1ac6,1306124,113,1389974,487,863783,185,148115,44,189696,42,477579,62
H06,HIGHMULT,Gszラボ OFF / 倍率6（DD上限の探索）,"{""GlobalLotMult"": 6, ""GszApplyBoost"": true, ""GszMaxLot"": 0.0, ""GszMinLot"": 0.0, ""GszMode"": 0, ""GszRefCap"": 0.0, ""GszRiskPct"": 0.0, ""GszSleeveMask"": 0}",6,OOS,OK,713244.0,1.4961,15.1991,2.5936,470,1213244.0,summary:最終残高,,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_H06_20260910152723_9a03_deals.csv,233.0,gc_oos_H06_20260910152723_9a03,124475,50,315217,245,124371,94,49460,20,8402,10,91319,51
H08,HIGHMULT,Gszラボ OFF / 倍率8（DD上限の探索）,"{""GlobalLotMult"": 8, ""GszApplyBoost"": true, ""GszMaxLot"": 0.0, ""GszMinLot"": 0.0, ""GszMode"": 0, ""GszRefCap"": 0.0, ""GszRiskPct"": 0.0, ""GszSleeveMask"": 0}",8,FULL,OK,5833699.0,1.9604,19.6022,10.1456,933,6333699.0,summary:最終残高,,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_H08_20260910153116_4167_deals.csv,556.1,gc_full_H08_20260910153116_4167,1741496,113,1853306,487,1151711,185,197479,44,252922,42,636785,62
H08,HIGHMULT,Gszラボ OFF / 倍率8（DD上限の探索）,"{""GlobalLotMult"": 8, ""GszApplyBoost"": true, ""GszMaxLot"": 0.0, ""GszMinLot"": 0.0, ""GszMode"": 0, ""GszRefCap"": 0.0, ""GszRiskPct"": 0.0, ""GszSleeveMask"": 0}",8,OOS,OK,951006.0,1.4961,19.6022,3.4582,470,1451006.0,summary:最終残高,,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_H08_20260910154032_0ab9_deals.csv,160.0,gc_oos_H08_20260910154032_0ab9,165963,50,420297,245,165825,94,65956,20,11200,10,121765,51
H10,HIGHMULT,Gszラボ OFF / 倍率10（DD上限の探索）,"{""GlobalLotMult"": 10, ""GszApplyBoost"": true, ""GszMaxLot"": 0.0, ""GszMinLot"": 0.0, ""GszMode"": 0, ""GszRefCap"": 0.0, ""GszRiskPct"": 0.0, ""GszSleeveMask"": 0}",10,FULL,OK,7292142.0,1.9604,23.7215,12.682,933,7792142.0,summary:最終残高,,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_H10_20260910154312_7462_deals.csv,556.2,gc_full_H10_20260910154312_7462,2176864,113,2316636,487,1439633,185,246864,44,316168,42,795977,62
H10,HIGHMULT,Gszラボ OFF / 倍率10（DD上限の探索）,"{""GlobalLotMult"": 10, ""GszApplyBoost"": true, ""GszMaxLot"": 0.0, ""GszMinLot"": 0.0, ""GszMode"": 0, ""GszRefCap"": 0.0, ""GszRiskPct"": 0.0, ""GszSleeveMask"": 0}",10,OOS,OK,1188767.0,1.4961,23.7215,4.3228,470,1688767.0,summary:最終残高,,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_H10_20260910155228_2d17_deals.csv,205.8,gc_oos_H10_20260910155228_2d17,207451,50,525372,245,207277,94,82448,20,14013,10,152206,51
H12,HIGHMULT,Gszラボ OFF / 倍率12（DD上限の探索）,"{""GlobalLotMult"": 12, ""GszApplyBoost"": true, ""GszMaxLot"": 0.0, ""GszMinLot"": 0.0, ""GszMode"": 0, ""GszRefCap"": 0.0, ""GszRiskPct"": 0.0, ""GszSleeveMask"": 0}",12,FULL,OK,8750546.0,1.9604,27.5891,15.2183,933,9250546.0,summary:最終残高,,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_H12_20260910155554_1d5f_deals.csv,551.5,gc_full_H12_20260910155554_1d5f,2612250,113,2779963,487,1727561,185,296203,44,379397,42,955172,62
H12,HIGHMULT,Gszラボ OFF / 倍率12（DD上限の探索）,"{""GlobalLotMult"": 12, ""GszApplyBoost"": true, ""GszMaxLot"": 0.0, ""GszMinLot"": 0.0, ""GszMode"": 0, ""GszRefCap"": 0.0, ""GszRiskPct"": 0.0, ""GszSleeveMask"": 0}",12,OOS,OK,1426521.0,1.4961,27.5891,5.1873,470,1926521.0,summary:最終残高,,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_H12_20260910160505_ab57_deals.csv,175.4,gc_oos_H12_20260910160505_ab57,248946,50,630454,245,248732,94,98921,20,16813,10,182655,51
H16,HIGHMULT,Gszラボ OFF / 倍率16（DD上限の探索）,"{""GlobalLotMult"": 16, ""GszApplyBoost"": true, ""GszMaxLot"": 0.0, ""GszMinLot"": 0.0, ""GszMode"": 0, ""GszRefCap"": 0.0, ""GszRiskPct"": 0.0, ""GszSleeveMask"": 0}",16,FULL,OK,11667423.0,1.9604,34.6503,20.2912,933,12167423.0,summary:最終残高,,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_H16_20260910160801_b47f_deals.csv,535.8,gc_full_H16_20260910160801_b47f,3482991,113,3706633,487,2303410,185,394949,44,505865,42,1273575,62
H16,HIGHMULT,Gszラボ OFF / 倍率16（DD上限の探索）,"{""GlobalLotMult"": 16, ""GszApplyBoost"": true, ""GszMaxLot"": 0.0, ""GszMinLot"": 0.0, ""GszMode"": 0, ""GszRefCap"": 0.0, ""GszRiskPct"": 0.0, ""GszSleeveMask"": 0}",16,OOS,OK,1902050.0,1.4961,34.6503,6.9165,470,2402050.0,summary:最終残高,,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_H16_20260910161657_de70_deals.csv,170.1,gc_oos_H16_20260910161657_de70,331931,50,840605,245,331646,94,131903,20,22416,10,243549,51
