label,window,mask,risk_pct,ref_cap,boost,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_lot,pb_n,sca_net,sca_lot,sca_n,elapsed,run_id
BASELINE,IS,0,0.0,0.0,True,OK,379590.0,2.0824,4.0552,1.2653,305,30407744,0.01,63,27552864,0.0117,242,83.9,xmgsz_is_BASELINE_20260905065243_8a23
PB_r0.68,IS,1,0.68,500000.0,True,OK,379590.0,2.0824,4.0552,1.2653,305,30407744,0.01,63,27552864,0.0117,242,84.0,xmgsz_is_PB_r0.68_20260905065407_4d5b
PB_r1.0,IS,1,1.0,500000.0,True,OK,391190.0,2.0561,3.9943,1.304,305,32043340,0.0129,63,27552864,0.0117,242,84.0,xmgsz_is_PB_r1.0_20260905065531_f100
PB_r1.5,IS,1,1.5,500000.0,True,OK,412577.0,1.9713,5.4436,1.3753,305,35409413,0.0187,63,27552864,0.0117,242,88.9,xmgsz_is_PB_r1.5_20260905065655_0efe
PB_r2.0,IS,1,2.0,500000.0,True,OK,449369.0,1.9347,6.8701,1.4979,305,40913117,0.0251,63,27552864,0.0117,242,83.9,xmgsz_is_PB_r2.0_20260905065824_23d0
PB_r3.0,IS,1,3.0,500000.0,True,OK,546355.0,1.8973,10.0067,1.8212,305,54998265,0.039,63,28081273,0.0117,242,84.1,xmgsz_is_PB_r3.0_20260905065948_d0f0
PB_r4.0,IS,1,4.0,500000.0,True,OK,700552.0,1.9431,13.0115,2.3352,305,78123109,0.0538,63,28609682,0.0117,242,84.0,xmgsz_is_PB_r4.0_20260905070112_5303
PB_r5.0,IS,1,5.0,500000.0,True,OK,861047.0,1.9975,17.2527,2.8702,305,102186949,0.0678,63,29138091,0.0117,242,84.0,xmgsz_is_PB_r5.0_20260905070236_28e7
SCA_r0.68,IS,2,0.68,500000.0,True,OK,398420.0,2.0683,3.919,1.3281,305,30407744,0.01,63,29815434,0.0142,242,84.0,xmgsz_is_SCA_r0.68_20260905070400_8891
SCA_r1.0,IS,2,1.0,500000.0,True,OK,413936.0,1.9425,7.1739,1.3798,305,30407744,0.01,63,32017109,0.0194,242,84.0,xmgsz_is_SCA_r1.0_20260905070524_334a
SCA_r2.0,IS,2,2.0,500000.0,True,OK,524342.0,1.7323,12.3612,1.7478,305,30407744,0.01,63,46902322,0.0402,242,84.1,xmgsz_is_SCA_r2.0_20260905070648_1766
SCA_r3.0,IS,2,3.0,500000.0,True,OK,620149.0,1.5992,18.7271,2.0672,305,30407744,0.01,63,59987002,0.0619,242,84.1,xmgsz_is_SCA_r3.0_20260905070812_a6c0
SCA_r5.0,IS,2,5.0,500000.0,True,OK,897464.0,1.5285,23.9092,2.9915,305,30407744,0.01,63,98299374,0.107,242,84.0,xmgsz_is_SCA_r5.0_20260905070936_c92d
BOTH_r1.0,IS,3,1.0,500000.0,True,OK,425536.0,1.9273,4.8631,1.4185,305,32043340,0.0129,63,32017109,0.0194,242,83.9,xmgsz_is_BOTH_r1.0_20260905071100_7ae2
BOTH_r2.0,IS,3,2.0,500000.0,True,OK,594121.0,1.7022,9.9068,1.9804,305,40913117,0.0251,63,46902322,0.0402,242,84.0,xmgsz_is_BOTH_r2.0_20260905071224_0e15
BOTH_r3.0,IS,3,3.0,500000.0,True,OK,786914.0,1.6085,13.7808,2.623,305,54998265,0.039,63,60515411,0.0619,242,84.1,xmgsz_is_BOTH_r3.0_20260905071348_9c92
BOTH_r5.0,IS,3,5.0,500000.0,True,OK,1378921.0,1.6237,19.5212,4.5964,305,102186949,0.0678,63,99884601,0.107,242,84.1,xmgsz_is_BOTH_r5.0_20260905071512_7bbc
PBcomp_r1.0,IS,1,1.0,0.0,True,OK,388669.0,2.0422,4.4257,1.2956,305,31684503,0.013,63,27552864,0.0117,242,83.9,xmgsz_is_PBcomp_r1.0_20260905071636_f34b
PBcomp_r2.0,IS,1,2.0,0.0,True,OK,470439.0,1.9117,7.2565,1.5681,305,44294277,0.0276,63,27552864,0.0117,242,83.9,xmgsz_is_PBcomp_r2.0_20260905071800_82a9
PBcomp_r3.0,IS,1,3.0,0.0,True,OK,832406.0,2.2162,10.0441,2.7747,305,99487761,0.0457,63,28081273,0.0117,242,88.9,xmgsz_is_PBcomp_r3.0_20260905071924_65dc
SCAnb_r2.0,IS,2,2.0,500000.0,False,OK,496476.0,1.7895,8.6299,1.6549,305,30407744,0.01,63,42612601,0.0336,242,494.8,xmgsz_is_SCAnb_r2.0_20260905072053_342b
SCAnb_r3.0,IS,2,3.0,500000.0,False,OK,578185.0,1.6428,12.7048,1.9273,305,30407744,0.01,63,53490470,0.0517,242,83.8,xmgsz_is_SCAnb_r3.0_20260905072908_4b7c
BASELINE,OOS,0,0.0,0.0,True,OK,76603.0,1.582,2.2509,0.2786,295,2234341,0.01,50,5971899,0.0118,245,63.5,xmgsz_oos_BASELINE_20260905073031_549a
PB_r0.68,OOS,1,0.68,500000.0,True,OK,89440.0,1.521,3.2862,0.3252,295,3180394,0.0234,50,6424470,0.0118,245,63.5,xmgsz_oos_PB_r0.68_20260905073135_228b
PB_r1.0,OOS,1,1.0,500000.0,True,OK,107312.0,1.5031,4.5181,0.3902,295,4646110,0.0362,50,6928687,0.0118,245,63.5,xmgsz_oos_PB_r1.0_20260905073238_f6ee
PB_r1.5,OOS,1,1.5,500000.0,True,OK,146161.0,1.5165,6.6545,0.5315,295,8060208,0.0582,50,7752802,0.0118,245,63.5,xmgsz_oos_PB_r1.5_20260905073342_fb9a
PB_r2.0,OOS,1,2.0,500000.0,True,OK,180459.0,1.5274,8.5396,0.6562,295,11212362,0.077,50,8324181,0.0118,245,63.5,xmgsz_oos_PB_r2.0_20260905073445_d2d6
PB_r3.0,OOS,1,3.0,500000.0,True,OK,251992.0,1.5267,12.207,0.9163,295,17412724,0.1196,50,9905264,0.0118,245,63.5,xmgsz_oos_PB_r3.0_20260905073549_cecd
PB_r4.0,OOS,1,4.0,500000.0,True,OK,321133.0,1.5284,15.4639,1.1678,295,23559870,0.1604,50,11300989,0.0118,245,63.5,xmgsz_oos_PB_r4.0_20260905073653_192b
PB_r5.0,OOS,1,5.0,500000.0,True,OK,395814.0,1.5355,18.1406,1.4393,295,30164686,0.2018,50,12815205,0.0118,245,63.6,xmgsz_oos_PB_r5.0_20260905073756_315c
SCA_r0.68,OOS,2,0.68,500000.0,True,OK,91739.0,1.3384,7.7783,0.3336,295,2234341,0.01,50,7636190,0.0328,245,63.5,xmgsz_oos_SCA_r0.68_20260905073900_ec8f
SCA_r1.0,OOS,2,1.0,500000.0,True,OK,142746.0,1.3543,10.8246,0.5191,295,2234341,0.01,50,13168439,0.0517,245,63.5,xmgsz_oos_SCA_r1.0_20260905074003_4f21
SCA_r2.0,OOS,2,2.0,500000.0,True,OK,285687.0,1.3496,21.3064,1.0389,295,2234341,0.01,50,28535469,0.1087,245,63.6,xmgsz_oos_SCA_r2.0_20260905074107_5256
SCA_r3.0,OOS,2,3.0,500000.0,True,OK,428309.0,1.3461,30.2866,1.5575,295,2234341,0.01,50,43894094,0.166,245,63.5,xmgsz_oos_SCA_r3.0_20260905074210_7954
SCA_r5.0,OOS,2,5.0,500000.0,True,OK,704478.0,1.3408,45.3568,2.5617,295,2234341,0.01,50,73662785,0.28,245,63.5,xmgsz_oos_SCA_r5.0_20260905074314_0596
BOTH_r1.0,OOS,3,1.0,500000.0,True,OK,173455.0,1.358,11.5143,0.6307,295,4646110,0.0362,50,14125227,0.0517,245,63.5,xmgsz_oos_BOTH_r1.0_20260905074417_4a59
BOTH_r2.0,OOS,3,2.0,500000.0,True,OK,389543.0,1.379,22.5571,1.4165,295,11212362,0.077,50,30887751,0.1087,245,63.5,xmgsz_oos_BOTH_r2.0_20260905074521_4f36
BOTH_r3.0,OOS,3,3.0,500000.0,True,OK,603698.0,1.381,31.756,2.1953,295,17412724,0.1196,50,47827458,0.166,245,63.5,xmgsz_oos_BOTH_r3.0_20260905074624_2e8f
BOTH_r5.0,OOS,3,5.0,500000.0,True,OK,1023689.0,1.3827,46.9445,3.7225,295,30164686,0.2018,50,80506091,0.28,245,63.5,xmgsz_oos_BOTH_r5.0_20260905074728_03db
PBcomp_r1.0,OOS,1,1.0,0.0,True,OK,115558.0,1.5309,4.9799,0.4202,295,5525353,0.0378,50,6928687,0.0118,245,63.5,xmgsz_oos_PBcomp_r1.0_20260905074831_ffc6
