label,mult,window,status,net,pf,dd_pct,monthly_pct,trades,deals,elapsed,run_id
OFF,1,IS,OK,487081.0,2.1868,5.2386,1.6236,372,m1_is_OFF_x1_20260906132427_d8f5_deals.csv,284.6,m1_is_OFF_x1_20260906132427_d8f5
ON,1,IS,OK,685273.0,1.9588,5.2183,2.2842,584,m1_is_ON_x1_20260906132912_e579_deals.csv,279.6,m1_is_ON_x1_20260906132912_e579
OFF,1,OOS,OK,98202.0,1.5281,3.094,0.3571,376,m1_oos_OFF_x1_20260906133351_bedd_deals.csv,154.7,m1_oos_OFF_x1_20260906133351_bedd
ON,1,OOS,OK,142270.0,1.4845,3.0801,0.5173,596,m1_oos_ON_x1_20260906133626_ac11_deals.csv,164.3,m1_oos_ON_x1_20260906133626_ac11
OFF,1,FULL,OK,585283.0,1.9814,4.5179,1.0179,748,m1_full_OFF_x1_20260906133910_48d2_deals.csv,490.0,m1_full_OFF_x1_20260906133910_48d2
ON,1,FULL,OK,827543.0,1.8207,4.302,1.4392,1180,m1_full_ON_x1_20260906134720_2387_deals.csv,485.2,m1_full_ON_x1_20260906134720_2387
ON,4,IS,OK,2741177.0,1.9588,11.8992,9.1373,584,m1_is_ON_x4_20260906135525_517c_deals.csv,274.8,m1_is_ON_x4_20260906135525_517c
OFF,4,IS,OK,1948411.0,2.1869,13.4054,6.4947,372,m1_is_OFF_x4_20260906140000_6d1a_deals.csv,259.4,m1_is_OFF_x4_20260906140000_6d1a
ON,8,IS,OK,5482351.0,1.9588,17.5048,18.2745,584,m1_is_ON_x8_20260906140419_749e_deals.csv,269.2,m1_is_ON_x8_20260906140419_749e
OFF,8,IS,OK,3896807.0,2.1869,18.11,12.9894,372,m1_is_OFF_x8_20260906140849_ffa4_deals.csv,259.4,m1_is_OFF_x8_20260906140849_ffa4
