sleeve_a,sleeve_b,interval_pairs,overlap_hours,allocated_co_loss,window
En_SCA_GBPJPY,En_SCA_USDJPY,5,39.5972,19545.0,IS
En_PB_USDJPY,En_SCA_GBPJPY,2,23.5,3766.5,IS
En_PAIR,En_SCA_USDJPY,1,4.2586,2242.33,IS
En_PAIR,En_RSI_EURUSD,4,46.3147,2021.33,IS
En_PB_USDJPY,En_SCA_USDJPY,3,34.25,1791.5,IS
En_PAIR,En_SCA_GBPJPY,1,12.75,935.33,IS
En_RSI_EURUSD,En_RSI_USDJPY,1,13.5603,924.0,IS
En_RSI_EURUSD,En_SCA_GBPJPY,1,4.0,597.0,IS
En_RSI_EURUSD,En_SCA_GBPJPY,17,106.0764,15919.83,FULL
En_SCA_GBPJPY,En_SCA_USDJPY,17,138.57,12979.33,FULL
En_CARRY,En_SCA_GBPJPY,7,40.9658,7723.83,FULL
En_PB_USDJPY,En_RSI_EURUSD,8,165.5033,5698.83,FULL
En_PB_USDJPY,En_SCA_GBPJPY,8,30.1369,5649.33,FULL
En_RSI_USDJPY,En_SCA_GBPJPY,4,41.2675,3586.67,FULL
En_PAIR,En_SCA_GBPJPY,8,58.235,3581.33,FULL
En_PB_USDJPY,En_SCA_USDJPY,4,36.545,2362.17,FULL
En_RSI_EURUSD,En_SCA_USDJPY,6,48.5981,2172.33,FULL
En_RSI_USDJPY,En_SCA_USDJPY,3,15.0939,1839.67,FULL
En_RSI_GBPUSD,En_SCA_GBPJPY,4,32.0544,1638.67,FULL
En_CARRY,En_SCA_USDJPY,5,51.6081,1625.33,FULL
En_PB_USDJPY,En_RSI_GBPUSD,2,100.7939,1607.67,FULL
En_PAIR,En_PB_GBPJPY,2,35.1878,1299.0,FULL
En_PAIR,En_RSI_EURUSD,10,109.7439,1286.5,FULL
En_CARRY,En_RSI_EURUSD,2,16.8361,1261.33,FULL
En_RSI_EURUSD,En_RSI_USDJPY,2,101.8147,1186.0,FULL
En_PAIR,En_RSI_GBPUSD,4,254.7433,1166.33,FULL
En_PAIR,En_SCA_USDJPY,4,41.455,710.0,FULL
En_RSI_GBPUSD,En_SCA_USDJPY,2,13.6106,639.83,FULL
En_RSI_EURUSD,En_RSI_GBPUSD,1,1.1108,344.0,FULL
