magic,sleeve,deal_rows,positions,net,gross_profit,gross_loss,standalone_max_dd,standalone_dd_pct_of_initial,standalone_peak_time,standalone_trough_time,window
20260622,En_PB_USDJPY,110,55,16105.0,55145.0,-39040.0,6560.0,8.42,2022-04-28 09:55:42,2022-07-22 02:29:41,IS
20260627,En_PB_GBPJPY,22,11,24372.0,28846.0,-4474.0,1494.0,1.92,2024-07-10 18:09:41,2024-07-11 15:42:30,IS
20260610,En_RSI_USDJPY,212,106,5448.0,40674.0,-35226.0,6121.0,7.85,WINDOW_START,2022-07-29 16:17:02,IS
20260605,En_RSI_EURUSD,546,273,14715.0,83448.0,-68733.0,8463.0,10.86,2025-07-30 15:54:30,2026-05-13 11:52:37,IS
20260774,En_RSI_GBPUSD,116,58,8376.0,32921.0,-24545.0,3263.0,4.19,WINDOW_START,2022-08-05 19:47:41,IS
20260629,En_PAIR,124,62,16163.0,53782.0,-37619.0,8291.0,10.64,2021-09-20 10:00:00,2022-05-16 23:00:00,IS
20260650,En_CARRY,14,7,84969.0,106735.0,-21766.0,17469.0,22.41,WINDOW_START,2022-01-24 01:00:00,IS
20261000,En_SCA_USDJPY,632,316,22045.0,104167.0,-82122.0,8156.0,10.46,2024-01-24 22:00:00,2024-09-24 21:21:32,IS
20261001,En_SCA_GBPJPY,1370,685,84921.0,473768.0,-388847.0,38713.0,49.66,2025-08-01 16:48:21,2026-03-27 14:38:17,IS
20260622,En_PB_USDJPY,148,74,13295.0,70210.0,-56915.0,13821.0,17.73,2016-12-14 22:49:19,2019-06-07 12:59:37,FULL
20260627,En_PB_GBPJPY,40,20,50869.0,58524.0,-7655.0,3181.0,4.08,WINDOW_START,2017-08-25 13:35:38,FULL
20260610,En_RSI_USDJPY,372,186,7862.0,69164.0,-61302.0,10832.0,13.9,2020-06-05 17:02:42,2022-07-29 16:17:02,FULL
20260605,En_RSI_EURUSD,1076,538,23963.0,146573.0,-122610.0,10613.0,13.61,2019-11-12 13:42:50,2022-09-02 19:45:41,FULL
20260774,En_RSI_GBPUSD,242,121,23219.0,65812.0,-42593.0,5632.0,7.22,2020-02-19 17:45:56,2022-08-05 19:47:41,FULL
20260629,En_PAIR,180,90,18092.0,70125.0,-52033.0,10688.0,13.71,2019-10-10 21:00:00,2022-05-16 23:00:00,FULL
20260650,En_CARRY,26,13,115893.0,146320.0,-30427.0,14580.0,18.7,2017-11-20 01:00:00,2020-01-08 01:00:00,FULL
20261000,En_SCA_USDJPY,1166,583,17823.0,143183.0,-125360.0,11690.0,15.0,2017-05-26 22:00:00,2022-03-15 22:00:00,FULL
20261001,En_SCA_GBPJPY,2602,1301,119737.0,856247.0,-736510.0,40342.0,51.75,2017-02-28 22:00:00,2018-09-05 16:05:29,FULL
