id,family,overview,rationale,test_method,variation,implementation_class,status,parameter_json,unverified_reason
OAFX0001,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.7; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0002,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.7; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0003,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.7; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0004,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.7; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0005,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.7; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0006,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.8; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0007,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.8; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0008,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.8; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0009,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.8; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0010,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.8; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0011,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.9; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0012,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.9; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0013,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.9; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0014,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.9; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0015,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=0.9; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0016,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=1.0; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 1.0, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
