time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1478653200,0.00,20260650,0,2,0,0.03,81.38500000,0.00000000,105.66400,0.00
1478764800,0.00,20260605,0,3,1,0.01,1.09418000,1.09668000,106.78800,0.00
1478774700,0.00,20261001,0,4,0,0.06,131.81800000,130.27000000,106.78800,0.00
1478778300,0.00,20261000,0,5,0,0.02,106.14400000,104.95400000,106.78800,0.00
1478815200,1364.00,20261000,1,5,1,0.02,106.82600000,104.95400000,106.78800,1364.00
1478815200,14274.00,20261001,1,4,1,0.06,134.19700000,130.27000000,106.78800,14274.00
1478861100,0.00,20261001,0,8,0,0.06,134.30700000,133.41400000,106.62000,0.00
1478889845,1125.00,20260605,1,3,0,0.01,1.08367000,1.09668000,106.62000,1125.00
1478901600,1326.00,20261001,1,8,1,0.06,134.52800000,133.41400000,106.62000,1326.00
1479119400,0.00,20261000,0,11,0,0.01,107.79200000,106.72800000,108.40500,0.00
1479160800,726.00,20261000,1,11,1,0.01,108.51800000,106.72800000,108.40500,726.00
1479206700,0.00,20261001,0,13,1,0.01,134.31500000,135.49800000,109.16900,0.00
1479241540,-1183.00,20261001,1,13,0,0.01,135.49800000,135.49800000,109.16900,-1183.00
1479287700,0.00,20261001,0,15,0,0.01,136.44900000,135.61700000,109.05400,0.00
1479333600,-668.00,20261001,1,15,1,0.01,135.78100000,135.61700000,109.05400,-668.00
1479375000,0.00,20261001,0,17,0,0.01,135.94600000,134.98400000,110.09500,0.00
1479420000,472.00,20261001,1,17,1,0.01,136.41800000,134.98400000,110.09500,472.00
1479462300,0.00,20261001,0,19,0,0.01,137.36900000,136.52700000,110.86700,0.00
1479478300,-842.00,20261001,1,19,1,0.01,136.52700000,136.52700000,110.86700,-842.00
1479726000,0.00,20261001,0,21,1,0.01,136.52500000,138.14400000,110.79100,0.00
1479741986,-1623.00,20261001,1,21,0,0.01,138.14800000,138.14400000,110.79100,-1623.00
1479806100,0.00,20261001,0,23,0,0.01,138.79000000,137.86800000,111.11900,0.00
1479817171,-922.00,20261001,1,23,1,0.01,137.86800000,137.86800000,111.11900,-922.00
1479978900,0.00,20261001,0,25,0,0.01,140.37700000,139.61400000,113.29200,0.00
1479980700,0.00,20261000,0,26,0,0.01,113.20500000,112.36600000,113.29200,0.00
1480024800,180.00,20261000,1,26,1,0.01,113.38500000,112.36600000,113.29200,180.00
