time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624237200,0.00,20260650,0,2,0,0.03,82.50600000,0.00000000,110.17400,0.00
1624361400,0.00,20261001,0,3,1,0.06,153.17800000,153.77200000,110.60500,0.00
1624378052,-3564.00,20261001,1,3,0,0.06,153.77200000,153.77200000,110.60500,-3564.00
1624964400,0.00,20261000,0,5,0,0.02,110.69700000,110.45100000,110.45200,0.00
1624987418,-492.00,20261000,1,5,1,0.02,110.45100000,110.45100000,110.45200,-492.00
1625072400,0.00,20260605,0,7,1,0.01,1.18739000,1.18989000,111.09200,0.00
1625483700,0.00,20261000,0,8,1,0.02,110.86100000,111.18900000,110.93500,0.00
1625522400,-80.00,20261000,1,8,0,0.02,110.90100000,111.18900000,110.93500,-80.00
1625565600,0.00,20261001,0,10,0,0.01,154.07100000,153.42000000,110.60500,0.00
1625573735,-659.00,20261001,1,10,1,0.01,153.41200000,153.42000000,110.60500,-659.00
1625652900,0.00,20261000,0,12,0,0.02,110.73900000,110.39400000,110.60100,0.00
1625695200,-242.00,20261000,1,12,1,0.02,110.61800000,110.39400000,110.60100,-242.00
1625736600,0.00,20261001,0,14,1,0.01,151.93500000,152.74300000,109.58100,0.00
1625739300,0.00,20261000,0,15,1,0.01,110.04000000,110.67100000,109.58100,0.00
1625781600,232.00,20261000,1,15,0,0.01,109.80800000,110.67100000,109.58100,232.00
1625781600,676.00,20261001,1,14,0,0.01,151.25900000,152.74300000,109.58100,676.00
1626174000,261.00,20260605,1,7,0,0.01,1.18518000,1.18989000,110.62200,261.00
1626174000,0.00,20260605,0,19,0,0.01,1.18518000,1.18268000,110.62200,0.00
1626181200,-104.00,20260605,1,19,1,0.01,1.18423000,1.18268000,110.62200,-104.00
1626181200,0.00,20260605,0,21,1,0.01,1.18423000,1.18673000,110.62200,0.00
1626340500,0.00,20261000,0,22,1,0.01,109.76000000,110.02700000,109.80400,0.00
1626345000,0.00,20261001,0,23,1,0.01,151.73000000,152.45600000,109.80400,0.00
1626350400,-73.00,20260605,1,21,0,0.01,1.18493000,1.18673000,109.80400,-73.00
1626350400,0.00,20260605,0,25,0,0.01,1.18493000,1.18243000,109.80400,0.00
1626354212,-730.00,20261001,1,23,0,0.01,152.46000000,152.45600000,109.80400,-730.00
1626356728,-275.00,20260605,1,25,1,0.01,1.18243000,1.18243000,109.80400,-275.00
1626357600,0.00,20260605,0,28,1,0.01,1.18173000,1.18423000,109.80400,0.00
1626358782,-267.00,20261000,1,22,0,0.01,110.02700000,110.02700000,109.80400,-267.00
1626432300,0.00,20261000,0,30,0,0.01,110.17600000,109.73100000,110.07200,0.00
1626435000,0.00,20261001,0,31,0,0.01,152.50300000,151.75700000,110.07200,0.00
1626456271,-753.00,20261001,1,31,1,0.01,151.75000000,151.75700000,110.07200,-753.00
1626472800,-103.00,20261000,1,30,1,0.01,110.07300000,109.73100000,110.07200,-103.00
1626667200,0.00,20260610,0,34,1,0.01,109.86700000,110.36700000,109.37600,0.00
1626690600,0.00,20261001,0,35,1,0.01,150.83900000,151.52700000,109.37600,0.00
1626695100,0.00,20261000,0,36,1,0.01,109.74200000,110.08600000,109.37600,0.00
1626715001,1376.00,20261001,1,35,0,0.01,149.46300000,151.52700000,109.37600,1376.00
1626732000,269.00,20261000,1,36,0,0.01,109.47300000,110.08600000,109.37600,269.00
1626742800,-5919.00,20260650,1,2,1,0.03,80.35800000,0.00000000,109.81400,-5919.00
1626777900,0.00,20261000,0,40,0,0.01,109.69900000,109.35700000,109.81400,0.00
1626787418,-342.00,20261000,1,40,1,0.01,109.35700000,109.35700000,109.81400,-342.00
1626864300,0.00,20261000,0,42,0,0.01,110.09100000,109.78900000,110.28500,0.00
1626885254,-564.00,20260610,1,34,0,0.01,110.36700000,110.36700000,110.28500,-564.00
1626897600,0.00,20260610,0,44,0,0.01,110.30700000,109.80700000,110.28500,0.00
1626904800,174.00,20261000,1,42,1,0.01,110.26500000,109.78900000,110.28500,174.00
1627037100,0.00,20261000,0,46,0,0.01,110.38600000,110.05900000,110.54000,0.00
1627077600,169.00,20261000,1,46,1,0.01,110.55500000,110.05900000,110.54000,169.00
1627295400,0.00,20261000,0,48,1,0.01,110.14000000,110.58400000,110.36200,0.00
1627318800,136.00,20260605,1,28,0,0.01,1.18062000,1.18423000,110.36200,136.00
1627318800,0.00,20260605,0,50,0,0.01,1.18062000,1.17812000,110.36200,0.00
1627336800,-243.00,20261000,1,48,0,0.01,110.38300000,110.58400000,110.36200,-243.00
1627380000,-210.00,20260605,1,50,1,0.01,1.17879000,1.17812000,109.75300,-210.00
1627380000,0.00,20260605,0,53,1,0.01,1.17879000,1.18129000,109.75300,0.00
1627381800,0.00,20261000,0,54,1,0.01,110.08200000,110.38700000,109.75300,0.00
1627399199,-277.00,20260605,1,53,0,0.01,1.18131000,1.18129000,109.75300,-277.00
1627408769,-495.00,20260610,1,44,1,0.01,109.80000000,109.80700000,109.75300,-495.00
1627423200,0.00,20260605,0,57,0,0.01,1.18232000,1.17982000,109.75300,0.00
1627423200,363.00,20261000,1,54,0,0.01,109.71900000,110.38700000,109.75300,363.00
1627486205,-290.00,20260605,1,57,1,0.01,1.17975000,1.17982000,109.90000,-290.00
1627495200,0.00,20260605,0,60,0,0.01,1.18000000,1.17750000,109.90000,0.00
1627506043,-307.00,20260605,1,60,1,0.01,1.17720000,1.17750000,109.90000,-307.00
1627588800,0.00,20260610,0,62,1,0.01,109.52600000,110.02600000,109.46400,0.00
1628076600,0.00,20261000,0,63,0,0.01,109.20400000,108.92500000,109.46900,0.00
1628090132,-283.00,20261000,1,63,1,0.01,108.92100000,108.92500000,109.46900,-283.00
1628164800,0.00,20260774,0,65,0,0.01,1.39156000,1.38656000,109.76300,0.00
1628263843,-716.00,20260610,1,62,0,0.01,110.05000000,110.02600000,110.20800,-716.00
1628269200,0.00,20260605,0,67,1,0.01,1.17739000,1.17989000,110.20800,0.00
1628272537,-551.00,20260774,1,65,1,0.01,1.38656000,1.38656000,110.20800,-551.00
1628496000,0.00,20260774,0,69,0,0.01,1.38707000,1.38207000,110.21300,0.00
1628594100,0.00,20261000,0,70,0,0.01,110.47200000,110.21300000,110.54500,0.00
1628625600,-426.00,20260774,1,69,1,0.01,1.38323000,1.38207000,110.54500,-426.00
1628625600,0.00,20260774,0,72,1,0.01,1.38323000,1.38823000,110.54500,0.00
1628632800,104.00,20261000,1,70,1,0.01,110.57600000,110.21300000,110.54500,104.00
1628674200,0.00,20261000,0,74,0,0.01,110.74500000,110.44800000,110.40500,0.00
