time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624237200,0.00,20260650,0,2,0,0.03,82.50600000,0.00000000,110.17400,0.00
1624361400,0.00,20261001,0,3,1,0.06,153.17800000,153.77200000,110.60500,0.00
1624378052,-3564.00,20261001,1,3,0,0.06,153.77200000,153.77200000,110.60500,-3564.00
1624617000,0.00,20261001,0,5,1,0.06,154.03700000,154.53300000,110.76800,0.00
1624658400,1416.00,20261001,1,5,0,0.06,153.80100000,154.53300000,110.76800,1416.00
1624876200,0.00,20261001,0,7,0,0.01,154.08700000,153.59000000,110.60900,0.00
1624903123,-500.00,20261001,1,7,1,0.01,153.58700000,153.59000000,110.60900,-500.00
1624964400,0.00,20261000,0,9,0,0.02,110.69700000,110.45100000,110.45200,0.00
1624987418,-492.00,20261000,1,9,1,0.02,110.45100000,110.45100000,110.45200,-492.00
1625049000,0.00,20261001,0,11,1,0.06,152.74500000,153.20500000,111.09200,0.00
1625059925,-2766.00,20261001,1,11,0,0.06,153.20600000,153.20500000,111.09200,-2766.00
1625072400,0.00,20260605,0,13,1,0.01,1.18739000,1.18989000,111.09200,0.00
1625135400,0.00,20261001,0,14,0,0.06,153.82400000,153.35200000,111.51300,0.00
1625176800,-1740.00,20261001,1,14,1,0.06,153.53400000,153.35200000,111.51300,-1740.00
1625483700,0.00,20261000,0,16,1,0.02,110.86100000,111.18900000,110.93500,0.00
1625522400,-80.00,20261000,1,16,0,0.02,110.90100000,111.18900000,110.93500,-80.00
1625651100,0.00,20261001,0,18,0,0.01,152.83000000,152.32900000,110.60100,0.00
1625652900,0.00,20261000,0,19,0,0.02,110.73900000,110.39400000,110.60100,0.00
1625679298,-501.00,20261001,1,18,1,0.01,152.32900000,152.32900000,110.60100,-501.00
1625695200,-242.00,20261000,1,19,1,0.02,110.61800000,110.39400000,110.60100,-242.00
1625739300,0.00,20261000,0,22,1,0.01,110.04000000,110.67100000,109.58100,0.00
1625781600,232.00,20261000,1,22,0,0.01,109.80800000,110.67100000,109.58100,232.00
1626174000,261.00,20260605,1,13,0,0.01,1.18518000,1.18989000,110.62200,261.00
1626174000,0.00,20260605,0,25,0,0.01,1.18518000,1.18268000,110.62200,0.00
1626174000,0.00,20261001,0,26,1,0.06,153.01100000,153.48400000,110.62200,0.00
1626181200,-104.00,20260605,1,25,1,0.01,1.18423000,1.18268000,110.62200,-104.00
1626181200,0.00,20260605,0,28,1,0.01,1.18423000,1.18673000,110.62200,0.00
1626213600,954.00,20261001,1,26,0,0.06,152.85200000,153.48400000,110.62200,954.00
1626340500,0.00,20261000,0,30,1,0.01,109.76000000,110.02700000,109.80400,0.00
1626345900,0.00,20261001,0,31,1,0.01,151.77000000,152.45600000,109.80400,0.00
1626350400,-73.00,20260605,1,28,0,0.01,1.18493000,1.18673000,109.80400,-73.00
1626350400,0.00,20260605,0,33,0,0.01,1.18493000,1.18243000,109.80400,0.00
1626354212,-690.00,20261001,1,31,0,0.01,152.46000000,152.45600000,109.80400,-690.00
1626356728,-275.00,20260605,1,33,1,0.01,1.18243000,1.18243000,109.80400,-275.00
1626357600,0.00,20260605,0,36,1,0.01,1.18173000,1.18423000,109.80400,0.00
1626358782,-267.00,20261000,1,30,0,0.01,110.02700000,110.02700000,109.80400,-267.00
1626432300,0.00,20261000,0,38,0,0.01,110.17600000,109.73100000,110.07200,0.00
1626472800,-103.00,20261000,1,38,1,0.01,110.07300000,109.73100000,110.07200,-103.00
1626667200,0.00,20260610,0,40,1,0.01,109.86700000,110.36700000,109.37600,0.00
1626695100,0.00,20261000,0,41,1,0.01,109.74200000,110.08600000,109.37600,0.00
1626732000,269.00,20261000,1,41,0,0.01,109.47300000,110.08600000,109.37600,269.00
1626742800,-5919.00,20260650,1,2,1,0.03,80.35800000,0.00000000,109.81400,-5919.00
1626775200,0.00,20261001,0,44,1,0.06,149.36200000,149.97200000,109.81400,0.00
1626777900,0.00,20261000,0,45,0,0.01,109.69900000,109.35700000,109.81400,0.00
1626780701,-3660.00,20261001,1,44,0,0.06,149.97200000,149.97200000,109.81400,-3660.00
1626787418,-342.00,20261000,1,45,1,0.01,109.35700000,109.35700000,109.81400,-342.00
1626860700,0.00,20261001,0,48,1,0.01,149.47000000,149.96600000,110.28500,0.00
1626864300,0.00,20261000,0,49,0,0.01,110.09100000,109.78900000,110.28500,0.00
1626866608,-508.00,20261001,1,48,0,0.01,149.97800000,149.96600000,110.28500,-508.00
1626867900,0.00,20261001,0,51,0,0.06,150.04300000,149.48000000,110.28500,0.00
1626885254,-564.00,20260610,1,40,0,0.01,110.36700000,110.36700000,110.28500,-564.00
1626897600,0.00,20260610,0,53,0,0.01,110.30700000,109.80700000,110.28500,0.00
1626897821,6762.00,20261001,1,51,1,0.06,151.17000000,149.48000000,110.28500,6762.00
1626904800,174.00,20261000,1,49,1,0.01,110.26500000,109.78900000,110.28500,174.00
1627037100,0.00,20261000,0,56,0,0.01,110.38600000,110.05900000,110.54000,0.00
1627077600,169.00,20261000,1,56,1,0.01,110.55500000,110.05900000,110.54000,169.00
1627293600,0.00,20261001,0,58,1,0.01,151.60100000,152.15900000,110.36200,0.00
1627295400,0.00,20261000,0,59,1,0.01,110.14000000,110.58400000,110.36200,0.00
1627302397,-558.00,20261001,1,58,0,0.01,152.15900000,152.15900000,110.36200,-558.00
1627318800,136.00,20260605,1,36,0,0.01,1.18062000,1.18423000,110.36200,136.00
1627318800,0.00,20260605,0,62,0,0.01,1.18062000,1.17812000,110.36200,0.00
1627336800,-243.00,20261000,1,59,0,0.01,110.38300000,110.58400000,110.36200,-243.00
1627380000,-210.00,20260605,1,62,1,0.01,1.17879000,1.17812000,109.75300,-210.00
1627380000,0.00,20260605,0,65,1,0.01,1.17879000,1.18129000,109.75300,0.00
1627381800,0.00,20261000,0,66,1,0.01,110.08200000,110.38700000,109.75300,0.00
1627399199,-277.00,20260605,1,65,0,0.01,1.18131000,1.18129000,109.75300,-277.00
1627408769,-495.00,20260610,1,53,1,0.01,109.80000000,109.80700000,109.75300,-495.00
1627423200,0.00,20260605,0,69,0,0.01,1.18232000,1.17982000,109.75300,0.00
1627423200,363.00,20261000,1,66,0,0.01,109.71900000,110.38700000,109.75300,363.00
1627486205,-290.00,20260605,1,69,1,0.01,1.17975000,1.17982000,109.90000,-290.00
1627495200,0.00,20260605,0,72,0,0.01,1.18000000,1.17750000,109.90000,0.00
1627506043,-307.00,20260605,1,72,1,0.01,1.17720000,1.17750000,109.90000,-307.00
1627551900,0.00,20261001,0,74,0,0.01,152.99200000,152.51300000,109.46400,0.00
