time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624237200,0.00,20260650,0,2,0,0.03,82.50600000,0.00000000,110.17400,0.00
1624360500,0.00,20261001,0,3,1,0.01,153.27500000,153.77200000,110.60500,0.00
1624378052,-497.00,20261001,1,3,0,0.01,153.77200000,153.77200000,110.60500,-497.00
1624454100,0.00,20261001,0,5,0,0.01,155.13200000,154.09900000,110.94200,0.00
1624485600,-185.00,20261001,1,5,1,0.01,154.94700000,154.09900000,110.94200,-185.00
1624619700,0.00,20261001,0,7,1,0.01,153.96300000,154.53300000,110.76800,0.00
1624658400,162.00,20261001,1,7,0,0.01,153.80100000,154.53300000,110.76800,162.00
1624964400,0.00,20261000,0,9,0,0.02,110.69700000,110.45100000,110.45200,0.00
1624968000,0.00,20261001,0,10,1,0.01,153.02800000,153.56700000,110.45200,0.00
1624987418,-492.00,20261000,1,9,1,0.02,110.45100000,110.45100000,110.45200,-492.00
1625004000,-37.00,20261001,1,10,0,0.01,153.06500000,153.56700000,110.45200,-37.00
1625072400,0.00,20260605,0,13,1,0.01,1.18739000,1.18989000,111.09200,0.00
1625483700,0.00,20261000,0,14,1,0.02,110.86100000,111.18900000,110.93500,0.00
1625522400,-80.00,20261000,1,14,0,0.02,110.90100000,111.18900000,110.93500,-80.00
1625574600,0.00,20261001,0,16,1,0.06,153.40100000,154.07100000,110.60500,0.00
1625608800,4446.00,20261001,1,16,0,0.06,152.66000000,154.07100000,110.60500,4446.00
1625652900,0.00,20261000,0,18,0,0.02,110.73900000,110.39400000,110.60100,0.00
1625663700,0.00,20261001,0,19,0,0.01,153.01000000,152.32900000,110.60100,0.00
1625679298,-681.00,20261001,1,19,1,0.01,152.32900000,152.32900000,110.60100,-681.00
1625695200,-242.00,20261000,1,18,1,0.02,110.61800000,110.39400000,110.60100,-242.00
1625739300,0.00,20261000,0,22,1,0.01,110.04000000,110.67100000,109.58100,0.00
1625781600,232.00,20261000,1,22,0,0.01,109.80800000,110.67100000,109.58100,232.00
1625831100,0.00,20261001,0,24,0,0.01,151.74100000,151.02800000,110.09200,0.00
1625868000,1260.00,20261001,1,24,1,0.01,153.00100000,151.02800000,110.09200,1260.00
1626091200,0.00,20261001,0,26,1,0.01,152.58700000,153.25300000,110.34800,0.00
1626109625,-666.00,20261001,1,26,0,0.01,153.25300000,153.25300000,110.34800,-666.00
1626174000,279.00,20260605,1,13,0,0.01,1.18518000,1.18989000,110.62200,279.00
1626174000,0.00,20260605,0,29,0,0.01,1.18518000,1.18268000,110.62200,0.00
1626174900,0.00,20261001,0,30,1,0.01,152.97700000,153.48400000,110.62200,0.00
1626181200,-104.00,20260605,1,29,1,0.01,1.18423000,1.18268000,110.62200,-104.00
1626181200,0.00,20260605,0,32,1,0.01,1.18423000,1.18673000,110.62200,0.00
1626213600,125.00,20261001,1,30,0,0.01,152.85200000,153.48400000,110.62200,125.00
1626270300,0.00,20261001,0,34,0,0.01,153.23300000,152.60500000,109.94300,0.00
1626285462,-631.00,20261001,1,34,1,0.01,152.60200000,152.60500000,109.94300,-631.00
1626340500,0.00,20261000,0,36,1,0.01,109.76000000,110.02700000,109.80400,0.00
1626350400,-69.00,20260605,1,32,0,0.01,1.18493000,1.18673000,109.80400,-69.00
1626350400,0.00,20260605,0,38,0,0.01,1.18493000,1.18243000,109.80400,0.00
1626354900,0.00,20261001,0,39,0,0.06,152.62400000,151.60400000,109.80400,0.00
1626356728,-275.00,20260605,1,38,1,0.01,1.18243000,1.18243000,109.80400,-275.00
1626357600,0.00,20260605,0,41,1,0.01,1.18173000,1.18423000,109.80400,0.00
1626358782,-267.00,20261000,1,36,0,0.01,110.02700000,110.02700000,109.80400,-267.00
1626386400,-5736.00,20261001,1,39,1,0.06,151.66800000,151.60400000,109.80400,-5736.00
1626432300,0.00,20261000,0,44,0,0.01,110.17600000,109.73100000,110.07200,0.00
1626434100,0.00,20261001,0,45,0,0.01,152.31600000,151.75700000,110.07200,0.00
1626456271,-566.00,20261001,1,45,1,0.01,151.75000000,151.75700000,110.07200,-566.00
1626472800,-103.00,20261000,1,44,1,0.01,110.07300000,109.73100000,110.07200,-103.00
1626667200,0.00,20260610,0,48,1,0.01,109.86700000,110.36700000,109.37600,0.00
1626695100,0.00,20261000,0,49,1,0.01,109.74200000,110.08600000,109.37600,0.00
1626695100,0.00,20261001,0,50,1,0.01,150.41600000,151.52700000,109.37600,0.00
1626732000,269.00,20261000,1,49,0,0.01,109.47300000,110.08600000,109.37600,269.00
1626732000,883.00,20261001,1,50,0,0.01,149.53300000,151.52700000,109.37600,883.00
1626742800,-5919.00,20260650,1,2,1,0.03,80.35800000,0.00000000,109.81400,-5919.00
1626777900,0.00,20261000,0,54,0,0.01,109.69900000,109.35700000,109.81400,0.00
1626787418,-342.00,20261000,1,54,1,0.01,109.35700000,109.35700000,109.81400,-342.00
1626788700,0.00,20261001,0,56,1,0.01,149.16700000,149.97200000,109.81400,0.00
1626818400,-476.00,20261001,1,56,0,0.01,149.64300000,149.97200000,109.81400,-476.00
1626864300,0.00,20261000,0,58,0,0.01,110.09100000,109.78900000,110.28500,0.00
1626867000,0.00,20261001,0,59,0,0.01,150.04000000,149.28600000,110.28500,0.00
1626885254,-550.00,20260610,1,48,0,0.01,110.36700000,110.36700000,110.28500,-550.00
1626897600,0.00,20260610,0,61,0,0.01,110.30700000,109.80700000,110.28500,0.00
1626904800,174.00,20261000,1,58,1,0.01,110.26500000,109.78900000,110.28500,174.00
1626904800,1197.00,20261001,1,59,1,0.01,151.23700000,149.28600000,110.28500,1197.00
1626961500,0.00,20261001,0,64,0,0.01,151.85000000,150.73500000,110.09300,0.00
1626991200,-138.00,20261001,1,64,1,0.01,151.71200000,150.73500000,110.09300,-138.00
1627037100,0.00,20261000,0,66,0,0.01,110.38600000,110.05900000,110.54000,0.00
1627077600,169.00,20261000,1,66,1,0.01,110.55500000,110.05900000,110.54000,169.00
1627295400,0.00,20261000,0,68,1,0.01,110.14000000,110.58400000,110.36200,0.00
1627303500,0.00,20261001,0,69,0,0.06,152.20900000,151.42500000,110.36200,0.00
1627318800,150.00,20260605,1,41,0,0.01,1.18062000,1.18423000,110.36200,150.00
1627318800,0.00,20260605,0,71,0,0.01,1.18062000,1.17812000,110.36200,0.00
1627336800,-243.00,20261000,1,68,0,0.01,110.38300000,110.58400000,110.36200,-243.00
1627336800,1602.00,20261001,1,69,1,0.06,152.47600000,151.42500000,110.36200,1602.00
1627380000,-209.00,20260605,1,71,1,0.01,1.17879000,1.17812000,109.75300,-209.00
1627380000,0.00,20260605,0,75,1,0.01,1.17879000,1.18129000,109.75300,0.00
