time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624237200,0.00,20260650,0,2,0,0.03,82.50600000,0.00000000,110.17400,0.00
1625072400,0.00,20260605,0,3,1,0.01,1.18739000,1.18989000,111.09200,0.00
1626174000,280.00,20260605,1,3,0,0.01,1.18518000,1.18989000,110.62200,280.00
1626174000,0.00,20260605,0,5,0,0.01,1.18518000,1.18268000,110.62200,0.00
1626181200,-105.00,20260605,1,5,1,0.01,1.18423000,1.18268000,110.62200,-105.00
1626181200,0.00,20260605,0,7,1,0.01,1.18423000,1.18673000,110.62200,0.00
1626350400,-69.00,20260605,1,7,0,0.01,1.18493000,1.18673000,109.80400,-69.00
1626350400,0.00,20260605,0,9,0,0.01,1.18493000,1.18243000,109.80400,0.00
1626356728,-275.00,20260605,1,9,1,0.01,1.18243000,1.18243000,109.80400,-275.00
1626357600,0.00,20260605,0,11,1,0.01,1.18173000,1.18423000,109.80400,0.00
1626667200,0.00,20260610,0,12,1,0.01,109.86700000,110.36700000,109.37600,0.00
1626742800,-5919.00,20260650,1,2,1,0.03,80.35800000,0.00000000,109.81400,-5919.00
1626774300,0.00,20261001,0,14,1,0.06,149.38500000,149.97200000,109.81400,0.00
1626777900,0.00,20261000,0,15,0,0.01,109.69900000,109.35700000,109.81400,0.00
1626780701,-3522.00,20261001,1,14,0,0.06,149.97200000,149.97200000,109.81400,-3522.00
1626787418,-342.00,20261000,1,15,1,0.01,109.35700000,109.35700000,109.81400,-342.00
1626858900,0.00,20261001,0,18,1,0.01,149.37800000,149.96600000,110.28500,0.00
1626864300,0.00,20261000,0,19,0,0.01,110.09100000,109.78900000,110.28500,0.00
1626866608,-600.00,20261001,1,18,0,0.01,149.97800000,149.96600000,110.28500,-600.00
1626867000,0.00,20261001,0,21,0,0.06,150.04000000,149.48000000,110.28500,0.00
1626885254,-550.00,20260610,1,12,0,0.01,110.36700000,110.36700000,110.28500,-550.00
1626897600,0.00,20260610,0,23,0,0.01,110.30700000,109.80700000,110.28500,0.00
1626897818,6720.00,20261001,1,21,1,0.06,151.16000000,149.48000000,110.28500,6720.00
1626904800,174.00,20261000,1,19,1,0.01,110.26500000,109.78900000,110.28500,174.00
1626948000,0.00,20261001,0,26,0,0.06,151.28200000,150.73500000,110.09300,0.00
1626991200,2580.00,20261001,1,26,1,0.06,151.71200000,150.73500000,110.09300,2580.00
1627037100,0.00,20261000,0,28,0,0.01,110.38600000,110.05900000,110.54000,0.00
1627077600,169.00,20261000,1,28,1,0.01,110.55500000,110.05900000,110.54000,169.00
1627292700,0.00,20261001,0,30,1,0.01,151.56900000,152.15900000,110.36200,0.00
1627295400,0.00,20261000,0,31,1,0.01,110.14000000,110.58400000,110.36200,0.00
1627302397,-590.00,20261001,1,30,0,0.01,152.15900000,152.15900000,110.36200,-590.00
1627318800,150.00,20260605,1,11,0,0.01,1.18062000,1.18423000,110.36200,150.00
1627318800,0.00,20260605,0,34,0,0.01,1.18062000,1.17812000,110.36200,0.00
1627336800,-243.00,20261000,1,31,0,0.01,110.38300000,110.58400000,110.36200,-243.00
1627380000,-209.00,20260605,1,34,1,0.01,1.17879000,1.17812000,109.75300,-209.00
1627380000,0.00,20260605,0,37,1,0.01,1.17879000,1.18129000,109.75300,0.00
1627381800,0.00,20261000,0,38,1,0.01,110.08200000,110.38700000,109.75300,0.00
1627399199,-277.00,20260605,1,37,0,0.01,1.18131000,1.18129000,109.75300,-277.00
1627408769,-467.00,20260610,1,23,1,0.01,109.80000000,109.80700000,109.75300,-467.00
1627423200,0.00,20260605,0,41,0,0.01,1.18232000,1.17982000,109.75300,0.00
1627423200,363.00,20261000,1,38,0,0.01,109.71900000,110.38700000,109.75300,363.00
1627486205,-289.00,20260605,1,41,1,0.01,1.17975000,1.17982000,109.90000,-289.00
1627495200,0.00,20260605,0,44,0,0.01,1.18000000,1.17750000,109.90000,0.00
1627506043,-307.00,20260605,1,44,1,0.01,1.17720000,1.17750000,109.90000,-307.00
1627551000,0.00,20261001,0,46,0,0.01,152.98100000,152.51300000,109.46400,0.00
1627588800,0.00,20260610,0,47,1,0.01,109.52600000,110.02600000,109.46400,0.00
1627596000,-61.00,20261001,1,46,1,0.01,152.92000000,152.51300000,109.46400,-61.00
1628068500,0.00,20261001,0,49,0,0.01,151.96800000,151.53100000,109.46900,0.00
1628076600,0.00,20261000,0,50,0,0.01,109.20400000,108.92500000,109.46900,0.00
1628090132,-283.00,20261000,1,50,1,0.01,108.92100000,108.92500000,109.46900,-283.00
1628090322,-437.00,20261001,1,49,1,0.01,151.53100000,151.53100000,109.46900,-437.00
1628157600,0.00,20261001,0,53,0,0.01,152.41100000,151.98800000,109.76300,0.00
1628164800,0.00,20260774,0,54,0,0.01,1.39156000,1.38656000,109.76300,0.00
1628200800,493.00,20261001,1,53,1,0.01,152.90400000,151.98800000,109.76300,493.00
1628263843,-674.00,20260610,1,47,0,0.01,110.05000000,110.02600000,110.20800,-674.00
1628269200,0.00,20260605,0,57,1,0.01,1.17739000,1.17989000,110.20800,0.00
1628272537,-551.00,20260774,1,54,1,0.01,1.38656000,1.38656000,110.20800,-551.00
1628496000,0.00,20260774,0,59,0,0.01,1.38707000,1.38207000,110.21300,0.00
1628594100,0.00,20261000,0,60,0,0.01,110.47200000,110.21300000,110.54500,0.00
1628625600,-426.00,20260774,1,59,1,0.01,1.38323000,1.38207000,110.54500,-426.00
1628625600,0.00,20260774,0,62,1,0.01,1.38323000,1.38823000,110.54500,0.00
1628632800,104.00,20261000,1,60,1,0.01,110.57600000,110.21300000,110.54500,104.00
1628674200,0.00,20261000,0,64,0,0.01,110.74500000,110.44800000,110.40500,0.00
1628674200,0.00,20261001,0,65,0,0.01,153.10000000,152.78700000,110.40500,0.00
1628695841,-325.00,20261000,1,64,1,0.01,110.42000000,110.44800000,110.40500,-325.00
1628712065,-553.00,20260774,1,62,0,0.01,1.38823000,1.38823000,110.40500,-553.00
1628719200,39.00,20261001,1,65,1,0.01,153.13900000,152.78700000,110.40500,39.00
1628841600,0.00,20260610,0,69,0,0.01,110.41200000,109.91200000,109.58700,0.00
1628849700,0.00,20261001,0,70,1,0.06,152.24100000,152.58100000,109.58700,0.00
1628874661,-500.00,20260610,1,69,1,0.01,109.91200000,109.91200000,109.58700,-500.00
1628878745,-255.00,20260605,1,57,0,0.01,1.17989000,1.17989000,109.58700,-255.00
1628884800,0.00,20260610,0,73,1,0.01,109.67100000,110.17100000,109.58700,0.00
1628892000,1512.00,20261001,1,70,0,0.06,151.98900000,152.58100000,109.58700,1512.00
1629100800,0.00,20260774,0,75,0,0.01,1.38565000,1.38065000,109.13100,0.00
1629108000,0.00,20261001,0,76,1,0.01,151.39000000,152.20000000,109.13100,0.00
1629151200,231.00,20261001,1,76,0,0.01,151.15900000,152.20000000,109.13100,231.00
1629192600,0.00,20261001,0,78,1,0.06,150.97500000,151.33600000,109.54600,0.00
1629193289,-548.00,20260774,1,75,1,0.01,1.38065000,1.38065000,109.54600,-548.00
1629237600,2856.00,20261001,1,78,0,0.06,150.49900000,151.33600000,109.54600,2856.00
1629350735,-600.00,20260610,1,73,0,0.01,110.17100000,110.17100000,109.66800,-600.00
1629365400,0.00,20261001,0,82,1,0.06,150.71500000,151.21300000,109.66800,0.00
1629372600,0.00,20261000,0,83,1,0.02,109.64800000,110.22800000,109.66800,0.00
