time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624237200,0.00,20260650,0,2,0,0.03,82.50600000,0.00000000,110.17400,0.00
1624360500,0.00,20261001,0,3,1,0.06,153.27500000,153.77200000,110.60500,0.00
1624378052,-2982.00,20261001,1,3,0,0.06,153.77200000,153.77200000,110.60500,-2982.00
1624439700,0.00,20261001,0,5,0,0.01,154.53400000,154.09900000,110.94200,0.00
1624485600,413.00,20261001,1,5,1,0.01,154.94700000,154.09900000,110.94200,413.00
1624616100,0.00,20261001,0,7,1,0.06,154.03600000,154.53300000,110.76800,0.00
1624658400,1410.00,20261001,1,7,0,0.06,153.80100000,154.53300000,110.76800,1410.00
1624874400,0.00,20261001,0,9,0,0.01,154.13100000,153.59000000,110.60900,0.00
1624903123,-544.00,20261001,1,9,1,0.01,153.58700000,153.59000000,110.60900,-544.00
1624964400,0.00,20261000,0,11,0,0.02,110.69700000,110.45100000,110.45200,0.00
1624987418,-492.00,20261000,1,11,1,0.02,110.45100000,110.45100000,110.45200,-492.00
1625048100,0.00,20261001,0,13,1,0.06,152.78400000,153.20500000,111.09200,0.00
1625059925,-2532.00,20261001,1,13,0,0.06,153.20600000,153.20500000,111.09200,-2532.00
1625072400,0.00,20260605,0,15,1,0.01,1.18739000,1.18989000,111.09200,0.00
1625134500,0.00,20261001,0,16,0,0.06,153.83700000,153.35200000,111.51300,0.00
1625176800,-1818.00,20261001,1,16,1,0.06,153.53400000,153.35200000,111.51300,-1818.00
1625483700,0.00,20261000,0,18,1,0.02,110.86100000,111.18900000,110.93500,0.00
1625522400,-80.00,20261000,1,18,0,0.02,110.90100000,111.18900000,110.93500,-80.00
1625563800,0.00,20261001,0,20,0,0.01,153.97800000,153.42000000,110.60500,0.00
1625573735,-566.00,20261001,1,20,1,0.01,153.41200000,153.42000000,110.60500,-566.00
1625650200,0.00,20261001,0,22,0,0.01,152.90900000,152.32900000,110.60100,0.00
1625652900,0.00,20261000,0,23,0,0.02,110.73900000,110.39400000,110.60100,0.00
1625679298,-580.00,20261001,1,22,1,0.01,152.32900000,152.32900000,110.60100,-580.00
1625695200,-242.00,20261000,1,23,1,0.02,110.61800000,110.39400000,110.60100,-242.00
1625736600,0.00,20261001,0,26,1,0.01,151.93500000,152.74300000,109.58100,0.00
1625739300,0.00,20261000,0,27,1,0.01,110.04000000,110.67100000,109.58100,0.00
1625781600,232.00,20261000,1,27,0,0.01,109.80800000,110.67100000,109.58100,232.00
1625781600,676.00,20261001,1,26,0,0.01,151.25900000,152.74300000,109.58100,676.00
1625831100,0.00,20261001,0,30,0,0.01,151.74100000,151.02800000,110.09200,0.00
1625868000,1260.00,20261001,1,30,1,0.01,153.00100000,151.02800000,110.09200,1260.00
1626086700,0.00,20261001,0,32,1,0.06,152.76100000,153.25300000,110.34800,0.00
1626109625,-2952.00,20261001,1,32,0,0.06,153.25300000,153.25300000,110.34800,-2952.00
1626171300,0.00,20261001,0,34,1,0.06,153.08200000,153.48400000,110.62200,0.00
1626174000,348.00,20260605,1,15,0,0.01,1.18518000,1.18989000,110.62200,348.00
1626174000,0.00,20260605,0,36,0,0.01,1.18518000,1.18268000,110.62200,0.00
1626181200,-104.00,20260605,1,36,1,0.01,1.18423000,1.18268000,110.62200,-104.00
1626181200,0.00,20260605,0,38,1,0.01,1.18423000,1.18673000,110.62200,0.00
1626213600,1380.00,20261001,1,34,0,0.06,152.85200000,153.48400000,110.62200,1380.00
1626340500,0.00,20261000,0,40,1,0.01,109.76000000,110.02700000,109.80400,0.00
1626345000,0.00,20261001,0,41,1,0.01,151.73000000,152.45600000,109.80400,0.00
1626350400,-55.00,20260605,1,38,0,0.01,1.18493000,1.18673000,109.80400,-55.00
1626350400,0.00,20260605,0,43,0,0.01,1.18493000,1.18243000,109.80400,0.00
1626354212,-730.00,20261001,1,41,0,0.01,152.46000000,152.45600000,109.80400,-730.00
1626356728,-275.00,20260605,1,43,1,0.01,1.18243000,1.18243000,109.80400,-275.00
1626357600,0.00,20260605,0,46,1,0.01,1.18173000,1.18423000,109.80400,0.00
1626358782,-267.00,20261000,1,40,0,0.01,110.02700000,110.02700000,109.80400,-267.00
1626432300,0.00,20261000,0,48,0,0.01,110.17600000,109.73100000,110.07200,0.00
1626434100,0.00,20261001,0,49,0,0.01,152.31600000,151.75700000,110.07200,0.00
1626456271,-566.00,20261001,1,49,1,0.01,151.75000000,151.75700000,110.07200,-566.00
1626472800,-103.00,20261000,1,48,1,0.01,110.07300000,109.73100000,110.07200,-103.00
1626667200,0.00,20260610,0,52,1,0.01,109.86700000,110.36700000,109.37600,0.00
1626689700,0.00,20261001,0,53,1,0.01,150.97200000,151.52700000,109.37600,0.00
1626695100,0.00,20261000,0,54,1,0.01,109.74200000,110.08600000,109.37600,0.00
1626710560,1110.00,20261001,1,53,0,0.01,149.86200000,151.52700000,109.37600,1110.00
1626732000,269.00,20261000,1,54,0,0.01,109.47300000,110.08600000,109.37600,269.00
1626742800,-4890.00,20260650,1,2,1,0.03,80.35800000,0.00000000,109.81400,-4890.00
1626774300,0.00,20261001,0,58,1,0.06,149.38500000,149.97200000,109.81400,0.00
1626777900,0.00,20261000,0,59,0,0.01,109.69900000,109.35700000,109.81400,0.00
1626780701,-3522.00,20261001,1,58,0,0.06,149.97200000,149.97200000,109.81400,-3522.00
1626787418,-342.00,20261000,1,59,1,0.01,109.35700000,109.35700000,109.81400,-342.00
1626858900,0.00,20261001,0,62,1,0.01,149.37800000,149.96600000,110.28500,0.00
1626864300,0.00,20261000,0,63,0,0.01,110.09100000,109.78900000,110.28500,0.00
1626866608,-600.00,20261001,1,62,0,0.01,149.97800000,149.96600000,110.28500,-600.00
1626867000,0.00,20261001,0,65,0,0.06,150.04000000,149.48000000,110.28500,0.00
1626885254,-650.00,20260610,1,52,0,0.01,110.36700000,110.36700000,110.28500,-650.00
1626897600,0.00,20260610,0,67,0,0.01,110.30700000,109.80700000,110.28500,0.00
1626897818,6720.00,20261001,1,65,1,0.06,151.16000000,149.48000000,110.28500,6720.00
1626904800,174.00,20261000,1,63,1,0.01,110.26500000,109.78900000,110.28500,174.00
1626948000,0.00,20261001,0,70,0,0.06,151.28200000,150.73500000,110.09300,0.00
1626991200,2580.00,20261001,1,70,1,0.06,151.71200000,150.73500000,110.09300,2580.00
1627037100,0.00,20261000,0,72,0,0.01,110.38600000,110.05900000,110.54000,0.00
1627077600,169.00,20261000,1,72,1,0.01,110.55500000,110.05900000,110.54000,169.00
1627292700,0.00,20261001,0,74,1,0.01,151.56900000,152.15900000,110.36200,0.00
1627295400,0.00,20261000,0,75,1,0.01,110.14000000,110.58400000,110.36200,0.00
