time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624361400,0.00,20261001,0,2,1,0.06,153.17800000,153.77200000,110.60500,0.00
1624378052,-3564.00,20261001,1,2,0,0.06,153.77200000,153.77200000,110.60500,-3564.00
1625565600,0.00,20261001,0,4,0,0.01,154.07100000,153.42000000,110.60500,0.00
1625573735,-659.00,20261001,1,4,1,0.01,153.41200000,153.42000000,110.60500,-659.00
1625736600,0.00,20261001,0,6,1,0.01,151.93500000,152.74300000,109.58100,0.00
1625781600,676.00,20261001,1,6,0,0.01,151.25900000,152.74300000,109.58100,676.00
1625831100,0.00,20261001,0,8,0,0.01,151.74100000,151.02800000,110.09200,0.00
1625868000,1260.00,20261001,1,8,1,0.01,153.00100000,151.02800000,110.09200,1260.00
1626345000,0.00,20261001,0,10,1,0.01,151.73000000,152.45600000,109.80400,0.00
1626354212,-730.00,20261001,1,10,0,0.01,152.46000000,152.45600000,109.80400,-730.00
1626434100,0.00,20261001,0,12,0,0.01,152.31600000,151.75700000,110.07200,0.00
1626456271,-566.00,20261001,1,12,1,0.01,151.75000000,151.75700000,110.07200,-566.00
1626774300,0.00,20261001,0,14,1,0.06,149.38500000,149.97200000,109.81400,0.00
1626780701,-3522.00,20261001,1,14,0,0.06,149.97200000,149.97200000,109.81400,-3522.00
1629108000,0.00,20261001,0,16,1,0.01,151.39000000,152.20000000,109.13100,0.00
1629151200,231.00,20261001,1,16,0,0.01,151.15900000,152.20000000,109.13100,231.00
1629455400,0.00,20261001,0,18,1,0.06,149.20200000,149.88500000,109.79200,0.00
1629496800,-2316.00,20261001,1,18,0,0.06,149.58800000,149.88500000,109.79200,-2316.00
1631184300,0.00,20261001,0,20,1,0.01,151.46400000,151.87200000,109.68700,0.00
1631190395,-408.00,20261001,1,20,0,0.01,151.87200000,151.87200000,109.68700,-408.00
1631268000,0.00,20261001,0,22,0,0.01,152.36800000,151.70600000,109.89200,0.00
1631311200,-208.00,20261001,1,22,1,0.01,152.16000000,151.70600000,109.89200,-208.00
1631614500,0.00,20261001,0,24,0,0.01,152.54900000,152.05000000,109.67900,0.00
1631640882,-508.00,20261001,1,24,1,0.01,152.04100000,152.05000000,109.67900,-508.00
1631879100,0.00,20261001,0,26,0,0.01,151.84800000,151.16000000,109.96400,0.00
1631901079,-688.00,20261001,1,26,1,0.01,151.16000000,151.16000000,109.96400,-688.00
1632129300,0.00,20261001,0,28,1,0.01,150.54300000,151.12400000,109.42300,0.00
1632164796,1162.00,20261001,1,28,0,0.01,149.38100000,151.12400000,109.42300,1162.00
1632220200,0.00,20261001,0,30,0,0.01,150.06100000,149.17500000,109.20900,0.00
1632241829,-890.00,20261001,1,30,1,0.01,149.17100000,149.17500000,109.20900,-890.00
1632390300,0.00,20261001,0,32,0,0.01,150.00300000,149.35200000,110.31400,0.00
1632415661,1302.00,20261001,1,32,1,0.01,151.30500000,149.35200000,110.31400,1302.00
1633081500,0.00,20261001,0,34,1,0.01,149.47700000,150.17100000,111.06100,0.00
1633094967,-694.00,20261001,1,34,0,0.01,150.17100000,150.17100000,111.06100,-694.00
1634203800,0.00,20261001,0,36,0,0.01,155.32600000,154.60400000,113.66700,0.00
1634248800,230.00,20261001,1,36,1,0.01,155.55600000,154.60400000,113.66700,230.00
1634292000,0.00,20261001,0,38,0,0.01,156.22100000,155.37400000,114.24300,0.00
1634335200,864.00,20261001,1,38,1,0.01,157.08500000,155.37400000,114.24300,864.00
1634727600,0.00,20261001,0,40,1,0.06,157.49200000,158.21700000,114.22300,0.00
1634767200,-2808.00,20261001,1,40,0,0.06,157.96000000,158.21700000,114.22300,-2808.00
1634809500,0.00,20261001,0,42,1,0.01,157.23700000,158.20300000,113.95800,0.00
1634853600,193.00,20261001,1,42,0,0.01,157.04400000,158.20300000,113.95800,193.00
1634900400,0.00,20261001,0,44,1,0.06,156.91000000,157.66100000,113.48000,0.00
1634940000,5226.00,20261001,1,44,0,0.06,156.03900000,157.66100000,113.48000,5226.00
1635844500,0.00,20261001,0,46,1,0.01,155.10300000,155.89000000,113.94900,0.00
1635890400,-79.00,20261001,1,46,0,0.01,155.18200000,155.89000000,113.94900,-79.00
1636112700,0.00,20261001,0,48,1,0.01,153.09200000,153.77800000,113.38200,0.00
1636149600,209.00,20261001,1,48,0,0.01,152.88300000,153.77800000,113.38200,209.00
1637054100,0.00,20261001,0,50,0,0.01,153.56200000,152.95500000,114.80900,0.00
1637100000,457.00,20261001,1,50,1,0.01,154.01900000,152.95500000,114.80900,457.00
1637140500,0.00,20261001,0,52,0,0.01,154.54400000,153.91800000,113.97700,0.00
1637178208,-626.00,20261001,1,52,1,0.01,153.91800000,153.91800000,113.97700,-626.00
1638436500,0.00,20261001,0,54,0,0.01,150.54100000,149.50800000,113.00700,0.00
1638482400,-58.00,20261001,1,54,1,0.01,150.48300000,149.50800000,113.00700,-58.00
1638785700,0.00,20261001,0,56,0,0.01,149.83900000,149.04900000,113.43400,0.00
1638828000,618.00,20261001,1,56,1,0.01,150.45700000,149.04900000,113.43400,618.00
1639991700,0.00,20261001,0,58,1,0.01,149.84000000,150.56200000,113.52100,0.00
1640037600,-285.00,20261001,1,58,0,0.01,150.12500000,150.56200000,113.52100,-285.00
1640600100,0.00,20261001,0,60,0,0.01,153.66600000,152.94500000,114.80700,0.00
1640642400,781.00,20261001,1,60,1,0.01,154.44700000,152.94500000,114.80700,781.00
1641290400,0.00,20261001,0,62,0,0.01,156.12300000,155.10900000,116.12000,0.00
1641333600,1032.00,20261001,1,62,1,0.01,157.15500000,155.10900000,116.12000,1032.00
1641463200,0.00,20261001,0,64,1,0.01,156.40900000,157.47500000,115.81500,0.00
1641506400,-414.00,20261001,1,64,0,0.01,156.82300000,157.47500000,115.81500,-414.00
1641896100,0.00,20261001,0,66,0,0.01,156.93300000,156.03800000,115.28500,0.00
1641938400,253.00,20261001,1,66,1,0.01,157.18600000,156.03800000,115.28500,253.00
1642419900,0.00,20261001,0,68,0,0.01,156.63700000,155.85500000,114.59400,0.00
1642456800,-291.00,20261001,1,68,1,0.01,156.34600000,155.85500000,114.59400,-291.00
1642504500,0.00,20261001,0,70,1,0.06,156.21100000,156.90700000,114.60400,0.00
1642543200,2100.00,20261001,1,70,0,0.06,155.86100000,156.90700000,114.60400,2100.00
1643625900,0.00,20261001,0,72,0,0.01,155.19600000,154.32700000,115.04400,0.00
1643666400,-446.00,20261001,1,72,1,0.01,154.75000000,154.32700000,115.04400,-446.00
1644320700,0.00,20261001,0,74,0,0.01,156.29600000,155.44200000,115.52800,0.00
1644357600,171.00,20261001,1,74,1,0.01,156.46700000,155.44200000,115.52800,171.00
1644487200,0.00,20261001,0,76,0,0.01,156.59900000,156.08000000,115.93800,0.00
1644513037,1038.00,20261001,1,76,1,0.01,157.63700000,156.08000000,115.93800,1038.00
1644833700,0.00,20261001,0,78,1,0.01,155.94500000,156.86100000,115.52300,0.00
1644876000,-429.00,20261001,1,78,0,0.01,156.37400000,156.86100000,115.52300,-429.00
1645180200,0.00,20261001,0,80,0,0.01,156.97500000,156.21700000,114.98500,0.00
1645207483,-758.00,20261001,1,80,1,0.01,156.21700000,156.21700000,114.98500,-758.00
1646135100,0.00,20261001,0,82,1,0.06,154.03000000,154.68300000,114.87800,0.00
1646166271,7836.00,20261001,1,82,0,0.06,152.72400000,154.68300000,114.87800,7836.00
1647343800,0.00,20261001,0,84,1,0.06,153.44900000,154.49400000,118.28200,0.00
1647368977,-6270.00,20261001,1,84,0,0.06,154.49400000,154.49400000,118.28200,-6270.00
1647945000,0.00,20261001,0,86,0,0.01,158.25300000,157.18800000,120.76300,0.00
1647986400,1751.00,20261001,1,86,1,0.01,160.00400000,157.18800000,120.76300,1751.00
1648035900,0.00,20261001,0,88,1,0.06,160.06200000,161.09600000,121.14100,0.00
1648072800,630.00,20261001,1,88,0,0.06,159.95700000,161.09600000,121.14100,630.00
1648208700,0.00,20261001,0,90,1,0.01,160.05900000,161.49600000,121.96800,0.00
1648245600,-961.00,20261001,1,90,0,0.01,161.02000000,161.49600000,121.96800,-961.00
1648461600,0.00,20261001,0,92,0,0.01,162.26600000,160.71300000,123.75100,0.00
1648504800,-454.00,20261001,1,92,1,0.01,161.81200000,160.71300000,123.75100,-454.00
1648720800,0.00,20261001,0,94,1,0.06,159.68300000,160.87800000,121.57800,0.00
1648764000,-282.00,20261001,1,94,0,0.06,159.73000000,160.87800000,121.57800,-282.00
1649670300,0.00,20261001,0,96,0,0.01,162.91300000,161.49900000,125.33400,0.00
1649714400,585.00,20261001,1,96,1,0.01,163.49800000,161.49900000,125.33400,585.00
1650015900,0.00,20261001,0,98,0,0.01,165.39800000,164.30000000,126.42700,0.00
1650060000,-320.00,20261001,1,98,1,0.01,165.07800000,164.30000000,126.42700,-320.00
1650278700,0.00,20261001,0,100,1,0.06,164.64700000,165.41500000,126.97400,0.00
1650319200,-3270.00,20261001,1,100,0,0.06,165.19200000,165.41500000,126.97400,-3270.00
1650618900,0.00,20261001,0,102,1,0.01,166.56900000,167.58800000,128.43600,0.00
1650664800,1660.00,20261001,1,102,0,0.01,164.90900000,167.58800000,128.43600,1660.00
1650879000,0.00,20261001,0,104,1,0.01,163.75800000,165.30800000,128.12600,0.00
1650924000,735.00,20261001,1,104,0,0.01,163.02300000,165.30800000,128.12600,735.00
1651051800,0.00,20261001,0,106,0,0.01,160.99400000,159.59900000,128.40900,0.00
1651096800,-69.00,20261001,1,106,1,0.01,160.92500000,159.59900000,128.40900,-69.00
1652346900,0.00,20261001,0,108,1,0.01,158.00900000,159.27400000,128.25200,0.00
1652392800,2043.00,20261001,1,108,0,0.01,155.96600000,159.27400000,128.25200,2043.00
1652780700,0.00,20261001,0,110,0,0.01,160.13500000,158.78800000,129.35800,0.00
1652824800,1379.00,20261001,1,110,1,0.01,161.51400000,158.78800000,129.35800,1379.00
1652868900,0.00,20261001,0,112,1,0.01,160.42500000,161.78500000,128.21100,0.00
1652911200,2271.00,20261001,1,112,0,0.01,158.15400000,161.78500000,128.21100,2271.00
1653558300,0.00,20261001,0,114,1,0.01,159.72600000,160.82900000,127.10100,0.00
1653602400,-459.00,20261001,1,114,0,0.01,160.18500000,160.82900000,127.10100,-459.00
1654770600,0.00,20261001,0,116,1,0.01,167.18800000,168.72500000,134.31200,0.00
1654812000,-771.00,20261001,1,116,0,0.01,167.95900000,168.72500000,134.31200,-771.00
1654855200,0.00,20261001,0,118,1,0.01,167.05100000,168.01300000,134.37900,0.00
1654898400,1577.00,20261001,1,118,0,0.01,165.47400000,168.01300000,134.37900,1577.00
1655111700,0.00,20261001,0,120,1,0.06,165.01200000,166.12800000,134.40700,0.00
1655139321,13458.00,20261001,1,120,0,0.06,162.76900000,166.12800000,134.40700,13458.00
1655375400,0.00,20261001,0,122,1,0.06,162.30300000,163.79400000,132.15800,0.00
1655411955,-8946.00,20261001,1,122,0,0.06,163.79400000,163.79400000,132.15800,-8946.00
1655892900,0.00,20261001,0,124,1,0.01,166.11900000,167.82500000,136.20500,0.00
1655935200,-1005.00,20261001,1,124,0,0.01,167.12400000,167.82500000,136.20500,-1005.00
1655980200,0.00,20261001,0,126,1,0.01,165.52300000,167.04800000,134.93800,0.00
1656021600,168.00,20261001,1,126,0,0.01,165.35500000,167.04800000,134.93800,168.00
1656325800,0.00,20261001,0,128,0,0.01,166.46500000,165.12200000,135.41400,0.00
1656367200,-220.00,20261001,1,128,1,0.01,166.24500000,165.12200000,135.41400,-220.00
1656927900,0.00,20261001,0,130,0,0.01,164.09200000,162.99600000,135.48100,0.00
1656972000,223.00,20261001,1,130,1,0.01,164.31500000,162.99600000,135.48100,223.00
1657020600,0.00,20261001,0,132,1,0.06,163.61800000,165.27800000,135.74100,0.00
1657058400,9138.00,20261001,1,132,0,0.06,162.09500000,165.27800000,135.74100,9138.00
1657103400,0.00,20261001,0,134,0,0.06,162.55000000,161.21000000,135.91000,0.00
1657117948,-8040.00,20261001,1,134,1,0.06,161.21000000,161.21000000,135.91000,-8040.00
1657276200,0.00,20261001,0,136,1,0.01,162.46100000,163.93200000,136.01900,0.00
1657317600,-1343.00,20261001,1,136,0,0.01,163.80400000,163.93200000,136.01900,-1343.00
1657705500,0.00,20261001,0,138,0,0.01,163.52900000,162.35300000,137.23700,0.00
1657749600,-29.00,20261001,1,138,1,0.01,163.50000000,162.35300000,137.23700,-29.00
1657791900,0.00,20261001,0,140,0,0.01,164.25700000,163.08200000,138.93300,0.00
1657836000,29.00,20261001,1,140,1,0.01,164.28600000,163.08200000,138.93300,29.00
1659435300,0.00,20261001,0,142,1,0.01,159.60400000,161.45700000,133.15200,0.00
1659465917,-1860.00,20261001,1,142,0,0.01,161.46400000,161.45700000,133.15200,-1860.00
1659696300,0.00,20261001,0,144,0,0.01,162.12200000,161.10400000,134.94100,0.00
1659736800,859.00,20261001,1,144,1,0.01,162.98100000,161.10400000,134.94100,859.00
1661164200,0.00,20261001,0,146,1,0.06,161.61900000,162.52500000,137.41700,0.00
1661205600,-54.00,20261001,1,146,0,0.06,161.62800000,162.52500000,137.41700,-54.00
1661247000,0.00,20261001,0,148,1,0.01,161.10800000,162.06000000,136.76000,0.00
1661272499,-956.00,20261001,1,148,0,0.01,162.06400000,162.06000000,136.76000,-956.00
1662376500,0.00,20261001,0,150,0,0.06,161.43700000,160.65800000,140.57400,0.00
1662415200,2514.00,20261001,1,150,1,0.06,161.85600000,160.65800000,140.57400,2514.00
1662544800,0.00,20261001,0,152,0,0.01,165.64900000,164.18300000,143.71800,0.00
1662588000,118.00,20261001,1,152,1,0.01,165.76700000,164.18300000,143.71800,118.00
1662633900,0.00,20261001,0,154,1,0.01,165.18200000,166.31400000,144.09700,0.00
1662674400,-408.00,20261001,1,154,0,0.01,165.59000000,166.31400000,144.09700,-408.00
1663146900,0.00,20261001,0,156,1,0.01,165.22200000,166.49300000,142.91900,0.00
1663192800,52.00,20261001,1,156,0,0.01,165.17000000,166.49300000,142.91900,52.00
1663928100,0.00,20261001,0,158,1,0.01,159.28400000,160.44000000,143.13700,0.00
