time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1625736600,0.00,20261001,0,2,1,0.01,151.93500000,152.74300000,109.58100,0.00
1625781600,676.00,20261001,1,2,0,0.01,151.25900000,152.74300000,109.58100,676.00
1626345000,0.00,20261001,0,4,1,0.01,151.73000000,152.45600000,109.80400,0.00
1626354212,-730.00,20261001,1,4,0,0.01,152.46000000,152.45600000,109.80400,-730.00
1629108000,0.00,20261001,0,6,1,0.01,151.39000000,152.20000000,109.13100,0.00
1629151200,231.00,20261001,1,6,0,0.01,151.15900000,152.20000000,109.13100,231.00
1629455400,0.00,20261001,0,8,1,0.06,149.20200000,149.88500000,109.79200,0.00
1629496800,-2316.00,20261001,1,8,0,0.06,149.58800000,149.88500000,109.79200,-2316.00
1631268000,0.00,20261001,0,10,0,0.01,152.36800000,151.70600000,109.89200,0.00
1631311200,-208.00,20261001,1,10,1,0.01,152.16000000,151.70600000,109.89200,-208.00
1631879100,0.00,20261001,0,12,0,0.01,151.84800000,151.16000000,109.96400,0.00
1631901079,-688.00,20261001,1,12,1,0.01,151.16000000,151.16000000,109.96400,-688.00
1632129300,0.00,20261001,0,14,1,0.01,150.54300000,151.12400000,109.42300,0.00
1632164796,1162.00,20261001,1,14,0,0.01,149.38100000,151.12400000,109.42300,1162.00
1632220200,0.00,20261001,0,16,0,0.01,150.06100000,149.17500000,109.20900,0.00
1632241829,-890.00,20261001,1,16,1,0.01,149.17100000,149.17500000,109.20900,-890.00
1632390300,0.00,20261001,0,18,0,0.01,150.00300000,149.35200000,110.31400,0.00
1632415661,1302.00,20261001,1,18,1,0.01,151.30500000,149.35200000,110.31400,1302.00
1633083300,0.00,20261001,0,20,1,0.01,149.38100000,150.17100000,111.06100,0.00
1633094967,-790.00,20261001,1,20,0,0.01,150.17100000,150.17100000,111.06100,-790.00
1634292900,0.00,20261001,0,22,0,0.01,156.50200000,155.37400000,114.24300,0.00
1634335200,583.00,20261001,1,22,1,0.01,157.08500000,155.37400000,114.24300,583.00
1634809500,0.00,20261001,0,24,1,0.01,157.23700000,158.20300000,113.95800,0.00
1634853600,193.00,20261001,1,24,0,0.01,157.04400000,158.20300000,113.95800,193.00
1638436500,0.00,20261001,0,26,0,0.01,150.54100000,149.50800000,113.00700,0.00
1638482400,-58.00,20261001,1,26,1,0.01,150.48300000,149.50800000,113.00700,-58.00
1641290400,0.00,20261001,0,28,0,0.01,156.12300000,155.10900000,116.12000,0.00
1641333600,1032.00,20261001,1,28,1,0.01,157.15500000,155.10900000,116.12000,1032.00
1641463200,0.00,20261001,0,30,1,0.01,156.40900000,157.47500000,115.81500,0.00
1641506400,-414.00,20261001,1,30,0,0.01,156.82300000,157.47500000,115.81500,-414.00
1641899700,0.00,20261001,0,32,0,0.01,157.11200000,156.03800000,115.28500,0.00
1641938400,74.00,20261001,1,32,1,0.01,157.18600000,156.03800000,115.28500,74.00
1643625900,0.00,20261001,0,34,0,0.01,155.19600000,154.32700000,115.04400,0.00
1643666400,-446.00,20261001,1,34,1,0.01,154.75000000,154.32700000,115.04400,-446.00
1644833700,0.00,20261001,0,36,1,0.01,155.94500000,156.86100000,115.52300,0.00
1644876000,-429.00,20261001,1,36,0,0.01,156.37400000,156.86100000,115.52300,-429.00
1645180200,0.00,20261001,0,38,0,0.01,156.97500000,156.21700000,114.98500,0.00
1645207483,-758.00,20261001,1,38,1,0.01,156.21700000,156.21700000,114.98500,-758.00
1647343800,0.00,20261001,0,40,1,0.06,153.44900000,154.49400000,118.28200,0.00
1647368977,-6270.00,20261001,1,40,0,0.06,154.49400000,154.49400000,118.28200,-6270.00
1647946800,0.00,20261001,0,42,0,0.01,158.29200000,157.18800000,120.76300,0.00
1647986400,1712.00,20261001,1,42,1,0.01,160.00400000,157.18800000,120.76300,1712.00
1648208700,0.00,20261001,0,44,1,0.01,160.05900000,161.49600000,121.96800,0.00
1648245600,-961.00,20261001,1,44,0,0.01,161.02000000,161.49600000,121.96800,-961.00
1648461600,0.00,20261001,0,46,0,0.01,162.26600000,160.71300000,123.75100,0.00
1648504800,-454.00,20261001,1,46,1,0.01,161.81200000,160.71300000,123.75100,-454.00
1649671200,0.00,20261001,0,48,0,0.01,162.94800000,161.49900000,125.33400,0.00
1649714400,550.00,20261001,1,48,1,0.01,163.49800000,161.49900000,125.33400,550.00
1650619800,0.00,20261001,0,50,1,0.01,166.48600000,167.58800000,128.43600,0.00
1650664800,1577.00,20261001,1,50,0,0.01,164.90900000,167.58800000,128.43600,1577.00
1650879000,0.00,20261001,0,52,1,0.01,163.75800000,165.30800000,128.12600,0.00
1650924000,735.00,20261001,1,52,0,0.01,163.02300000,165.30800000,128.12600,735.00
1654770600,0.00,20261001,0,54,1,0.01,167.18800000,168.72500000,134.31200,0.00
1654812000,-771.00,20261001,1,54,0,0.01,167.95900000,168.72500000,134.31200,-771.00
1655375400,0.00,20261001,0,56,1,0.06,162.30300000,163.79400000,132.15800,0.00
1655411955,-8946.00,20261001,1,56,0,0.06,163.79400000,163.79400000,132.15800,-8946.00
1655892900,0.00,20261001,0,58,1,0.01,166.11900000,167.82500000,136.20500,0.00
1655935200,-1005.00,20261001,1,58,0,0.01,167.12400000,167.82500000,136.20500,-1005.00
1655981100,0.00,20261001,0,60,1,0.01,164.90200000,167.04800000,134.93800,0.00
1656021600,-453.00,20261001,1,60,0,0.01,165.35500000,167.04800000,134.93800,-453.00
1657020600,0.00,20261001,0,62,1,0.06,163.61800000,165.27800000,135.74100,0.00
1657058400,9138.00,20261001,1,62,0,0.06,162.09500000,165.27800000,135.74100,9138.00
1657276200,0.00,20261001,0,64,1,0.01,162.46100000,163.93200000,136.01900,0.00
1657317600,-1343.00,20261001,1,64,0,0.01,163.80400000,163.93200000,136.01900,-1343.00
1662633900,0.00,20261001,0,66,1,0.01,165.18200000,166.31400000,144.09700,0.00
1662674400,-408.00,20261001,1,66,0,0.01,165.59000000,166.31400000,144.09700,-408.00
1663146900,0.00,20261001,0,68,1,0.01,165.22200000,166.49300000,142.91900,0.00
1663192800,52.00,20261001,1,68,0,0.01,165.17000000,166.49300000,142.91900,52.00
1668422700,0.00,20261001,0,70,0,0.06,165.14200000,163.69000000,139.87500,0.00
1668463200,-2070.00,20261001,1,70,1,0.06,164.79700000,163.69000000,139.87500,-2070.00
1670231700,0.00,20261001,0,72,0,0.01,166.33600000,164.69200000,136.61300,0.00
1670277600,41.00,20261001,1,72,1,0.01,166.37700000,164.69200000,136.61300,41.00
1670319000,0.00,20261001,0,74,0,0.01,167.48300000,166.33300000,136.89800,0.00
1670326994,-1150.00,20261001,1,74,1,0.01,166.33300000,166.33300000,136.89800,-1150.00
1670409000,0.00,20261001,0,76,0,0.01,167.10300000,165.95500000,136.60300,0.00
1670450400,-636.00,20261001,1,76,1,0.01,166.46700000,165.95500000,136.60300,-636.00
1671449400,0.00,20261001,0,78,0,0.01,166.38200000,164.84000000,136.89200,0.00
1671487200,-59.00,20261001,1,78,1,0.01,166.32300000,164.84000000,136.89200,-59.00
1673523900,0.00,20261001,0,80,1,0.01,159.39800000,160.89900000,129.15100,0.00
1673560800,1355.00,20261001,1,80,0,0.01,158.04300000,160.89900000,129.15100,1355.00
1676284200,0.00,20261001,0,82,0,0.01,159.57000000,158.21800000,132.36900,0.00
1676325600,1136.00,20261001,1,82,1,0.01,160.70600000,158.21800000,132.36900,1136.00
1678446900,0.00,20261001,0,84,0,0.01,163.34700000,161.94500000,135.05600,0.00
1678485600,-1182.00,20261001,1,84,1,0.01,162.16500000,161.94500000,135.05600,-1182.00
1678794300,0.00,20261001,0,86,0,0.01,163.01000000,161.85700000,134.20600,0.00
1678831200,343.00,20261001,1,86,1,0.01,163.35300000,161.85700000,134.20600,343.00
1679304600,0.00,20261001,0,88,1,0.01,160.12500000,161.73200000,131.31300,0.00
1679349600,-1137.00,20261001,1,88,0,0.01,161.26200000,161.73200000,131.31300,-1137.00
1682069400,0.00,20261001,0,90,1,0.01,166.13100000,167.06200000,134.11900,0.00
1682114400,-702.00,20261001,1,90,0,0.01,166.83300000,167.06200000,134.11900,-702.00
1686303900,0.00,20261001,0,92,0,0.01,175.19800000,174.18000000,139.36200,0.00
1686348000,112.00,20261001,1,92,1,0.01,175.31000000,174.18000000,139.36200,112.00
1686907800,0.00,20261001,0,94,0,0.01,180.20800000,178.82000000,141.87200,0.00
1686952800,1758.00,20261001,1,94,1,0.01,181.96600000,178.82000000,141.87200,1758.00
1689073200,0.00,20261001,0,96,1,0.01,180.91100000,181.99400000,140.35000,0.00
1689112800,-680.00,20261001,1,96,0,0.01,181.59100000,181.99400000,140.35000,-680.00
1689156000,0.00,20261001,0,98,1,0.01,180.50000000,181.52900000,138.48300,0.00
1689199200,766.00,20261001,1,98,0,0.01,179.73400000,181.52900000,138.48300,766.00
1689246900,0.00,20261001,0,100,0,0.01,180.50100000,179.48800000,138.03200,0.00
1689285600,729.00,20261001,1,100,1,0.01,181.23000000,179.48800000,138.03200,729.00
1690797600,0.00,20261001,0,102,0,0.01,182.63400000,180.87100000,142.25800,0.00
1690840800,4.00,20261001,1,102,1,0.01,182.63800000,180.87100000,142.25800,4.00
1692350100,0.00,20261001,0,104,1,0.01,184.99400000,185.90500000,145.36100,0.00
1692396000,-170.00,20261001,1,104,0,0.01,185.16400000,185.90500000,145.36100,-170.00
1694172600,0.00,20261001,0,106,0,0.01,184.21600000,183.05900000,147.78500,0.00
1694210400,-155.00,20261001,1,106,1,0.01,184.06100000,183.05900000,147.78500,-155.00
1694423700,0.00,20261001,0,108,1,0.01,182.73900000,183.78700000,146.56300,0.00
1694436758,-1048.00,20261001,1,108,0,0.01,183.78700000,183.78700000,146.56300,-1048.00
1694597400,0.00,20261001,0,110,1,0.06,183.36900000,184.23600000,147.45000,0.00
1694622315,-5208.00,20261001,1,110,0,0.06,184.23700000,184.23600000,147.45000,-5208.00
