time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624361400,0.00,20261001,0,2,1,0.06,153.17800000,153.77200000,110.60500,0.00
1624378052,-3564.00,20261001,1,2,0,0.06,153.77200000,153.77200000,110.60500,-3564.00
1624617900,0.00,20261001,0,4,1,0.06,154.11400000,154.53300000,110.76800,0.00
1624658400,1878.00,20261001,1,4,0,0.06,153.80100000,154.53300000,110.76800,1878.00
1624876200,0.00,20261001,0,6,0,0.01,154.08700000,153.59000000,110.60900,0.00
1624903123,-500.00,20261001,1,6,1,0.01,153.58700000,153.59000000,110.60900,-500.00
1625651100,0.00,20261001,0,8,0,0.01,152.83000000,152.32900000,110.60100,0.00
1625679298,-501.00,20261001,1,8,1,0.01,152.32900000,152.32900000,110.60100,-501.00
1626174000,0.00,20261001,0,10,1,0.06,153.01100000,153.48400000,110.62200,0.00
1626213600,954.00,20261001,1,10,0,0.06,152.85200000,153.48400000,110.62200,954.00
1626347700,0.00,20261001,0,12,1,0.01,151.76700000,152.45600000,109.80400,0.00
1626354212,-693.00,20261001,1,12,0,0.01,152.46000000,152.45600000,109.80400,-693.00
1626860700,0.00,20261001,0,14,1,0.01,149.47000000,149.96600000,110.28500,0.00
1626866608,-508.00,20261001,1,14,0,0.01,149.97800000,149.96600000,110.28500,-508.00
1628072100,0.00,20261001,0,16,0,0.01,151.99000000,151.53100000,109.46900,0.00
1628090322,-459.00,20261001,1,16,1,0.01,151.53100000,151.53100000,109.46900,-459.00
1628162100,0.00,20261001,0,18,0,0.01,152.49100000,151.98800000,109.76300,0.00
1628200800,413.00,20261001,1,18,1,0.01,152.90400000,151.98800000,109.76300,413.00
1629109800,0.00,20261001,0,20,1,0.01,151.48100000,152.20000000,109.13100,0.00
1629151200,322.00,20261001,1,20,0,0.01,151.15900000,152.20000000,109.13100,322.00
1629198900,0.00,20261001,0,22,1,0.06,150.95100000,151.33600000,109.54600,0.00
1629237600,2712.00,20261001,1,22,0,0.06,150.49900000,151.33600000,109.54600,2712.00
1629456300,0.00,20261001,0,24,1,0.06,149.27200000,149.88500000,109.79200,0.00
1629496800,-1896.00,20261001,1,24,0,0.06,149.58800000,149.88500000,109.79200,-1896.00
1630062900,0.00,20261001,0,26,0,0.06,150.90400000,150.45900000,109.84100,0.00
1630101600,1812.00,20261001,1,26,1,0.06,151.20600000,150.45900000,109.84100,1812.00
1631615400,0.00,20261001,0,28,0,0.01,152.49500000,152.05000000,109.67900,0.00
1631640882,-454.00,20261001,1,28,1,0.01,152.04100000,152.05000000,109.67900,-454.00
1632911400,0.00,20261001,0,30,1,0.06,150.68400000,151.19500000,111.94900,0.00
1632952800,1374.00,20261001,1,30,0,0.06,150.45500000,151.19500000,111.94900,1374.00
1633433400,0.00,20261001,0,32,0,0.01,151.31500000,150.74500000,111.45100,0.00
1633471200,634.00,20261001,1,32,1,0.01,151.94900000,150.74500000,111.45100,634.00
1634121000,0.00,20261001,0,34,0,0.01,154.65800000,154.10700000,113.23900,0.00
1634162400,-18.00,20261001,1,34,1,0.01,154.64000000,154.10700000,113.23900,-18.00
1634810400,0.00,20261001,0,36,1,0.01,157.35300000,158.20300000,113.95800,0.00
1634853600,309.00,20261001,1,36,0,0.01,157.04400000,158.20300000,113.95800,309.00
1635242400,0.00,20261001,0,38,0,0.01,156.96700000,156.42700000,114.14000,0.00
1635285600,185.00,20261001,1,38,1,0.01,157.15200000,156.42700000,114.14000,185.00
1637143200,0.00,20261001,0,40,0,0.01,154.49600000,153.91800000,113.97700,0.00
1637178208,-578.00,20261001,1,40,1,0.01,153.91800000,153.91800000,113.97700,-578.00
1637235900,0.00,20261001,0,42,0,0.01,154.15500000,153.65000000,114.23900,0.00
1637272800,60.00,20261001,1,42,1,0.01,154.21500000,153.65000000,114.23900,60.00
1638527400,0.00,20261001,0,44,0,0.01,150.70500000,150.16000000,112.82500,0.00
1638536682,-545.00,20261001,1,44,1,0.01,150.16000000,150.16000000,112.82500,-545.00
1639993500,0.00,20261001,0,46,1,0.01,149.89300000,150.56200000,113.52100,0.00
1640037600,-232.00,20261001,1,46,0,0.01,150.12500000,150.56200000,113.52100,-232.00
1640083500,0.00,20261001,0,48,0,0.01,150.51100000,149.88800000,114.05400,0.00
1640124000,840.00,20261001,1,48,1,0.01,151.35100000,149.88800000,114.05400,840.00
1640602800,0.00,20261001,0,50,0,0.01,153.60100000,152.94500000,114.80700,0.00
1640642400,846.00,20261001,1,50,1,0.01,154.44700000,152.94500000,114.80700,846.00
1641898800,0.00,20261001,0,52,0,0.01,156.95800000,156.03800000,115.28500,0.00
1641938400,228.00,20261001,1,52,1,0.01,157.18600000,156.03800000,115.28500,228.00
1643194800,0.00,20261001,0,54,0,0.01,154.05700000,153.50200000,114.55300,0.00
1643234400,174.00,20261001,1,54,1,0.01,154.23100000,153.50200000,114.55300,174.00
1643626800,0.00,20261001,0,56,0,0.01,155.10700000,154.32700000,115.04400,0.00
1643666400,-357.00,20261001,1,56,1,0.01,154.75000000,154.32700000,115.04400,-357.00
1643886000,0.00,20261001,0,58,0,0.06,155.47900000,155.04400000,114.94700,0.00
1643897260,5220.00,20261001,1,58,1,0.06,156.34900000,155.04400000,114.94700,5220.00
1644490800,0.00,20261001,0,60,0,0.01,156.61100000,156.08000000,115.93800,0.00
1644514292,1074.00,20261001,1,60,1,0.01,157.68500000,156.08000000,115.93800,1074.00
1645007400,0.00,20261001,0,62,0,0.01,156.90500000,156.31600000,115.47400,0.00
1645048800,33.00,20261001,1,62,1,0.01,156.93800000,156.31600000,115.47400,33.00
1645180200,0.00,20261001,0,64,0,0.01,156.97500000,156.21700000,114.98500,0.00
1645207483,-758.00,20261001,1,64,1,0.01,156.21700000,156.21700000,114.98500,-758.00
1645787700,0.00,20261001,0,66,1,0.06,154.33800000,154.79700000,115.52000,0.00
1645800631,-2754.00,20261001,1,66,0,0.06,154.79700000,154.79700000,115.52000,-2754.00
1646909100,0.00,20261001,0,68,1,0.06,152.46200000,152.99500000,116.12500,0.00
1646949600,2346.00,20261001,1,68,0,0.06,152.07100000,152.99500000,116.12500,2346.00
1647946800,0.00,20261001,0,70,0,0.01,158.29200000,157.18800000,120.76300,0.00
1647986400,1712.00,20261001,1,70,1,0.01,160.00400000,157.18800000,120.76300,1712.00
1648120500,0.00,20261001,0,72,0,0.01,160.17100000,159.58100000,122.31000,0.00
1648159200,967.00,20261001,1,72,1,0.01,161.13800000,159.58100000,122.31000,967.00
1649158200,0.00,20261001,0,74,0,0.06,161.26900000,160.50200000,123.59200,0.00
1649196000,2466.00,20261001,1,74,1,0.06,161.68000000,160.50200000,123.59200,2466.00
1649329200,0.00,20261001,0,76,0,0.01,162.01200000,161.39900000,123.88200,0.00
1649368800,46.00,20261001,1,76,1,0.01,162.05800000,161.39900000,123.88200,46.00
1649673900,0.00,20261001,0,78,0,0.01,162.93300000,161.49900000,125.33400,0.00
1649714400,565.00,20261001,1,78,1,0.01,163.49800000,161.49900000,125.33400,565.00
1650279600,0.00,20261001,0,80,1,0.06,164.74300000,165.41500000,126.97400,0.00
1650319200,-2694.00,20261001,1,80,0,0.06,165.19200000,165.41500000,126.97400,-2694.00
1650619800,0.00,20261001,0,82,1,0.01,166.48600000,167.58800000,128.43600,0.00
1650664800,1577.00,20261001,1,82,0,0.01,164.90900000,167.58800000,128.43600,1577.00
1651577400,0.00,20261001,0,84,0,0.01,163.15700000,162.39400000,130.12900,0.00
1651614087,-763.00,20261001,1,84,1,0.01,162.39400000,162.39400000,130.12900,-763.00
1651832100,0.00,20261001,0,86,1,0.06,160.63000000,161.60200000,130.51800,0.00
1651874400,-2412.00,20261001,1,86,0,0.06,161.03200000,161.60200000,130.51800,-2412.00
1652348700,0.00,20261001,0,88,1,0.01,158.05400000,159.27400000,128.25200,0.00
1652373523,2459.00,20261001,1,88,0,0.01,155.59500000,159.27400000,128.25200,2459.00
1653561000,0.00,20261001,0,90,1,0.01,159.75100000,160.82900000,127.10100,0.00
1653602400,-434.00,20261001,1,90,0,0.01,160.18500000,160.82900000,127.10100,-434.00
1653995700,0.00,20261001,0,92,1,0.01,161.16900000,161.96200000,128.55500,0.00
1654015662,-796.00,20261001,1,92,0,0.01,161.96500000,161.96200000,128.55500,-796.00
1654683300,0.00,20261001,0,94,0,0.01,167.53900000,166.80100000,134.22100,0.00
1654725600,693.00,20261001,1,94,1,0.01,168.23200000,166.80100000,134.22100,693.00
1654775100,0.00,20261001,0,96,1,0.01,167.36800000,168.72500000,134.31200,0.00
1654812000,-591.00,20261001,1,96,0,0.01,167.95900000,168.72500000,134.31200,-591.00
1654856100,0.00,20261001,0,98,1,0.01,167.18100000,168.01300000,134.37900,0.00
1654881332,1668.00,20261001,1,98,0,0.01,165.51300000,168.01300000,134.37900,1668.00
1655114400,0.00,20261001,0,100,1,0.06,165.10300000,166.12800000,134.40700,0.00
1655137771,12300.00,20261001,1,100,0,0.06,163.05300000,166.12800000,134.40700,12300.00
1656326700,0.00,20261001,0,102,0,0.01,166.28600000,165.12200000,135.41400,0.00
1656367200,-41.00,20261001,1,102,1,0.01,166.24500000,165.12200000,135.41400,-41.00
1656931500,0.00,20261001,0,104,0,0.01,164.10900000,162.99600000,135.48100,0.00
1656972000,206.00,20261001,1,104,1,0.01,164.31500000,162.99600000,135.48100,206.00
1657623600,0.00,20261001,0,106,1,0.01,162.60300000,163.55200000,136.86300,0.00
1657663200,-129.00,20261001,1,106,0,0.01,162.73200000,163.55200000,136.86300,-129.00
1657791900,0.00,20261001,0,108,0,0.01,164.25700000,163.08200000,138.93300,0.00
1657836000,29.00,20261001,1,108,1,0.01,164.28600000,163.08200000,138.93300,29.00
1658488500,0.00,20261001,0,110,1,0.06,164.20400000,164.99300000,136.04800,0.00
1658527200,6468.00,20261001,1,110,0,0.06,163.12600000,164.99300000,136.04800,6468.00
1659436200,0.00,20261001,0,112,1,0.01,159.73500000,161.45700000,133.15200,0.00
1659465917,-1729.00,20261001,1,112,0,0.01,161.46400000,161.45700000,133.15200,-1729.00
1661165100,0.00,20261001,0,114,1,0.06,161.50700000,162.52500000,137.41700,0.00
1661205600,-726.00,20261001,1,114,0,0.06,161.62800000,162.52500000,137.41700,-726.00
1661250600,0.00,20261001,0,116,1,0.01,161.05600000,162.06000000,136.76000,0.00
1661272499,-1008.00,20261001,1,116,0,0.01,162.06400000,162.06000000,136.76000,-1008.00
1662545700,0.00,20261001,0,118,0,0.01,165.54900000,164.18300000,143.71800,0.00
1662588000,218.00,20261001,1,118,1,0.01,165.76700000,164.18300000,143.71800,218.00
1663155900,0.00,20261001,0,120,1,0.01,165.30100000,166.49300000,142.91900,0.00
1663192800,131.00,20261001,1,120,0,0.01,165.17000000,166.49300000,142.91900,131.00
1663240500,0.00,20261001,0,122,0,0.01,165.51200000,164.72700000,143.46000,0.00
1663255816,-797.00,20261001,1,122,1,0.01,164.71500000,164.72700000,143.46000,-797.00
1663668000,0.00,20261001,0,124,0,0.01,164.00000000,163.37600000,143.71400,0.00
1663702865,-628.00,20261001,1,124,1,0.01,163.37200000,163.37600000,143.71400,-628.00
1664881200,0.00,20261001,0,126,0,0.01,164.79800000,163.20100000,144.04400,0.00
1664920800,426.00,20261001,1,126,1,0.01,165.22400000,163.20100000,144.04400,426.00
1668425400,0.00,20261001,0,128,0,0.06,165.15900000,163.69000000,139.87500,0.00
1668463200,-2172.00,20261001,1,128,1,0.06,164.79700000,163.69000000,139.87500,-2172.00
1669376700,0.00,20261001,0,130,0,0.01,168.50600000,167.35200000,139.12600,0.00
1669413600,-472.00,20261001,1,130,1,0.01,168.03400000,167.35200000,139.12600,-472.00
1669974300,0.00,20261001,0,132,1,0.01,165.05600000,165.91600000,134.30300,0.00
1670006190,-860.00,20261001,1,132,0,0.01,165.91600000,165.91600000,134.30300,-860.00
1671450300,0.00,20261001,0,134,0,0.01,166.17100000,164.84000000,136.89200,0.00
1671487200,152.00,20261001,1,134,1,0.01,166.32300000,164.84000000,136.89200,152.00
1671623100,0.00,20261001,0,136,1,0.06,159.80100000,161.03300000,132.46000,0.00
1671660000,726.00,20261001,1,136,0,0.06,159.68000000,161.03300000,132.46000,726.00
1672741800,0.00,20261001,0,138,1,0.01,156.33700000,158.38000000,131.00400,0.00
1672783200,-395.00,20261001,1,138,0,0.01,156.73200000,158.38000000,131.00400,-395.00
1673258400,0.00,20261001,0,140,0,0.01,160.53100000,159.22700000,131.87400,0.00
1673301600,29.00,20261001,1,140,1,0.01,160.56000000,159.22700000,131.87400,29.00
1674729900,0.00,20261001,0,142,0,0.06,160.84400000,160.00200000,130.21000,0.00
1674770400,4398.00,20261001,1,142,1,0.06,161.57700000,160.00200000,130.21000,4398.00
1675852200,0.00,20261001,0,144,0,0.01,158.26900000,157.60900000,131.32700,0.00
1675893600,295.00,20261001,1,144,1,0.01,158.56400000,157.60900000,131.32700,295.00
1676028600,0.00,20261001,0,146,1,0.01,158.89100000,159.63100000,131.36700,0.00
1676066400,429.00,20261001,1,146,0,0.01,158.46200000,159.63100000,131.36700,429.00
1676457900,0.00,20261001,0,148,1,0.01,161.22300000,162.04300000,134.13400,0.00
1676498400,-76.00,20261001,1,148,0,0.01,161.29900000,162.04300000,134.13400,-76.00
1678188600,0.00,20261001,0,150,1,0.06,163.22700000,163.85700000,137.14800,0.00
1678226400,6198.00,20261001,1,150,0,0.06,162.19400000,163.85700000,137.14800,6198.00
1678873500,0.00,20261001,0,152,0,0.01,163.82600000,162.96900000,133.36000,0.00
1678883556,-857.00,20261001,1,152,1,0.01,162.96900000,162.96900000,133.36000,-857.00
1679657400,0.00,20261001,0,154,1,0.01,159.56400000,160.83600000,130.71200,0.00
1679695200,-281.00,20261001,1,154,0,0.01,159.84500000,160.83600000,130.71200,-281.00
1679909400,0.00,20261001,0,156,0,0.01,160.51400000,159.42500000,131.54100,0.00
1679954400,1176.00,20261001,1,156,1,0.01,161.69000000,159.42500000,131.54100,1176.00
1680085800,0.00,20261001,0,158,0,0.01,162.65400000,161.33700000,132.84500,0.00
