time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624361400,0.00,20261001,0,2,1,0.06,153.17800000,153.77200000,110.60500,0.00
1624378052,-3564.00,20261001,1,2,0,0.06,153.77200000,153.77200000,110.60500,-3564.00
1624440600,0.00,20261001,0,4,0,0.01,154.62800000,154.09900000,110.94200,0.00
1624485600,319.00,20261001,1,4,1,0.01,154.94700000,154.09900000,110.94200,319.00
1624617900,0.00,20261001,0,6,1,0.06,154.11400000,154.53300000,110.76800,0.00
1624658400,1878.00,20261001,1,6,0,0.06,153.80100000,154.53300000,110.76800,1878.00
1624875300,0.00,20261001,0,8,0,0.01,154.20100000,153.59000000,110.60900,0.00
1624903123,-614.00,20261001,1,8,1,0.01,153.58700000,153.59000000,110.60900,-614.00
1625651100,0.00,20261001,0,10,0,0.01,152.83000000,152.32900000,110.60100,0.00
1625679298,-501.00,20261001,1,10,1,0.01,152.32900000,152.32900000,110.60100,-501.00
1625737500,0.00,20261001,0,12,1,0.01,151.79700000,152.74300000,109.58100,0.00
1625781600,538.00,20261001,1,12,0,0.01,151.25900000,152.74300000,109.58100,538.00
1626087600,0.00,20261001,0,14,1,0.06,152.69900000,153.25300000,110.34800,0.00
1626109625,-3324.00,20261001,1,14,0,0.06,153.25300000,153.25300000,110.34800,-3324.00
1626174000,0.00,20261001,0,16,1,0.06,153.01100000,153.48400000,110.62200,0.00
1626213600,954.00,20261001,1,16,0,0.06,152.85200000,153.48400000,110.62200,954.00
1626346800,0.00,20261001,0,18,1,0.01,151.67200000,152.45600000,109.80400,0.00
1626354212,-788.00,20261001,1,18,0,0.01,152.46000000,152.45600000,109.80400,-788.00
1626435000,0.00,20261001,0,20,0,0.01,152.50300000,151.75700000,110.07200,0.00
1626456271,-753.00,20261001,1,20,1,0.01,151.75000000,151.75700000,110.07200,-753.00
1626690600,0.00,20261001,0,22,1,0.01,150.83900000,151.52700000,109.37600,0.00
1626715001,1376.00,20261001,1,22,0,0.01,149.46300000,151.52700000,109.37600,1376.00
1626860700,0.00,20261001,0,24,1,0.01,149.47000000,149.96600000,110.28500,0.00
1626866608,-508.00,20261001,1,24,0,0.01,149.97800000,149.96600000,110.28500,-508.00
1626948900,0.00,20261001,0,26,0,0.06,151.50100000,150.73500000,110.09300,0.00
1626991200,1266.00,20261001,1,26,1,0.06,151.71200000,150.73500000,110.09300,1266.00
1627553700,0.00,20261001,0,28,0,0.01,153.20500000,152.51300000,109.46400,0.00
1627596000,-285.00,20261001,1,28,1,0.01,152.92000000,152.51300000,109.46400,-285.00
1628072100,0.00,20261001,0,30,0,0.01,151.99000000,151.53100000,109.46900,0.00
1628090322,-459.00,20261001,1,30,1,0.01,151.53100000,151.53100000,109.46900,-459.00
1628158500,0.00,20261001,0,32,0,0.01,152.52400000,151.98800000,109.76300,0.00
1628200800,380.00,20261001,1,32,1,0.01,152.90400000,151.98800000,109.76300,380.00
1628854200,0.00,20261001,0,34,1,0.06,152.12500000,152.58100000,109.58700,0.00
1628892000,816.00,20261001,1,34,0,0.06,151.98900000,152.58100000,109.58700,816.00
1629109800,0.00,20261001,0,36,1,0.01,151.48100000,152.20000000,109.13100,0.00
1629151200,322.00,20261001,1,36,0,0.01,151.15900000,152.20000000,109.13100,322.00
1629194400,0.00,20261001,0,38,1,0.06,150.81500000,151.33600000,109.54600,0.00
1629237600,1896.00,20261001,1,38,0,0.06,150.49900000,151.33600000,109.54600,1896.00
1629368100,0.00,20261001,0,40,1,0.06,150.55600000,151.21300000,109.66800,0.00
1629410400,4902.00,20261001,1,40,0,0.06,149.73900000,151.21300000,109.66800,4902.00
1629456300,0.00,20261001,0,42,1,0.06,149.27200000,149.88500000,109.79200,0.00
1629496800,-1896.00,20261001,1,42,0,0.06,149.58800000,149.88500000,109.79200,-1896.00
1630061100,0.00,20261001,0,44,0,0.06,151.02200000,150.45900000,109.84100,0.00
1630101600,1104.00,20261001,1,44,1,0.06,151.20600000,150.45900000,109.84100,1104.00
1631269800,0.00,20261001,0,46,0,0.01,152.49500000,151.70600000,109.89200,0.00
1631311200,-335.00,20261001,1,46,1,0.01,152.16000000,151.70600000,109.89200,-335.00
1631615400,0.00,20261001,0,48,0,0.01,152.49500000,152.05000000,109.67900,0.00
1631640882,-454.00,20261001,1,48,1,0.01,152.04100000,152.05000000,109.67900,-454.00
1632131100,0.00,20261001,0,50,1,0.01,150.40700000,151.12400000,109.42300,0.00
1632175200,1162.00,20261001,1,50,0,0.01,149.24500000,151.12400000,109.42300,1162.00
1632220200,0.00,20261001,0,52,0,0.01,150.06100000,149.17500000,109.20900,0.00
1632241829,-890.00,20261001,1,52,1,0.01,149.17100000,149.17500000,109.20900,-890.00
1632392100,0.00,20261001,0,54,0,0.01,150.10800000,149.35200000,110.31400,0.00
1632434400,1277.00,20261001,1,54,1,0.01,151.38500000,149.35200000,110.31400,1277.00
1632742200,0.00,20261001,0,56,0,0.01,151.82500000,151.12300000,110.99400,0.00
1632780000,353.00,20261001,1,56,1,0.01,152.17800000,151.12300000,110.99400,353.00
1632911400,0.00,20261001,0,58,1,0.06,150.68400000,151.19500000,111.94900,0.00
1632952800,1374.00,20261001,1,58,0,0.06,150.45500000,151.19500000,111.94900,1374.00
1633428900,0.00,20261001,0,60,0,0.01,151.33600000,150.74500000,111.45100,0.00
1633471200,613.00,20261001,1,60,1,0.01,151.94900000,150.74500000,111.45100,613.00
1634121000,0.00,20261001,0,62,0,0.01,154.65800000,154.10700000,113.23900,0.00
1634162400,-18.00,20261001,1,62,1,0.01,154.64000000,154.10700000,113.23900,-18.00
1634211900,0.00,20261001,0,64,0,0.01,155.54700000,154.60400000,113.66700,0.00
1634248800,9.00,20261001,1,64,1,0.01,155.55600000,154.60400000,113.66700,9.00
1634292900,0.00,20261001,0,66,0,0.01,156.50200000,155.37400000,114.24300,0.00
1634335200,583.00,20261001,1,66,1,0.01,157.08500000,155.37400000,114.24300,583.00
1634810400,0.00,20261001,0,68,1,0.01,157.35300000,158.20300000,113.95800,0.00
1634853600,309.00,20261001,1,68,0,0.01,157.04400000,158.20300000,113.95800,309.00
1635242400,0.00,20261001,0,70,0,0.01,156.96700000,156.42700000,114.14000,0.00
1635285600,185.00,20261001,1,70,1,0.01,157.15200000,156.42700000,114.14000,185.00
1635333300,0.00,20261001,0,72,1,0.01,156.42400000,157.26800000,113.79800,0.00
1635372000,32.00,20261001,1,72,0,0.01,156.39200000,157.26800000,113.79800,32.00
1636025400,0.00,20261001,0,74,1,0.01,155.64000000,156.24800000,113.73900,0.00
1636038103,1226.00,20261001,1,74,0,0.01,154.41400000,156.24800000,113.73900,1226.00
1637055000,0.00,20261001,0,76,0,0.01,153.64000000,152.95500000,114.80900,0.00
1637100000,379.00,20261001,1,76,1,0.01,154.01900000,152.95500000,114.80900,379.00
1637141400,0.00,20261001,0,78,0,0.01,154.61000000,153.91800000,113.97700,0.00
1637178208,-692.00,20261001,1,78,1,0.01,153.91800000,153.91800000,113.97700,-692.00
1637235900,0.00,20261001,0,80,0,0.01,154.15500000,153.65000000,114.23900,0.00
1637272800,60.00,20261001,1,80,1,0.01,154.21500000,153.65000000,114.23900,60.00
1637662500,0.00,20261001,0,82,1,0.06,153.54800000,154.21500000,115.11500,0.00
1637704800,-2616.00,20261001,1,82,0,0.06,153.98400000,154.21500000,115.11500,-2616.00
1638442800,0.00,20261001,0,84,0,0.01,150.65500000,149.50800000,113.00700,0.00
1638482400,-172.00,20261001,1,84,1,0.01,150.48300000,149.50800000,113.00700,-172.00
1638527400,0.00,20261001,0,86,0,0.01,150.70500000,150.16000000,112.82500,0.00
1638536682,-545.00,20261001,1,86,1,0.01,150.16000000,150.16000000,112.82500,-545.00
1638785700,0.00,20261001,0,88,0,0.01,149.83900000,149.04900000,113.43400,0.00
1638828000,618.00,20261001,1,88,1,0.01,150.45700000,149.04900000,113.43400,618.00
1639650600,0.00,20261001,0,90,0,0.01,151.71100000,150.97700000,113.60200,0.00
1639692000,-518.00,20261001,1,90,1,0.01,151.19300000,150.97700000,113.60200,-518.00
1639992600,0.00,20261001,0,92,1,0.01,149.72900000,150.56200000,113.52100,0.00
1640037600,-396.00,20261001,1,92,0,0.01,150.12500000,150.56200000,113.52100,-396.00
1640083500,0.00,20261001,0,94,0,0.01,150.51100000,149.88800000,114.05400,0.00
1640124000,840.00,20261001,1,94,1,0.01,151.35100000,149.88800000,114.05400,840.00
1640255400,0.00,20261001,0,96,0,0.01,152.99500000,152.18400000,114.37400,0.00
1640296800,573.00,20261001,1,96,1,0.01,153.56800000,152.18400000,114.37400,573.00
1640600100,0.00,20261001,0,98,0,0.01,153.66600000,152.94500000,114.80700,0.00
1640642400,781.00,20261001,1,98,1,0.01,154.44700000,152.94500000,114.80700,781.00
1641291300,0.00,20261001,0,100,0,0.01,156.23100000,155.10900000,116.12000,0.00
1641333600,924.00,20261001,1,100,1,0.01,157.15500000,155.10900000,116.12000,924.00
1641465900,0.00,20261001,0,102,1,0.01,156.30600000,157.47500000,115.81500,0.00
1641506400,-517.00,20261001,1,102,0,0.01,156.82300000,157.47500000,115.81500,-517.00
1641898800,0.00,20261001,0,104,0,0.01,156.95800000,156.03800000,115.28500,0.00
1641938400,228.00,20261001,1,104,1,0.01,157.18600000,156.03800000,115.28500,228.00
1643022000,0.00,20261001,0,106,1,0.06,153.75400000,154.48700000,113.86500,0.00
1643061600,2052.00,20261001,1,106,0,0.06,153.41200000,154.48700000,113.86500,2052.00
1643193900,0.00,20261001,0,108,0,0.01,154.17100000,153.50200000,114.55300,0.00
1643234400,60.00,20261001,1,108,1,0.01,154.23100000,153.50200000,114.55300,60.00
1643625900,0.00,20261001,0,110,0,0.01,155.19600000,154.32700000,115.04400,0.00
1643666400,-446.00,20261001,1,110,1,0.01,154.75000000,154.32700000,115.04400,-446.00
1643710500,0.00,20261001,0,112,0,0.06,155.01000000,154.48600000,114.66300,0.00
1643752800,174.00,20261001,1,112,1,0.06,155.03900000,154.48600000,114.66300,174.00
1643886000,0.00,20261001,0,114,0,0.06,155.47900000,155.04400000,114.94700,0.00
1643897260,5220.00,20261001,1,114,1,0.06,156.34900000,155.04400000,114.94700,5220.00
1644488100,0.00,20261001,0,116,0,0.01,156.68000000,156.08000000,115.93800,0.00
1644515802,1203.00,20261001,1,116,1,0.01,157.88300000,156.08000000,115.93800,1203.00
1644921000,0.00,20261001,0,118,0,0.06,156.66800000,155.96400000,115.59300,0.00
1644962400,-984.00,20261001,1,118,1,0.06,156.50400000,155.96400000,115.59300,-984.00
1645007400,0.00,20261001,0,120,0,0.01,156.90500000,156.31600000,115.47400,0.00
1645048800,33.00,20261001,1,120,1,0.01,156.93800000,156.31600000,115.47400,33.00
1645180200,0.00,20261001,0,122,0,0.01,156.97500000,156.21700000,114.98500,0.00
1645207483,-758.00,20261001,1,122,1,0.01,156.21700000,156.21700000,114.98500,-758.00
1645785900,0.00,20261001,0,124,1,0.06,154.19600000,154.79700000,115.52000,0.00
1645800631,-3606.00,20261001,1,124,0,0.06,154.79700000,154.79700000,115.52000,-3606.00
1646825400,0.00,20261001,0,126,0,0.01,152.26500000,151.39400000,115.77800,0.00
1646863200,434.00,20261001,1,126,1,0.01,152.69900000,151.39400000,115.77800,434.00
1646909100,0.00,20261001,0,128,1,0.06,152.46200000,152.99500000,116.12500,0.00
1646949600,2346.00,20261001,1,128,0,0.06,152.07100000,152.99500000,116.12500,2346.00
1647256500,0.00,20261001,0,130,0,0.01,153.65300000,152.83200000,118.17300,0.00
1647295200,68.00,20261001,1,130,1,0.01,153.72100000,152.83200000,118.17300,68.00
1647946800,0.00,20261001,0,132,0,0.01,158.29200000,157.18800000,120.76300,0.00
1647986400,1712.00,20261001,1,132,1,0.01,160.00400000,157.18800000,120.76300,1712.00
1648116900,0.00,20261001,0,134,0,0.01,160.53800000,159.58100000,122.31000,0.00
1648159200,600.00,20261001,1,134,1,0.01,161.13800000,159.58100000,122.31000,600.00
1648462500,0.00,20261001,0,136,0,0.01,162.62300000,160.71300000,123.75100,0.00
1648504800,-811.00,20261001,1,136,1,0.01,161.81200000,160.71300000,123.75100,-811.00
1648721700,0.00,20261001,0,138,1,0.06,159.57200000,160.87800000,121.57800,0.00
1648764000,-948.00,20261001,1,138,0,0.06,159.73000000,160.87800000,121.57800,-948.00
1649158200,0.00,20261001,0,140,0,0.06,161.26900000,160.50200000,123.59200,0.00
1649196000,2466.00,20261001,1,140,1,0.06,161.68000000,160.50200000,123.59200,2466.00
1649326500,0.00,20261001,0,142,0,0.01,162.24800000,161.39900000,123.88200,0.00
1649368800,-190.00,20261001,1,142,1,0.01,162.05800000,161.39900000,123.88200,-190.00
1649673000,0.00,20261001,0,144,0,0.01,163.09200000,161.49900000,125.33400,0.00
1649714400,406.00,20261001,1,144,1,0.01,163.49800000,161.49900000,125.33400,406.00
1649842200,0.00,20261001,0,146,0,0.01,163.90200000,162.89400000,125.48100,0.00
1649887200,755.00,20261001,1,146,1,0.01,164.65700000,162.89400000,125.48100,755.00
1650279600,0.00,20261001,0,148,1,0.06,164.74300000,165.41500000,126.97400,0.00
1650319200,-2694.00,20261001,1,148,0,0.06,165.19200000,165.41500000,126.97400,-2694.00
1650619800,0.00,20261001,0,150,1,0.01,166.48600000,167.58800000,128.43600,0.00
1650664800,1577.00,20261001,1,150,0,0.01,164.90900000,167.58800000,128.43600,1577.00
1651576500,0.00,20261001,0,152,0,0.01,163.36000000,162.39400000,130.12900,0.00
1651614087,-966.00,20261001,1,152,1,0.01,162.39400000,162.39400000,130.12900,-966.00
1651832100,0.00,20261001,0,154,1,0.06,160.63000000,161.60200000,130.51800,0.00
1651874400,-2412.00,20261001,1,154,0,0.06,161.03200000,161.60200000,130.51800,-2412.00
1652347800,0.00,20261001,0,156,1,0.01,157.79300000,159.27400000,128.25200,0.00
1652392800,1827.00,20261001,1,156,0,0.01,155.96600000,159.27400000,128.25200,1827.00
1652782500,0.00,20261001,0,158,0,0.01,160.44300000,158.78800000,129.35800,0.00
