time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1626435000,0.00,20261001,0,2,0,0.01,152.50300000,151.75700000,110.07200,0.00
1626456271,-753.00,20261001,1,2,1,0.01,151.75000000,151.75700000,110.07200,-753.00
1626948900,0.00,20261001,0,4,0,0.06,151.50100000,150.73500000,110.09300,0.00
1626991200,1266.00,20261001,1,4,1,0.06,151.71200000,150.73500000,110.09300,1266.00
1627553700,0.00,20261001,0,6,0,0.01,153.20500000,152.51300000,109.46400,0.00
1627596000,-285.00,20261001,1,6,1,0.01,152.92000000,152.51300000,109.46400,-285.00
1629194400,0.00,20261001,0,8,1,0.06,150.81500000,151.33600000,109.54600,0.00
1629237600,1896.00,20261001,1,8,0,0.06,150.49900000,151.33600000,109.54600,1896.00
1629368100,0.00,20261001,0,10,1,0.06,150.55600000,151.21300000,109.66800,0.00
1629410400,4902.00,20261001,1,10,0,0.06,149.73900000,151.21300000,109.66800,4902.00
1631616300,0.00,20261001,0,12,0,0.01,152.60600000,152.05000000,109.67900,0.00
1631640882,-565.00,20261001,1,12,1,0.01,152.04100000,152.05000000,109.67900,-565.00
1632131100,0.00,20261001,0,14,1,0.01,150.40700000,151.12400000,109.42300,0.00
1632175200,1162.00,20261001,1,14,0,0.01,149.24500000,151.12400000,109.42300,1162.00
1632220200,0.00,20261001,0,16,0,0.01,150.06100000,149.17500000,109.20900,0.00
1632241829,-890.00,20261001,1,16,1,0.01,149.17100000,149.17500000,109.20900,-890.00
1632742200,0.00,20261001,0,18,0,0.01,151.82500000,151.12300000,110.99400,0.00
1632780000,353.00,20261001,1,18,1,0.01,152.17800000,151.12300000,110.99400,353.00
1632911400,0.00,20261001,0,20,1,0.06,150.68400000,151.19500000,111.94900,0.00
1632952800,1374.00,20261001,1,20,0,0.06,150.45500000,151.19500000,111.94900,1374.00
1634211900,0.00,20261001,0,22,0,0.01,155.54700000,154.60400000,113.66700,0.00
1634248800,9.00,20261001,1,22,1,0.01,155.55600000,154.60400000,113.66700,9.00
1634292900,0.00,20261001,0,24,0,0.01,156.50200000,155.37400000,114.24300,0.00
1634335200,583.00,20261001,1,24,1,0.01,157.08500000,155.37400000,114.24300,583.00
1637666100,0.00,20261001,0,26,1,0.06,153.55400000,154.21500000,115.11500,0.00
1637704800,-2580.00,20261001,1,26,0,0.06,153.98400000,154.21500000,115.11500,-2580.00
1641900600,0.00,20261001,0,28,0,0.01,156.92300000,156.03800000,115.28500,0.00
1641938400,263.00,20261001,1,28,1,0.01,157.18600000,156.03800000,115.28500,263.00
1643022000,0.00,20261001,0,30,1,0.06,153.75400000,154.48700000,113.86500,0.00
1643061600,2052.00,20261001,1,30,0,0.06,153.41200000,154.48700000,113.86500,2052.00
1648462500,0.00,20261001,0,32,0,0.01,162.62300000,160.71300000,123.75100,0.00
1648504800,-811.00,20261001,1,32,1,0.01,161.81200000,160.71300000,123.75100,-811.00
1649842200,0.00,20261001,0,34,0,0.01,163.90200000,162.89400000,125.48100,0.00
1649887200,755.00,20261001,1,34,1,0.01,164.65700000,162.89400000,125.48100,755.00
1652782500,0.00,20261001,0,36,0,0.01,160.44300000,158.78800000,129.35800,0.00
1652824800,1071.00,20261001,1,36,1,0.01,161.51400000,158.78800000,129.35800,1071.00
1652874300,0.00,20261001,0,38,1,0.01,159.95100000,161.78500000,128.21100,0.00
1652911200,1797.00,20261001,1,38,0,0.01,158.15400000,161.78500000,128.21100,1797.00
1654513200,0.00,20261001,0,40,0,0.06,164.08200000,162.90400000,131.84900,0.00
1654552800,8208.00,20261001,1,40,1,0.06,165.45000000,162.90400000,131.84900,8208.00
1654771500,0.00,20261001,0,42,1,0.01,166.91700000,168.72500000,134.31200,0.00
1654812000,-1042.00,20261001,1,42,0,0.01,167.95900000,168.72500000,134.31200,-1042.00
1654857000,0.00,20261001,0,44,1,0.01,166.64100000,168.01300000,134.37900,0.00
1654898400,1167.00,20261001,1,44,0,0.01,165.47400000,168.01300000,134.37900,1167.00
1655118000,0.00,20261001,0,46,1,0.06,164.73300000,166.12800000,134.40700,0.00
1655157600,10092.00,20261001,1,46,0,0.06,163.05100000,166.12800000,134.40700,10092.00
1655379900,0.00,20261001,0,48,1,0.06,161.88000000,163.79400000,132.15800,0.00
1655411955,-11484.00,20261001,1,48,0,0.06,163.79400000,163.79400000,132.15800,-11484.00
1655981100,0.00,20261001,0,50,1,0.01,164.90200000,167.04800000,134.93800,0.00
1656021600,-453.00,20261001,1,50,0,0.01,165.35500000,167.04800000,134.93800,-453.00
1657192500,0.00,20261001,0,52,0,0.01,162.93200000,161.57800000,135.97000,0.00
1657231200,575.00,20261001,1,52,1,0.01,163.50700000,161.57800000,135.97000,575.00
1657277100,0.00,20261001,0,54,1,0.01,162.10500000,163.93200000,136.01900,0.00
1657317600,-1699.00,20261001,1,54,0,0.01,163.80400000,163.93200000,136.01900,-1699.00
1657624500,0.00,20261001,0,56,1,0.01,162.09600000,163.55200000,136.86300,0.00
1657663200,-636.00,20261001,1,56,0,0.01,162.73200000,163.55200000,136.86300,-636.00
1657794600,0.00,20261001,0,58,0,0.01,164.75400000,163.08200000,138.93300,0.00
1657836000,-468.00,20261001,1,58,1,0.01,164.28600000,163.08200000,138.93300,-468.00
1661168700,0.00,20261001,0,60,1,0.06,161.60200000,162.52500000,137.41700,0.00
1661205600,-156.00,20261001,1,60,0,0.06,161.62800000,162.52500000,137.41700,-156.00
1663148700,0.00,20261001,0,62,1,0.01,165.01400000,166.49300000,142.91900,0.00
1663192800,-156.00,20261001,1,62,0,0.01,165.17000000,166.49300000,142.91900,-156.00
1663324200,0.00,20261001,0,64,1,0.01,163.55100000,164.56100000,142.89800,0.00
1663365600,404.00,20261001,1,64,0,0.01,163.14700000,164.56100000,142.89800,404.00
1669977900,0.00,20261001,0,66,1,0.01,164.67300000,165.91600000,134.30300,0.00
1670006190,-1243.00,20261001,1,66,0,0.01,165.91600000,165.91600000,134.30300,-1243.00
1671186600,0.00,20261001,0,68,1,0.01,166.67100000,168.00100000,136.71100,0.00
1671228000,527.00,20261001,1,68,0,0.01,166.14400000,168.00100000,136.71100,527.00
1672398000,0.00,20261001,0,70,1,0.01,158.80200000,160.44100000,131.09300,0.00
1672437600,776.00,20261001,1,70,0,0.01,158.02600000,160.44100000,131.09300,776.00
1672741800,0.00,20261001,0,72,1,0.01,156.33700000,158.38000000,131.00400,0.00
1672783200,-395.00,20261001,1,72,0,0.01,156.73200000,158.38000000,131.00400,-395.00
1673523900,0.00,20261001,0,74,1,0.01,159.39800000,160.89900000,129.15100,0.00
1673560800,1355.00,20261001,1,74,0,0.01,158.04300000,160.89900000,129.15100,1355.00
1676028600,0.00,20261001,0,76,1,0.01,158.89100000,159.63100000,131.36700,0.00
1676066400,429.00,20261001,1,76,0,0.01,158.46200000,159.63100000,131.36700,429.00
1677581100,0.00,20261001,0,78,0,0.01,164.87400000,163.97600000,136.10200,0.00
1677618451,-898.00,20261001,1,78,1,0.01,163.97600000,163.97600000,136.10200,-898.00
1679658300,0.00,20261001,0,80,1,0.01,159.15900000,160.83600000,130.71200,0.00
