time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624441500,0.00,20261001,0,2,0,0.01,154.71100000,154.09900000,110.94200,0.00
1624485600,236.00,20261001,1,2,1,0.01,154.94700000,154.09900000,110.94200,236.00
1624617900,0.00,20261001,0,4,1,0.06,154.11400000,154.53300000,110.76800,0.00
1624658400,1878.00,20261001,1,4,0,0.06,153.80100000,154.53300000,110.76800,1878.00
1624876200,0.00,20261001,0,6,0,0.01,154.08700000,153.59000000,110.60900,0.00
1624903123,-500.00,20261001,1,6,1,0.01,153.58700000,153.59000000,110.60900,-500.00
1625738400,0.00,20261001,0,8,1,0.01,151.73900000,152.74300000,109.58100,0.00
1625781600,480.00,20261001,1,8,0,0.01,151.25900000,152.74300000,109.58100,480.00
1626176700,0.00,20261001,0,10,1,0.06,152.89900000,153.48400000,110.62200,0.00
1626213600,282.00,20261001,1,10,0,0.06,152.85200000,153.48400000,110.62200,282.00
1626346800,0.00,20261001,0,12,1,0.01,151.67200000,152.45600000,109.80400,0.00
1626354212,-788.00,20261001,1,12,0,0.01,152.46000000,152.45600000,109.80400,-788.00
1626693300,0.00,20261001,0,14,1,0.01,150.83100000,151.52700000,109.37600,0.00
1626715041,1399.00,20261001,1,14,0,0.01,149.43200000,151.52700000,109.37600,1399.00
1626860700,0.00,20261001,0,16,1,0.01,149.47000000,149.96600000,110.28500,0.00
1626866608,-508.00,20261001,1,16,0,0.01,149.97800000,149.96600000,110.28500,-508.00
1626951600,0.00,20261001,0,18,0,0.06,151.47200000,150.73500000,110.09300,0.00
1626991200,1440.00,20261001,1,18,1,0.06,151.71200000,150.73500000,110.09300,1440.00
1627553700,0.00,20261001,0,20,0,0.01,153.20500000,152.51300000,109.46400,0.00
1627596000,-285.00,20261001,1,20,1,0.01,152.92000000,152.51300000,109.46400,-285.00
1628072100,0.00,20261001,0,22,0,0.01,151.99000000,151.53100000,109.46900,0.00
1628090322,-459.00,20261001,1,22,1,0.01,151.53100000,151.53100000,109.46900,-459.00
1628159400,0.00,20261001,0,24,0,0.01,152.62000000,151.98800000,109.76300,0.00
1628200800,284.00,20261001,1,24,1,0.01,152.90400000,151.98800000,109.76300,284.00
1629109800,0.00,20261001,0,26,1,0.01,151.48100000,152.20000000,109.13100,0.00
1629151200,322.00,20261001,1,26,0,0.01,151.15900000,152.20000000,109.13100,322.00
1629194400,0.00,20261001,0,28,1,0.06,150.81500000,151.33600000,109.54600,0.00
