time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624442400,0.00,20261001,0,2,0,0.01,154.77100000,154.09900000,110.94200,0.00
1624485600,176.00,20261001,1,2,1,0.01,154.94700000,154.09900000,110.94200,176.00
1624619700,0.00,20261001,0,4,1,0.06,153.96300000,154.53300000,110.76800,0.00
1624658400,972.00,20261001,1,4,0,0.06,153.80100000,154.53300000,110.76800,972.00
1625739300,0.00,20261001,0,6,1,0.01,151.57000000,152.74300000,109.58100,0.00
1625781600,311.00,20261001,1,6,0,0.01,151.25900000,152.74300000,109.58100,311.00
1626176700,0.00,20261001,0,8,1,0.06,152.89900000,153.48400000,110.62200,0.00
1626213600,282.00,20261001,1,8,0,0.06,152.85200000,153.48400000,110.62200,282.00
1626347700,0.00,20261001,0,10,1,0.01,151.76700000,152.45600000,109.80400,0.00
1626354212,-693.00,20261001,1,10,0,0.01,152.46000000,152.45600000,109.80400,-693.00
1626693300,0.00,20261001,0,12,1,0.01,150.83100000,151.52700000,109.37600,0.00
1626715041,1399.00,20261001,1,12,0,0.01,149.43200000,151.52700000,109.37600,1399.00
1626951600,0.00,20261001,0,14,0,0.06,151.47200000,150.73500000,110.09300,0.00
1626991200,1440.00,20261001,1,14,1,0.06,151.71200000,150.73500000,110.09300,1440.00
1627553700,0.00,20261001,0,16,0,0.01,153.20500000,152.51300000,109.46400,0.00
1627596000,-285.00,20261001,1,16,1,0.01,152.92000000,152.51300000,109.46400,-285.00
1628072100,0.00,20261001,0,18,0,0.01,151.99000000,151.53100000,109.46900,0.00
1628090322,-459.00,20261001,1,18,1,0.01,151.53100000,151.53100000,109.46900,-459.00
1628162100,0.00,20261001,0,20,0,0.01,152.49100000,151.98800000,109.76300,0.00
1628200800,413.00,20261001,1,20,1,0.01,152.90400000,151.98800000,109.76300,413.00
1629196200,0.00,20261001,0,22,1,0.06,150.80400000,151.33600000,109.54600,0.00
1629237600,1830.00,20261001,1,22,0,0.06,150.49900000,151.33600000,109.54600,1830.00
1629368100,0.00,20261001,0,24,1,0.06,150.55600000,151.21300000,109.66800,0.00
1629410400,4902.00,20261001,1,24,0,0.06,149.73900000,151.21300000,109.66800,4902.00
1630062900,0.00,20261001,0,26,0,0.06,150.90400000,150.45900000,109.84100,0.00
1630101600,1812.00,20261001,1,26,1,0.06,151.20600000,150.45900000,109.84100,1812.00
1631273400,0.00,20261001,0,28,0,0.01,152.51000000,151.70600000,109.89200,0.00
1631311200,-350.00,20261001,1,28,1,0.01,152.16000000,151.70600000,109.89200,-350.00
1631617200,0.00,20261001,0,30,0,0.01,152.65100000,152.05000000,109.67900,0.00
1631640882,-610.00,20261001,1,30,1,0.01,152.04100000,152.05000000,109.67900,-610.00
1632132000,0.00,20261001,0,32,1,0.01,150.35600000,151.12400000,109.42300,0.00
1632175200,1111.00,20261001,1,32,0,0.01,149.24500000,151.12400000,109.42300,1111.00
1632222000,0.00,20261001,0,34,0,0.01,150.02500000,149.17500000,109.20900,0.00
1632241829,-854.00,20261001,1,34,1,0.01,149.17100000,149.17500000,109.20900,-854.00
1632393900,0.00,20261001,0,36,0,0.01,150.16200000,149.35200000,110.31400,0.00
1632434400,1223.00,20261001,1,36,1,0.01,151.38500000,149.35200000,110.31400,1223.00
1632742200,0.00,20261001,0,38,0,0.01,151.82500000,151.12300000,110.99400,0.00
1632780000,353.00,20261001,1,38,1,0.01,152.17800000,151.12300000,110.99400,353.00
1632913200,0.00,20261001,0,40,1,0.06,150.45400000,151.19500000,111.94900,0.00
1632952800,-6.00,20261001,1,40,0,0.06,150.45500000,151.19500000,111.94900,-6.00
1634121900,0.00,20261001,0,42,0,0.01,154.73700000,154.10700000,113.23900,0.00
1634162400,-97.00,20261001,1,42,1,0.01,154.64000000,154.10700000,113.23900,-97.00
1635244200,0.00,20261001,0,44,0,0.01,156.96100000,156.42700000,114.14000,0.00
1635285600,191.00,20261001,1,44,1,0.01,157.15200000,156.42700000,114.14000,191.00
1635333300,0.00,20261001,0,46,1,0.01,156.42400000,157.26800000,113.79800,0.00
1635372000,32.00,20261001,1,46,0,0.01,156.39200000,157.26800000,113.79800,32.00
1637056800,0.00,20261001,0,48,0,0.01,153.84800000,152.95500000,114.80900,0.00
1637100000,171.00,20261001,1,48,1,0.01,154.01900000,152.95500000,114.80900,171.00
1637143200,0.00,20261001,0,50,0,0.01,154.49600000,153.91800000,113.97700,0.00
1637178208,-578.00,20261001,1,50,1,0.01,153.91800000,153.91800000,113.97700,-578.00
1637662500,0.00,20261001,0,52,1,0.06,153.54800000,154.21500000,115.11500,0.00
1637704800,-2616.00,20261001,1,52,0,0.06,153.98400000,154.21500000,115.11500,-2616.00
1638443700,0.00,20261001,0,54,0,0.01,150.78300000,149.50800000,113.00700,0.00
1638482400,-300.00,20261001,1,54,1,0.01,150.48300000,149.50800000,113.00700,-300.00
1638787500,0.00,20261001,0,56,0,0.01,150.05100000,149.04900000,113.43400,0.00
1638828000,406.00,20261001,1,56,1,0.01,150.45700000,149.04900000,113.43400,406.00
1639995300,0.00,20261001,0,58,1,0.01,149.84500000,150.56200000,113.52100,0.00
1640037600,-280.00,20261001,1,58,0,0.01,150.12500000,150.56200000,113.52100,-280.00
1640084400,0.00,20261001,0,60,0,0.01,150.42400000,149.88800000,114.05400,0.00
1640124000,927.00,20261001,1,60,1,0.01,151.35100000,149.88800000,114.05400,927.00
1640255400,0.00,20261001,0,62,0,0.01,152.99500000,152.18400000,114.37400,0.00
1640296800,573.00,20261001,1,62,1,0.01,153.56800000,152.18400000,114.37400,573.00
1640602800,0.00,20261001,0,64,0,0.01,153.60100000,152.94500000,114.80700,0.00
1640642400,846.00,20261001,1,64,1,0.01,154.44700000,152.94500000,114.80700,846.00
1641293100,0.00,20261001,0,66,0,0.01,156.26400000,155.10900000,116.12000,0.00
1641333600,891.00,20261001,1,66,1,0.01,157.15500000,155.10900000,116.12000,891.00
1641465900,0.00,20261001,0,68,1,0.01,156.30600000,157.47500000,115.81500,0.00
1641506400,-517.00,20261001,1,68,0,0.01,156.82300000,157.47500000,115.81500,-517.00
1641898800,0.00,20261001,0,70,0,0.01,156.95800000,156.03800000,115.28500,0.00
1641938400,228.00,20261001,1,70,1,0.01,157.18600000,156.03800000,115.28500,228.00
1643194800,0.00,20261001,0,72,0,0.01,154.05700000,153.50200000,114.55300,0.00
1643234400,174.00,20261001,1,72,1,0.01,154.23100000,153.50200000,114.55300,174.00
1643629500,0.00,20261001,0,74,0,0.01,155.18200000,154.32700000,115.04400,0.00
1643666400,-432.00,20261001,1,74,1,0.01,154.75000000,154.32700000,115.04400,-432.00
1643710500,0.00,20261001,0,76,0,0.06,155.01000000,154.48600000,114.66300,0.00
1643752800,174.00,20261001,1,76,1,0.06,155.03900000,154.48600000,114.66300,174.00
1643886000,0.00,20261001,0,78,0,0.06,155.47900000,155.04400000,114.94700,0.00
1643897260,5220.00,20261001,1,78,1,0.06,156.34900000,155.04400000,114.94700,5220.00
1644490800,0.00,20261001,0,80,0,0.01,156.61100000,156.08000000,115.93800,0.00
1644514292,1074.00,20261001,1,80,1,0.01,157.68500000,156.08000000,115.93800,1074.00
1644922800,0.00,20261001,0,82,0,0.06,156.81300000,155.96400000,115.59300,0.00
1644962400,-1854.00,20261001,1,82,1,0.06,156.50400000,155.96400000,115.59300,-1854.00
1645009200,0.00,20261001,0,84,0,0.01,157.00100000,156.31600000,115.47400,0.00
1645048800,-63.00,20261001,1,84,1,0.01,156.93800000,156.31600000,115.47400,-63.00
1645182000,0.00,20261001,0,86,0,0.01,157.06900000,156.21700000,114.98500,0.00
1645207483,-852.00,20261001,1,86,1,0.01,156.21700000,156.21700000,114.98500,-852.00
1645787700,0.00,20261001,0,88,1,0.06,154.33800000,154.79700000,115.52000,0.00
1645800631,-2754.00,20261001,1,88,0,0.06,154.79700000,154.79700000,115.52000,-2754.00
1646825400,0.00,20261001,0,90,0,0.01,152.26500000,151.39400000,115.77800,0.00
1646863200,434.00,20261001,1,90,1,0.01,152.69900000,151.39400000,115.77800,434.00
1647256500,0.00,20261001,0,92,0,0.01,153.65300000,152.83200000,118.17300,0.00
1647295200,68.00,20261001,1,92,1,0.01,153.72100000,152.83200000,118.17300,68.00
1647947700,0.00,20261001,0,94,0,0.01,158.42700000,157.18800000,120.76300,0.00
1647986400,1577.00,20261001,1,94,1,0.01,160.00400000,157.18800000,120.76300,1577.00
1648116900,0.00,20261001,0,96,0,0.01,160.53800000,159.58100000,122.31000,0.00
1648159200,600.00,20261001,1,96,1,0.01,161.13800000,159.58100000,122.31000,600.00
1649158200,0.00,20261001,0,98,0,0.06,161.26900000,160.50200000,123.59200,0.00
1649196000,2466.00,20261001,1,98,1,0.06,161.68000000,160.50200000,123.59200,2466.00
1649329200,0.00,20261001,0,100,0,0.01,162.01200000,161.39900000,123.88200,0.00
1649368800,46.00,20261001,1,100,1,0.01,162.05800000,161.39900000,123.88200,46.00
1649673000,0.00,20261001,0,102,0,0.01,163.09200000,161.49900000,125.33400,0.00
1649714400,406.00,20261001,1,102,1,0.01,163.49800000,161.49900000,125.33400,406.00
1649846700,0.00,20261001,0,104,0,0.01,163.88500000,162.89400000,125.48100,0.00
1649887200,772.00,20261001,1,104,1,0.01,164.65700000,162.89400000,125.48100,772.00
1651576500,0.00,20261001,0,106,0,0.01,163.36000000,162.39400000,130.12900,0.00
1651614087,-966.00,20261001,1,106,1,0.01,162.39400000,162.39400000,130.12900,-966.00
1651834800,0.00,20261001,0,108,1,0.06,160.70900000,161.60200000,130.51800,0.00
1651874400,-1938.00,20261001,1,108,0,0.06,161.03200000,161.60200000,130.51800,-1938.00
1652349600,0.00,20261001,0,110,1,0.01,157.80000000,159.27400000,128.25200,0.00
1652392800,1834.00,20261001,1,110,0,0.01,155.96600000,159.27400000,128.25200,1834.00
1652871600,0.00,20261001,0,112,1,0.01,160.30400000,161.78500000,128.21100,0.00
1652911200,2150.00,20261001,1,112,0,0.01,158.15400000,161.78500000,128.21100,2150.00
1653560100,0.00,20261001,0,114,1,0.01,159.56800000,160.82900000,127.10100,0.00
1653602400,-617.00,20261001,1,114,0,0.01,160.18500000,160.82900000,127.10100,-617.00
1654515000,0.00,20261001,0,116,0,0.06,164.33600000,162.90400000,131.84900,0.00
1654552800,6684.00,20261001,1,116,1,0.06,165.45000000,162.90400000,131.84900,6684.00
1654774200,0.00,20261001,0,118,1,0.01,166.93000000,168.72500000,134.31200,0.00
1654812000,-1029.00,20261001,1,118,0,0.01,167.95900000,168.72500000,134.31200,-1029.00
1654859700,0.00,20261001,0,120,1,0.01,166.84900000,168.01300000,134.37900,0.00
1654898400,1375.00,20261001,1,120,0,0.01,165.47400000,168.01300000,134.37900,1375.00
1655114400,0.00,20261001,0,122,1,0.06,165.10300000,166.12800000,134.40700,0.00
1655137771,12300.00,20261001,1,122,0,0.06,163.05300000,166.12800000,134.40700,12300.00
1655378100,0.00,20261001,0,124,1,0.06,162.01100000,163.79400000,132.15800,0.00
1655411955,-10698.00,20261001,1,124,0,0.06,163.79400000,163.79400000,132.15800,-10698.00
1655811000,0.00,20261001,0,126,0,0.01,166.45400000,165.12900000,136.45200,0.00
1655848800,1144.00,20261001,1,126,1,0.01,167.59800000,165.12900000,136.45200,1144.00
1655895600,0.00,20261001,0,128,1,0.01,166.15200000,167.82500000,136.20500,0.00
1655935200,-972.00,20261001,1,128,0,0.01,167.12400000,167.82500000,136.20500,-972.00
1655982900,0.00,20261001,0,130,1,0.01,165.21300000,167.04800000,134.93800,0.00
1656021600,-142.00,20261001,1,130,0,0.01,165.35500000,167.04800000,134.93800,-142.00
1656328500,0.00,20261001,0,132,0,0.01,166.29200000,165.12200000,135.41400,0.00
1656367200,-47.00,20261001,1,132,1,0.01,166.24500000,165.12200000,135.41400,-47.00
1656932400,0.00,20261001,0,134,0,0.01,164.22400000,162.99600000,135.48100,0.00
1656972000,91.00,20261001,1,134,1,0.01,164.31500000,162.99600000,135.48100,91.00
1657194300,0.00,20261001,0,136,0,0.01,162.85200000,161.57800000,135.97000,0.00
1657231200,655.00,20261001,1,136,1,0.01,163.50700000,161.57800000,135.97000,655.00
