time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624619700,0.00,20261001,0,2,1,0.06,153.96300000,154.53300000,110.76800,0.00
1624658400,972.00,20261001,1,2,0,0.06,153.80100000,154.53300000,110.76800,972.00
1624878000,0.00,20261001,0,4,0,0.01,154.09500000,153.59000000,110.60900,0.00
1624903123,-508.00,20261001,1,4,1,0.01,153.58700000,153.59000000,110.60900,-508.00
1626090300,0.00,20261001,0,6,1,0.06,152.68300000,153.25300000,110.34800,0.00
1626109625,-3420.00,20261001,1,6,0,0.06,153.25300000,153.25300000,110.34800,-3420.00
1626176700,0.00,20261001,0,8,1,0.06,152.89900000,153.48400000,110.62200,0.00
1626213600,282.00,20261001,1,8,0,0.06,152.85200000,153.48400000,110.62200,282.00
1626693300,0.00,20261001,0,10,1,0.01,150.83100000,151.52700000,109.37600,0.00
1626715041,1399.00,20261001,1,10,0,0.01,149.43200000,151.52700000,109.37600,1399.00
1626951600,0.00,20261001,0,12,0,0.06,151.47200000,150.73500000,110.09300,0.00
1626991200,1440.00,20261001,1,12,1,0.06,151.71200000,150.73500000,110.09300,1440.00
1627554600,0.00,20261001,0,14,0,0.01,153.11500000,152.51300000,109.46400,0.00
1627596000,-195.00,20261001,1,14,1,0.01,152.92000000,152.51300000,109.46400,-195.00
1628072100,0.00,20261001,0,16,0,0.01,151.99000000,151.53100000,109.46900,0.00
1628090322,-459.00,20261001,1,16,1,0.01,151.53100000,151.53100000,109.46900,-459.00
1628161200,0.00,20261001,0,18,0,0.01,152.57200000,151.98800000,109.76300,0.00
1628200800,332.00,20261001,1,18,1,0.01,152.90400000,151.98800000,109.76300,332.00
1629197100,0.00,20261001,0,20,1,0.06,150.87100000,151.33600000,109.54600,0.00
1629237600,2232.00,20261001,1,20,0,0.06,150.49900000,151.33600000,109.54600,2232.00
1630063800,0.00,20261001,0,22,0,0.06,150.89100000,150.45900000,109.84100,0.00
1630101600,1890.00,20261001,1,22,1,0.06,151.20600000,150.45900000,109.84100,1890.00
