time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624443300,0.00,20261001,0,2,0,0.01,154.85400000,154.09900000,110.94200,0.00
1624485600,93.00,20261001,1,2,1,0.01,154.94700000,154.09900000,110.94200,93.00
1624619700,0.00,20261001,0,4,1,0.06,153.96300000,154.53300000,110.76800,0.00
1624658400,972.00,20261001,1,4,0,0.06,153.80100000,154.53300000,110.76800,972.00
1624878000,0.00,20261001,0,6,0,0.01,154.09500000,153.59000000,110.60900,0.00
1624903123,-508.00,20261001,1,6,1,0.01,153.58700000,153.59000000,110.60900,-508.00
1626090300,0.00,20261001,0,8,1,0.06,152.68300000,153.25300000,110.34800,0.00
1626109625,-3420.00,20261001,1,8,0,0.06,153.25300000,153.25300000,110.34800,-3420.00
1626176700,0.00,20261001,0,10,1,0.06,152.89900000,153.48400000,110.62200,0.00
1626213600,282.00,20261001,1,10,0,0.06,152.85200000,153.48400000,110.62200,282.00
1626693300,0.00,20261001,0,12,1,0.01,150.83100000,151.52700000,109.37600,0.00
1626715041,1399.00,20261001,1,12,0,0.01,149.43200000,151.52700000,109.37600,1399.00
1626951600,0.00,20261001,0,14,0,0.06,151.47200000,150.73500000,110.09300,0.00
1626991200,1440.00,20261001,1,14,1,0.06,151.71200000,150.73500000,110.09300,1440.00
1627554600,0.00,20261001,0,16,0,0.01,153.11500000,152.51300000,109.46400,0.00
1627596000,-195.00,20261001,1,16,1,0.01,152.92000000,152.51300000,109.46400,-195.00
1628072100,0.00,20261001,0,18,0,0.01,151.99000000,151.53100000,109.46900,0.00
1628090322,-459.00,20261001,1,18,1,0.01,151.53100000,151.53100000,109.46900,-459.00
1628161200,0.00,20261001,0,20,0,0.01,152.57200000,151.98800000,109.76300,0.00
1628200800,332.00,20261001,1,20,1,0.01,152.90400000,151.98800000,109.76300,332.00
1629196200,0.00,20261001,0,22,1,0.06,150.80400000,151.33600000,109.54600,0.00
1629237600,1830.00,20261001,1,22,0,0.06,150.49900000,151.33600000,109.54600,1830.00
1629369000,0.00,20261001,0,24,1,0.06,150.58300000,151.21300000,109.66800,0.00
1629410400,5064.00,20261001,1,24,0,0.06,149.73900000,151.21300000,109.66800,5064.00
1630063800,0.00,20261001,0,26,0,0.06,150.89100000,150.45900000,109.84100,0.00
1630101600,1890.00,20261001,1,26,1,0.06,151.20600000,150.45900000,109.84100,1890.00
1631271600,0.00,20261001,0,28,0,0.01,152.54000000,151.70600000,109.89200,0.00
1631311200,-380.00,20261001,1,28,1,0.01,152.16000000,151.70600000,109.89200,-380.00
1631618100,0.00,20261001,0,30,0,0.01,152.65200000,152.05000000,109.67900,0.00
1631640882,-611.00,20261001,1,30,1,0.01,152.04100000,152.05000000,109.67900,-611.00
1632222900,0.00,20261001,0,32,0,0.01,150.12200000,149.17500000,109.20900,0.00
1632241829,-951.00,20261001,1,32,1,0.01,149.17100000,149.17500000,109.20900,-951.00
1632393900,0.00,20261001,0,34,0,0.01,150.16200000,149.35200000,110.31400,0.00
1632434400,1223.00,20261001,1,34,1,0.01,151.38500000,149.35200000,110.31400,1223.00
1632914100,0.00,20261001,0,36,1,0.06,150.41900000,151.19500000,111.94900,0.00
1632952800,-216.00,20261001,1,36,0,0.06,150.45500000,151.19500000,111.94900,-216.00
1634122800,0.00,20261001,0,38,0,0.01,154.70200000,154.10700000,113.23900,0.00
1634162400,-62.00,20261001,1,38,1,0.01,154.64000000,154.10700000,113.23900,-62.00
1634295600,0.00,20261001,0,40,0,0.01,156.55400000,155.37400000,114.24300,0.00
1634335200,531.00,20261001,1,40,1,0.01,157.08500000,155.37400000,114.24300,531.00
1635245100,0.00,20261001,0,42,0,0.01,157.01300000,156.42700000,114.14000,0.00
1635285600,139.00,20261001,1,42,1,0.01,157.15200000,156.42700000,114.14000,139.00
1635334200,0.00,20261001,0,44,1,0.01,156.37700000,157.26800000,113.79800,0.00
1635372000,-15.00,20261001,1,44,0,0.01,156.39200000,157.26800000,113.79800,-15.00
1637057700,0.00,20261001,0,46,0,0.01,153.67900000,152.95500000,114.80900,0.00
1637100000,340.00,20261001,1,46,1,0.01,154.01900000,152.95500000,114.80900,340.00
1637663400,0.00,20261001,0,48,1,0.06,153.47700000,154.21500000,115.11500,0.00
1637704800,-3042.00,20261001,1,48,0,0.06,153.98400000,154.21500000,115.11500,-3042.00
1638444600,0.00,20261001,0,50,0,0.01,150.66100000,149.50800000,113.00700,0.00
1638482400,-178.00,20261001,1,50,1,0.01,150.48300000,149.50800000,113.00700,-178.00
1638788400,0.00,20261001,0,52,0,0.01,149.98800000,149.04900000,113.43400,0.00
1638828000,469.00,20261001,1,52,1,0.01,150.45700000,149.04900000,113.43400,469.00
1639047600,0.00,20261001,0,54,1,0.06,149.82900000,150.31500000,113.45000,0.00
1639087200,-306.00,20261001,1,54,0,0.06,149.88000000,150.31500000,113.45000,-306.00
1639653300,0.00,20261001,0,56,0,0.01,151.67800000,150.97700000,113.60200,0.00
1639692000,-485.00,20261001,1,56,1,0.01,151.19300000,150.97700000,113.60200,-485.00
1639995300,0.00,20261001,0,58,1,0.01,149.84500000,150.56200000,113.52100,0.00
1640037600,-280.00,20261001,1,58,0,0.01,150.12500000,150.56200000,113.52100,-280.00
1640085300,0.00,20261001,0,60,0,0.01,150.51400000,149.88800000,114.05400,0.00
1640124000,837.00,20261001,1,60,1,0.01,151.35100000,149.88800000,114.05400,837.00
1640256300,0.00,20261001,0,62,0,0.01,152.90900000,152.18400000,114.37400,0.00
1640296800,659.00,20261001,1,62,1,0.01,153.56800000,152.18400000,114.37400,659.00
1640602800,0.00,20261001,0,64,0,0.01,153.60100000,152.94500000,114.80700,0.00
1640642400,846.00,20261001,1,64,1,0.01,154.44700000,152.94500000,114.80700,846.00
1641294000,0.00,20261001,0,66,0,0.01,156.29500000,155.10900000,116.12000,0.00
1641333600,860.00,20261001,1,66,1,0.01,157.15500000,155.10900000,116.12000,860.00
1641466800,0.00,20261001,0,68,1,0.01,156.32500000,157.47500000,115.81500,0.00
1641506400,-498.00,20261001,1,68,0,0.01,156.82300000,157.47500000,115.81500,-498.00
1641899700,0.00,20261001,0,70,0,0.01,157.11200000,156.03800000,115.28500,0.00
1641938400,74.00,20261001,1,70,1,0.01,157.18600000,156.03800000,115.28500,74.00
1643024700,0.00,20261001,0,72,1,0.06,153.66300000,154.48700000,113.86500,0.00
1643061600,1506.00,20261001,1,72,0,0.06,153.41200000,154.48700000,113.86500,1506.00
1643195700,0.00,20261001,0,74,0,0.01,154.11300000,153.50200000,114.55300,0.00
1643234400,118.00,20261001,1,74,1,0.01,154.23100000,153.50200000,114.55300,118.00
1643628600,0.00,20261001,0,76,0,0.01,155.08400000,154.32700000,115.04400,0.00
1643666400,-334.00,20261001,1,76,1,0.01,154.75000000,154.32700000,115.04400,-334.00
1643711400,0.00,20261001,0,78,0,0.06,154.97300000,154.48600000,114.66300,0.00
1643752800,396.00,20261001,1,78,1,0.06,155.03900000,154.48600000,114.66300,396.00
1643886900,0.00,20261001,0,80,0,0.06,155.51700000,155.04400000,114.94700,0.00
1643897682,5730.00,20261001,1,80,1,0.06,156.47200000,155.04400000,114.94700,5730.00
1644490800,0.00,20261001,0,82,0,0.01,156.61100000,156.08000000,115.93800,0.00
1644514292,1074.00,20261001,1,82,1,0.01,157.68500000,156.08000000,115.93800,1074.00
1644923700,0.00,20261001,0,84,0,0.06,156.67800000,155.96400000,115.59300,0.00
1644962400,-1044.00,20261001,1,84,1,0.06,156.50400000,155.96400000,115.59300,-1044.00
1645010100,0.00,20261001,0,86,0,0.01,156.95100000,156.31600000,115.47400,0.00
1645048800,-13.00,20261001,1,86,1,0.01,156.93800000,156.31600000,115.47400,-13.00
1645182900,0.00,20261001,0,88,0,0.01,156.90100000,156.21700000,114.98500,0.00
1645207483,-684.00,20261001,1,88,1,0.01,156.21700000,156.21700000,114.98500,-684.00
1645788600,0.00,20261001,0,90,1,0.06,154.25900000,154.79700000,115.52000,0.00
1645800631,-3228.00,20261001,1,90,0,0.06,154.79700000,154.79700000,115.52000,-3228.00
1646824500,0.00,20261001,0,92,0,0.01,152.09800000,151.39400000,115.77800,0.00
1646863200,601.00,20261001,1,92,1,0.01,152.69900000,151.39400000,115.77800,601.00
1647257400,0.00,20261001,0,94,0,0.01,153.60700000,152.83200000,118.17300,0.00
1647295200,114.00,20261001,1,94,1,0.01,153.72100000,152.83200000,118.17300,114.00
1647598500,0.00,20261001,0,96,0,0.01,156.44800000,155.85000000,119.10800,0.00
1647640800,644.00,20261001,1,96,1,0.01,157.09200000,155.85000000,119.10800,644.00
1647948600,0.00,20261001,0,98,0,0.01,158.43400000,157.18800000,120.76300,0.00
1647986400,1570.00,20261001,1,98,1,0.01,160.00400000,157.18800000,120.76300,1570.00
1648117800,0.00,20261001,0,100,0,0.01,160.67400000,159.58100000,122.31000,0.00
1648159200,464.00,20261001,1,100,1,0.01,161.13800000,159.58100000,122.31000,464.00
1649158200,0.00,20261001,0,102,0,0.06,161.26900000,160.50200000,123.59200,0.00
