time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624446900,0.00,20261001,0,2,0,0.01,154.87700000,154.09900000,110.94200,0.00
1624485600,70.00,20261001,1,2,1,0.01,154.94700000,154.09900000,110.94200,70.00
1624620600,0.00,20261001,0,4,1,0.06,153.99200000,154.53300000,110.76800,0.00
1624658400,1146.00,20261001,1,4,0,0.06,153.80100000,154.53300000,110.76800,1146.00
1626694200,0.00,20261001,0,6,1,0.01,150.68500000,151.52700000,109.37600,0.00
1626732000,1152.00,20261001,1,6,0,0.01,149.53300000,151.52700000,109.37600,1152.00
1626952500,0.00,20261001,0,8,0,0.06,151.55200000,150.73500000,110.09300,0.00
1626991200,960.00,20261001,1,8,1,0.06,151.71200000,150.73500000,110.09300,960.00
1627555500,0.00,20261001,0,10,0,0.01,153.22600000,152.51300000,109.46400,0.00
1627596000,-306.00,20261001,1,10,1,0.01,152.92000000,152.51300000,109.46400,-306.00
1628073000,0.00,20261001,0,12,0,0.01,152.10600000,151.53100000,109.46900,0.00
1628090322,-575.00,20261001,1,12,1,0.01,151.53100000,151.53100000,109.46900,-575.00
1628162100,0.00,20261001,0,14,0,0.01,152.49100000,151.98800000,109.76300,0.00
1628200800,413.00,20261001,1,14,1,0.01,152.90400000,151.98800000,109.76300,413.00
1629197100,0.00,20261001,0,16,1,0.06,150.87100000,151.33600000,109.54600,0.00
1629237600,2232.00,20261001,1,16,0,0.06,150.49900000,151.33600000,109.54600,2232.00
1630064700,0.00,20261001,0,18,0,0.06,150.83400000,150.45900000,109.84100,0.00
1630101600,2232.00,20261001,1,18,1,0.06,151.20600000,150.45900000,109.84100,2232.00
1631273400,0.00,20261001,0,20,0,0.01,152.51000000,151.70600000,109.89200,0.00
1631311200,-350.00,20261001,1,20,1,0.01,152.16000000,151.70600000,109.89200,-350.00
1631619000,0.00,20261001,0,22,0,0.01,152.65500000,152.05000000,109.67900,0.00
1631640882,-614.00,20261001,1,22,1,0.01,152.04100000,152.05000000,109.67900,-614.00
1632223800,0.00,20261001,0,24,0,0.01,150.05300000,149.17500000,109.20900,0.00
1632241829,-882.00,20261001,1,24,1,0.01,149.17100000,149.17500000,109.20900,-882.00
1632394800,0.00,20261001,0,26,0,0.01,150.15400000,149.35200000,110.31400,0.00
1632434400,1231.00,20261001,1,26,1,0.01,151.38500000,149.35200000,110.31400,1231.00
1632915000,0.00,20261001,0,28,1,0.06,150.37200000,151.19500000,111.94900,0.00
1632952800,-498.00,20261001,1,28,0,0.06,150.45500000,151.19500000,111.94900,-498.00
1634123700,0.00,20261001,0,30,0,0.01,154.69400000,154.10700000,113.23900,0.00
1634162400,-54.00,20261001,1,30,1,0.01,154.64000000,154.10700000,113.23900,-54.00
1634297400,0.00,20261001,0,32,0,0.01,156.65100000,155.37400000,114.24300,0.00
1634335200,434.00,20261001,1,32,1,0.01,157.08500000,155.37400000,114.24300,434.00
1635246000,0.00,20261001,0,34,0,0.01,157.05400000,156.42700000,114.14000,0.00
1635285600,98.00,20261001,1,34,1,0.01,157.15200000,156.42700000,114.14000,98.00
1637058600,0.00,20261001,0,36,0,0.01,153.71700000,152.95500000,114.80900,0.00
1637100000,302.00,20261001,1,36,1,0.01,154.01900000,152.95500000,114.80900,302.00
1637664300,0.00,20261001,0,38,1,0.06,153.40800000,154.21500000,115.11500,0.00
1637704800,-3456.00,20261001,1,38,0,0.06,153.98400000,154.21500000,115.11500,-3456.00
1638445500,0.00,20261001,0,40,0,0.01,150.64400000,149.50800000,113.00700,0.00
1638482400,-161.00,20261001,1,40,1,0.01,150.48300000,149.50800000,113.00700,-161.00
1638789300,0.00,20261001,0,42,0,0.01,150.17800000,149.04900000,113.43400,0.00
1638828000,279.00,20261001,1,42,1,0.01,150.45700000,149.04900000,113.43400,279.00
1639654200,0.00,20261001,0,44,0,0.01,151.67600000,150.97700000,113.60200,0.00
1639692000,-483.00,20261001,1,44,1,0.01,151.19300000,150.97700000,113.60200,-483.00
1639996200,0.00,20261001,0,46,1,0.01,149.90800000,150.56200000,113.52100,0.00
1640037600,-217.00,20261001,1,46,0,0.01,150.12500000,150.56200000,113.52100,-217.00
1640086200,0.00,20261001,0,48,0,0.01,150.54500000,149.88800000,114.05400,0.00
1640124000,806.00,20261001,1,48,1,0.01,151.35100000,149.88800000,114.05400,806.00
1640257200,0.00,20261001,0,50,0,0.01,152.97700000,152.18400000,114.37400,0.00
1640296800,591.00,20261001,1,50,1,0.01,153.56800000,152.18400000,114.37400,591.00
1640603700,0.00,20261001,0,52,0,0.01,153.60800000,152.94500000,114.80700,0.00
1640642400,839.00,20261001,1,52,1,0.01,154.44700000,152.94500000,114.80700,839.00
1641294900,0.00,20261001,0,54,0,0.01,156.37200000,155.10900000,116.12000,0.00
1641333600,783.00,20261001,1,54,1,0.01,157.15500000,155.10900000,116.12000,783.00
1641467700,0.00,20261001,0,56,1,0.01,156.32600000,157.47500000,115.81500,0.00
1641506400,-497.00,20261001,1,56,0,0.01,156.82300000,157.47500000,115.81500,-497.00
1641900600,0.00,20261001,0,58,0,0.01,156.92300000,156.03800000,115.28500,0.00
1641938400,263.00,20261001,1,58,1,0.01,157.18600000,156.03800000,115.28500,263.00
