time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1641900600,0.00,20261001,0,2,0,0.01,156.92300000,156.03800000,115.28500,0.00
1641938400,263.00,20261001,1,2,1,0.01,157.18600000,156.03800000,115.28500,263.00
1654775100,0.00,20261001,0,4,1,0.01,167.36800000,168.72500000,134.31200,0.00
1654812000,-591.00,20261001,1,4,0,0.01,167.95900000,168.72500000,134.31200,-591.00
1661168700,0.00,20261001,0,6,1,0.06,161.60200000,162.52500000,137.41700,0.00
1661205600,-156.00,20261001,1,6,0,0.06,161.62800000,162.52500000,137.41700,-156.00
1676028600,0.00,20261001,0,8,1,0.01,158.89100000,159.63100000,131.36700,0.00
1676066400,429.00,20261001,1,8,0,0.01,158.46200000,159.63100000,131.36700,429.00
1692358200,0.00,20261001,0,10,1,0.01,185.06900000,185.90500000,145.36100,0.00
1692396000,-95.00,20261001,1,10,0,0.01,185.16400000,185.90500000,145.36100,-95.00
1708602300,0.00,20261001,0,12,0,0.01,190.33700000,189.83400000,150.51400,0.00
1708639200,240.00,20261001,1,12,1,0.01,190.57700000,189.83400000,150.51400,240.00
1717674300,0.00,20261001,0,14,0,0.06,199.67300000,198.96200000,155.58400,0.00
1717711200,-2994.00,20261001,1,14,1,0.06,199.17400000,198.96200000,155.58400,-2994.00
1721645100,0.00,20261001,0,16,1,0.01,202.62400000,203.60800000,157.00100,0.00
1721685600,-386.00,20261001,1,16,0,0.01,203.01000000,203.60800000,157.00100,-386.00
1763722800,0.00,20261001,0,18,1,0.01,205.52700000,206.04300000,156.28900,0.00
1763726845,1032.00,20261001,1,18,0,0.01,204.49500000,206.04300000,156.28900,1032.00
