time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1624360500,0.00,20261001,0,2,1,0.06,153.27500000,153.77200000,110.60500,0.00
1624378052,-2982.00,20261001,1,2,0,0.06,153.77200000,153.77200000,110.60500,-2982.00
1624616100,0.00,20261001,0,4,1,0.06,154.03600000,154.53300000,110.76800,0.00
1624658400,1410.00,20261001,1,4,0,0.06,153.80100000,154.53300000,110.76800,1410.00
1625048100,0.00,20261001,0,6,1,0.06,152.78400000,153.20500000,111.09200,0.00
1625059925,-2532.00,20261001,1,6,0,0.06,153.20600000,153.20500000,111.09200,-2532.00
1625134500,0.00,20261001,0,8,0,0.06,153.83700000,153.35200000,111.51300,0.00
1625176800,-1818.00,20261001,1,8,1,0.06,153.53400000,153.35200000,111.51300,-1818.00
1626086700,0.00,20261001,0,10,1,0.06,152.76100000,153.25300000,110.34800,0.00
1626109625,-2952.00,20261001,1,10,0,0.06,153.25300000,153.25300000,110.34800,-2952.00
1626171300,0.00,20261001,0,12,1,0.06,153.08200000,153.48400000,110.62200,0.00
1626213600,1380.00,20261001,1,12,0,0.06,152.85200000,153.48400000,110.62200,1380.00
1626774300,0.00,20261001,0,14,1,0.06,149.38500000,149.97200000,109.81400,0.00
1626780701,-3522.00,20261001,1,14,0,0.06,149.97200000,149.97200000,109.81400,-3522.00
1626867000,0.00,20261001,0,16,0,0.06,150.04000000,149.48000000,110.28500,0.00
1626897818,6720.00,20261001,1,16,1,0.06,151.16000000,149.48000000,110.28500,6720.00
1626948000,0.00,20261001,0,18,0,0.06,151.28200000,150.73500000,110.09300,0.00
1626991200,2580.00,20261001,1,18,1,0.06,151.71200000,150.73500000,110.09300,2580.00
1628849700,0.00,20261001,0,20,1,0.06,152.24100000,152.58100000,109.58700,0.00
1628892000,1512.00,20261001,1,20,0,0.06,151.98900000,152.58100000,109.58700,1512.00
1629192600,0.00,20261001,0,22,1,0.06,150.97500000,151.33600000,109.54600,0.00
1629237600,2856.00,20261001,1,22,0,0.06,150.49900000,151.33600000,109.54600,2856.00
1629365400,0.00,20261001,0,24,1,0.06,150.71500000,151.21300000,109.66800,0.00
1629374699,5976.00,20261001,1,24,0,0.06,149.71900000,151.21300000,109.66800,5976.00
1629455400,0.00,20261001,0,26,1,0.06,149.20200000,149.88500000,109.79200,0.00
1629496800,-2316.00,20261001,1,26,0,0.06,149.58800000,149.88500000,109.79200,-2316.00
1629804600,0.00,20261001,0,28,1,0.06,150.34200000,150.97000000,109.50200,0.00
1629842400,-1644.00,20261001,1,28,0,0.06,150.61600000,150.97000000,109.50200,-1644.00
1629974700,0.00,20261001,0,30,0,0.06,151.54100000,151.14400000,110.07700,0.00
1629991409,-2382.00,20261001,1,30,1,0.06,151.14400000,151.14400000,110.07700,-2382.00
1630060200,0.00,20261001,0,32,0,0.06,150.93900000,150.45900000,109.84100,0.00
1630101600,1602.00,20261001,1,32,1,0.06,151.20600000,150.45900000,109.84100,1602.00
1632482100,0.00,20261001,0,34,1,0.06,151.18300000,151.64700000,110.72500,0.00
1632520800,-1044.00,20261001,1,34,0,0.06,151.35700000,151.64700000,110.72500,-1044.00
1632910500,0.00,20261001,0,36,1,0.06,150.50400000,151.19500000,111.94900,0.00
1632952800,294.00,20261001,1,36,0,0.06,150.45500000,151.19500000,111.94900,294.00
1634727600,0.00,20261001,0,38,1,0.06,157.49200000,158.21700000,114.22300,0.00
1634767200,-2808.00,20261001,1,38,0,0.06,157.96000000,158.21700000,114.22300,-2808.00
1634900400,0.00,20261001,0,40,1,0.06,156.91000000,157.66100000,113.48000,0.00
1634940000,5226.00,20261001,1,40,0,0.06,156.03900000,157.66100000,113.48000,5226.00
1635417900,0.00,20261001,0,42,0,0.06,156.47200000,155.97700000,113.55800,0.00
1635434549,-2970.00,20261001,1,42,1,0.06,155.97700000,155.97700000,113.55800,-2970.00
1637659800,0.00,20261001,0,44,1,0.06,153.68200000,154.21500000,115.11500,0.00
1637704800,-1812.00,20261001,1,44,0,0.06,153.98400000,154.21500000,115.11500,-1812.00
1639044000,0.00,20261001,0,46,1,0.06,149.80800000,150.31500000,113.45000,0.00
1639087200,-432.00,20261001,1,46,0,0.06,149.88000000,150.31500000,113.45000,-432.00
1642504500,0.00,20261001,0,48,1,0.06,156.21100000,156.90700000,114.60400,0.00
1642543200,2100.00,20261001,1,48,0,0.06,155.86100000,156.90700000,114.60400,2100.00
1643021100,0.00,20261001,0,50,1,0.06,153.97000000,154.48700000,113.86500,0.00
1643051852,6204.00,20261001,1,50,0,0.06,152.93600000,154.48700000,113.86500,6204.00
1643707800,0.00,20261001,0,52,0,0.06,154.94200000,154.48600000,114.66300,0.00
1643752800,582.00,20261001,1,52,1,0.06,155.03900000,154.48600000,114.66300,582.00
1643883300,0.00,20261001,0,54,0,0.06,155.42700000,155.04400000,114.94700,0.00
1643896840,4596.00,20261001,1,54,1,0.06,156.19300000,155.04400000,114.94700,4596.00
1644576300,0.00,20261001,0,56,0,0.06,157.39300000,156.89000000,115.26000,0.00
1644611983,-3156.00,20261001,1,56,1,0.06,156.86700000,156.89000000,115.26000,-3156.00
1644920100,0.00,20261001,0,58,0,0.06,156.59700000,155.96400000,115.59300,0.00
1644962400,-558.00,20261001,1,58,1,0.06,156.50400000,155.96400000,115.59300,-558.00
1645785000,0.00,20261001,0,60,1,0.06,154.27100000,154.79700000,115.52000,0.00
1645800631,-3156.00,20261001,1,60,0,0.06,154.79700000,154.79700000,115.52000,-3156.00
1646135100,0.00,20261001,0,62,1,0.06,154.03000000,154.68300000,114.87800,0.00
1646166271,7836.00,20261001,1,62,0,0.06,152.72400000,154.68300000,114.87800,7836.00
1646212500,0.00,20261001,0,64,1,0.06,152.86600000,153.44000000,115.51300,0.00
1646223196,-3444.00,20261001,1,64,0,0.06,153.44000000,153.44000000,115.51300,-3444.00
1646649900,0.00,20261001,0,66,1,0.06,151.37200000,152.12100000,115.26200,0.00
1646663745,-4494.00,20261001,1,66,0,0.06,152.12100000,152.12100000,115.26200,-4494.00
1646908200,0.00,20261001,0,68,1,0.06,152.35000000,152.99500000,116.12500,0.00
1646949600,1674.00,20261001,1,68,0,0.06,152.07100000,152.99500000,116.12500,1674.00
1647343800,0.00,20261001,0,70,1,0.06,153.44900000,154.49400000,118.28200,0.00
1647368977,-6270.00,20261001,1,70,0,0.06,154.49400000,154.49400000,118.28200,-6270.00
1648035900,0.00,20261001,0,72,1,0.06,160.06200000,161.09600000,121.14100,0.00
1648072800,630.00,20261001,1,72,0,0.06,159.95700000,161.09600000,121.14100,630.00
1648720800,0.00,20261001,0,74,1,0.06,159.68300000,160.87800000,121.57800,0.00
