time,profit,magic,entry,position_id,type,volume,price,sl,usdjpy,profit_jpy
1625563800,0.00,20261001,0,2,0,0.01,153.97800000,153.42000000,110.60500,0.00
1625573735,-566.00,20261001,1,2,1,0.01,153.41200000,153.42000000,110.60500,-566.00
1625650200,0.00,20261001,0,4,0,0.01,152.90900000,152.32900000,110.60100,0.00
1625679298,-580.00,20261001,1,4,1,0.01,152.32900000,152.32900000,110.60100,-580.00
1625736600,0.00,20261001,0,6,1,0.01,151.93500000,152.74300000,109.58100,0.00
1625781600,676.00,20261001,1,6,0,0.01,151.25900000,152.74300000,109.58100,676.00
1625831100,0.00,20261001,0,8,0,0.01,151.74100000,151.02800000,110.09200,0.00
1625868000,1260.00,20261001,1,8,1,0.01,153.00100000,151.02800000,110.09200,1260.00
1626345000,0.00,20261001,0,10,1,0.01,151.73000000,152.45600000,109.80400,0.00
1626354212,-730.00,20261001,1,10,0,0.01,152.46000000,152.45600000,109.80400,-730.00
1626434100,0.00,20261001,0,12,0,0.01,152.31600000,151.75700000,110.07200,0.00
1626456271,-566.00,20261001,1,12,1,0.01,151.75000000,151.75700000,110.07200,-566.00
1626689700,0.00,20261001,0,14,1,0.01,150.97200000,151.52700000,109.37600,0.00
1626710560,1110.00,20261001,1,14,0,0.01,149.86200000,151.52700000,109.37600,1110.00
1627551000,0.00,20261001,0,16,0,0.01,152.98100000,152.51300000,109.46400,0.00
1627596000,-61.00,20261001,1,16,1,0.01,152.92000000,152.51300000,109.46400,-61.00
1628068500,0.00,20261001,0,18,0,0.01,151.96800000,151.53100000,109.46900,0.00
1628090322,-437.00,20261001,1,18,1,0.01,151.53100000,151.53100000,109.46900,-437.00
1628157600,0.00,20261001,0,20,0,0.01,152.41100000,151.98800000,109.76300,0.00
1628200800,493.00,20261001,1,20,1,0.01,152.90400000,151.98800000,109.76300,493.00
1628674200,0.00,20261001,0,22,0,0.01,153.10000000,152.78700000,110.40500,0.00
1628719200,39.00,20261001,1,22,1,0.01,153.13900000,152.78700000,110.40500,39.00
1629108000,0.00,20261001,0,24,1,0.01,151.39000000,152.20000000,109.13100,0.00
1629151200,231.00,20261001,1,24,0,0.01,151.15900000,152.20000000,109.13100,231.00
1629891000,0.00,20261001,0,26,0,0.01,150.90000000,150.36400000,109.99900,0.00
1629928800,457.00,20261001,1,26,1,0.01,151.35700000,150.36400000,109.99900,457.00
1630401300,0.00,20261001,0,28,0,0.01,151.55200000,151.08600000,109.99200,0.00
1630424371,-468.00,20261001,1,28,1,0.01,151.08400000,151.08600000,109.99200,-468.00
1630579500,0.00,20261001,0,30,0,0.01,151.74400000,151.27600000,109.92400,0.00
1630620000,441.00,20261001,1,30,1,0.01,152.18500000,151.27600000,109.92400,441.00
1631184300,0.00,20261001,0,32,1,0.01,151.46400000,151.87200000,109.68700,0.00
1631190395,-408.00,20261001,1,32,0,0.01,151.87200000,151.87200000,109.68700,-408.00
1631614500,0.00,20261001,0,34,0,0.01,152.54900000,152.05000000,109.67900,0.00
1631640882,-508.00,20261001,1,34,1,0.01,152.04100000,152.05000000,109.67900,-508.00
1631879100,0.00,20261001,0,36,0,0.01,151.84800000,151.16000000,109.96400,0.00
1631901079,-688.00,20261001,1,36,1,0.01,151.16000000,151.16000000,109.96400,-688.00
1632129300,0.00,20261001,0,38,1,0.01,150.54300000,151.12400000,109.42300,0.00
1632164796,1162.00,20261001,1,38,0,0.01,149.38100000,151.12400000,109.42300,1162.00
1632219300,0.00,20261001,0,40,0,0.01,149.92500000,149.17500000,109.20900,0.00
1632241829,-754.00,20261001,1,40,1,0.01,149.17100000,149.17500000,109.20900,-754.00
1632390300,0.00,20261001,0,42,0,0.01,150.00300000,149.35200000,110.31400,0.00
1632415661,1302.00,20261001,1,42,1,0.01,151.30500000,149.35200000,110.31400,1302.00
1632476700,0.00,20261001,0,44,0,0.01,151.70100000,151.22200000,110.72500,0.00
1632482011,-488.00,20261001,1,44,1,0.01,151.21300000,151.22200000,110.72500,-488.00
1633081500,0.00,20261001,0,46,1,0.01,149.47700000,150.17100000,111.06100,0.00
1633094967,-694.00,20261001,1,46,0,0.01,150.17100000,150.17100000,111.06100,-694.00
1633428000,0.00,20261001,0,48,0,0.01,151.20500000,150.74500000,111.45100,0.00
